train_episode,train_steps,percent_done,env
54751,54925,1.0,10
54752,55154,1.0,10
54753,55411,1.0,9
54754,55683,1.0,10
54755,55969,1.0,9
54756,56161,1.0,9
54757,57089,0.8,9
54758,58050,0.875,10
54759,59045,0.5294117647058824,11
54760,60006,0.875,10
54761,60967,0.5625,10
54762,61155,1.0,9
54763,62116,0.75,10
54764,63111,0.5294117647058824,11
54765,63339,1.0,9
54766,64267,0.6,9
54767,64506,1.0,10
54768,65467,0.375,10
54769,65631,1.0,11
54770,66559,0.2,9
54771,67554,0.29411764705882354,11
54772,67940,1.0,11
54773,68935,0.5882352941176471,11
54774,69896,0.5625,10
54775,70824,0.8666666666666667,9
54776,71819,0.4117647058823529,11
54777,72064,1.0,10
54778,73059,0.6470588235294118,11
54779,73351,1.0,9
54780,74346,0.23529411764705882,11
54781,74568,1.0,9
54782,75529,0.4375,10
54783,76524,0.47058823529411764,11
54784,76851,1.0,9
54785,77846,0.5882352941176471,11
54786,78774,0.8666666666666667,9
54787,79022,1.0,10
54788,79276,1.0,9
54789,79525,1.0,10
54790,80453,0.5333333333333333,9
54791,81448,0.5882352941176471,11
54792,81725,1.0,9
54793,82027,1.0,11
54794,82988,0.625,10
54795,83983,0.7058823529411765,11
54796,84944,0.8125,10
54797,85939,0.8823529411764706,11
54798,86900,0.3125,10
54799,87861,0.625,10
54800,88043,1.0,9
54801,88482,1.0,9
54802,89477,0.8235294117647058,11
54803,89746,1.0,11
54804,90035,1.0,11
54805,90380,1.0,11
54806,91341,0.375,10
54807,91602,1.0,11
54808,92563,0.875,10
54809,92891,1.0,10
54810,93084,1.0,10
54811,93265,1.0,11
54812,94226,0.5,10
54813,95154,0.2,9
54814,95346,1.0,9
54815,96307,0.75,10
54816,97235,0.8666666666666667,9
54817,97553,1.0,11
54818,98548,0.5882352941176471,11
54819,98771,1.0,11
54820,99699,0.6,9
54821,100627,0.6,9
54822,101588,0.875,10
54823,102583,0.47058823529411764,11
54824,103578,0.4117647058823529,11
54825,104573,0.8823529411764706,11
54826,105568,0.35294117647058826,11
54827,106529,0.75,10
54828,106903,1.0,9
54829,107898,0.8235294117647058,11
54830,108893,0.5882352941176471,11
54831,109146,1.0,9
54832,110141,0.5294117647058824,11
54833,110358,1.0,10
54834,110642,1.0,10
54835,110957,1.0,11
54836,111918,0.4375,10
54837,112162,1.0,11
54838,113090,0.7333333333333333,9
54839,114018,0.3333333333333333,9
54840,114372,1.0,9
54841,115300,0.6666666666666666,9
54842,116295,0.4117647058823529,11
54843,117290,0.17647058823529413,11
54844,117468,1.0,10
54845,118396,0.8666666666666667,9
54846,119324,0.4666666666666667,9
54847,120319,0.5294117647058824,11
54848,120523,1.0,11
54849,121518,0.8235294117647058,11
54850,121717,1.0,9
54851,122645,0.8,9
54852,123640,0.6470588235294118,11
54853,123909,1.0,9
54854,124075,1.0,10
54855,125036,0.1875,10
54856,125997,0.3125,10
54857,126925,0.6666666666666666,9
54858,127243,1.0,10
54859,127533,1.0,9
54860,128494,0.8125,10
54861,129455,0.625,10
54862,130416,0.8125,10
54863,131344,0.7333333333333333,9
54864,132272,0.6666666666666666,9
54865,133267,0.7647058823529411,11
54866,134262,0.47058823529411764,11
54867,134577,1.0,11
54868,135538,0.75,10
54869,135759,1.0,10
54870,136720,0.5,10
54871,137034,1.0,10
54872,137326,1.0,9
54873,137774,1.0,9
54874,138702,0.8,9
54875,139630,0.6,9
54876,139961,1.0,10
54877,140200,1.0,11
54878,141195,0.6470588235294118,11
54879,142156,0.875,10
54880,143084,0.6,9
54881,144045,0.5,10
54882,144205,1.0,10
54883,145200,0.29411764705882354,11
54884,146128,0.6666666666666666,9
54885,147089,0.875,10
54886,148050,0.5,10
54887,149045,0.8823529411764706,11
54888,150040,0.23529411764705882,11
54889,151035,0.8823529411764706,11
54890,151996,0.875,10
54891,152957,0.4375,10
54892,153175,1.0,9
54893,153434,1.0,10
54894,154395,0.75,10
54895,155356,0.625,10
54896,156351,0.23529411764705882,11
54897,157312,0.75,10
54898,158307,0.6470588235294118,11
54899,159302,0.47058823529411764,11
54900,160263,0.25,10
54901,161191,0.5333333333333333,9
54902,161359,1.0,10
54903,162320,0.5625,10
54904,163281,0.875,10
54905,163502,1.0,11
54906,164497,0.23529411764705882,11
54907,165492,0.23529411764705882,11
54908,166487,0.8235294117647058,11
54909,166730,1.0,11
54910,167044,1.0,10
54911,168005,0.3125,10
54912,168966,0.5,10
54913,169252,1.0,9
54914,169440,1.0,9
54915,170435,0.23529411764705882,11
54916,170726,1.0,9
