train_episode,train_steps,reward,env
54751,54925,-1471.0,10
54752,55154,-2091.0,10
54753,55411,-1836.0,9
54754,55683,-2255.0,10
54755,55969,-2157.0,9
54756,56161,-1685.0,9
54757,57089,-4378.0,9
54758,58050,-3577.0,10
54759,59045,-8947.0,11
54760,60006,-3659.0,10
54761,60967,-7891.0,10
54762,61155,-1510.0,9
54763,62116,-5562.0,10
54764,63111,-8934.0,11
54765,63339,-1843.0,9
54766,64267,-6758.0,9
54767,64506,-2177.0,10
54768,65467,-9965.0,10
54769,65631,-1654.0,11
54770,66559,-11433.0,9
54771,67554,-12652.0,11
54772,67940,-2281.0,11
54773,68935,-8477.0,11
54774,69896,-7873.0,10
54775,70824,-3231.0,9
54776,71819,-10726.0,11
54777,72064,-1894.0,10
54778,73059,-7508.0,11
54779,73351,-2155.0,9
54780,74346,-13256.0,11
54781,74568,-1669.0,9
54782,75529,-9610.0,10
54783,76524,-9772.0,11
54784,76851,-2729.0,9
54785,77846,-8281.0,11
54786,78774,-3100.0,9
54787,79022,-1927.0,10
54788,79276,-2103.0,9
54789,79525,-2035.0,10
54790,80453,-7828.0,9
54791,81448,-8052.0,11
54792,81725,-2264.0,9
54793,82027,-1855.0,11
54794,82988,-6877.0,10
54795,83983,-6572.0,11
54796,84944,-5255.0,10
54797,85939,-5295.0,11
54798,86900,-10934.0,10
54799,87861,-6638.0,10
54800,88043,-1332.0,9
54801,88482,-2772.0,9
54802,89477,-4782.0,11
54803,89746,-2737.0,11
54804,90035,-2200.0,11
54805,90380,-2515.0,11
54806,91341,-10441.0,10
54807,91602,-2402.0,11
54808,92563,-3124.0,10
54809,92891,-2151.0,10
54810,93084,-1853.0,10
54811,93265,-1723.0,11
54812,94226,-8835.0,10
54813,95154,-11385.0,9
54814,95346,-1318.0,9
54815,96307,-4884.0,10
54816,97235,-3698.0,9
54817,97553,-2813.0,11
54818,98548,-8839.0,11
54819,98771,-2122.0,11
54820,99699,-6320.0,9
54821,100627,-6416.0,9
54822,101588,-3674.0,10
54823,102583,-9572.0,11
54824,103578,-11062.0,11
54825,104573,-3656.0,11
54826,105568,-12576.0,11
54827,106529,-5087.0,10
54828,106903,-2667.0,9
54829,107898,-4507.0,11
54830,108893,-7975.0,11
54831,109146,-1731.0,9
54832,110141,-8972.0,11
54833,110358,-2103.0,10
54834,110642,-2143.0,10
54835,110957,-2112.0,11
54836,111918,-9275.0,10
54837,112162,-2550.0,11
54838,113090,-4767.0,9
54839,114018,-9830.0,9
54840,114372,-1917.0,9
54841,115300,-5470.0,9
54842,116295,-10535.0,11
54843,117290,-14333.0,11
54844,117468,-1473.0,10
54845,118396,-3277.0,9
54846,119324,-8070.0,9
54847,120319,-9225.0,11
54848,120523,-1780.0,11
54849,121518,-4978.0,11
54850,121717,-1479.0,9
54851,122645,-3942.0,9
54852,123640,-7484.0,11
54853,123909,-1963.0,9
54854,124075,-1542.0,10
54855,125036,-13069.0,10
54856,125997,-10941.0,10
54857,126925,-6034.0,9
54858,127243,-2168.0,10
54859,127533,-2617.0,9
54860,128494,-4500.0,10
54861,129455,-6898.0,10
54862,130416,-4306.0,10
54863,131344,-5177.0,9
54864,132272,-5402.0,9
54865,133267,-5844.0,11
54866,134262,-10067.0,11
54867,134577,-2531.0,11
54868,135538,-5051.0,10
54869,135759,-1868.0,10
54870,136720,-8544.0,10
54871,137034,-2119.0,10
54872,137326,-2641.0,9
54873,137774,-2693.0,9
54874,138702,-4427.0,9
54875,139630,-6396.0,9
54876,139961,-2193.0,10
54877,140200,-1918.0,11
54878,141195,-6991.0,11
54879,142156,-3895.0,10
54880,143084,-6557.0,9
54881,144045,-8824.0,10
54882,144205,-1480.0,10
54883,145200,-12437.0,11
54884,146128,-5449.0,9
54885,147089,-3606.0,10
54886,148050,-8603.0,10
54887,149045,-3692.0,11
54888,150040,-13549.0,11
54889,151035,-3314.0,11
54890,151996,-3881.0,10
54891,152957,-9277.0,10
54892,153175,-1687.0,9
54893,153434,-1837.0,10
54894,154395,-5209.0,10
54895,155356,-7768.0,10
54896,156351,-13265.0,11
54897,157312,-5000.0,10
54898,158307,-7074.0,11
54899,159302,-10269.0,11
54900,160263,-11852.0,10
54901,161191,-7517.0,9
54902,161359,-1331.0,10
54903,162320,-7692.0,10
54904,163281,-3791.0,10
54905,163502,-1670.0,11
54906,164497,-13267.0,11
54907,165492,-13282.0,11
54908,166487,-5014.0,11
54909,166730,-2337.0,11
54910,167044,-2202.0,10
54911,168005,-10913.0,10
54912,168966,-8690.0,10
54913,169252,-2213.0,9
54914,169440,-1584.0,9
54915,170435,-13229.0,11
54916,170726,-2476.0,9
54917,170902,-1363.0,10
54918,171830,-3477.0,9
54919,172758,-2856.0,9
54920,173076,-2230.0,11
54921,174071,-11473.0,11
54922,175032,-3150.0,10
54923,176027,-13249.0,11
54924,176317,-1965.0,9
54925,176498,-1367.0,9
54926,177459,-5999.0,10
54927,178387,-9094.0,9
54928,179348,-10874.0,10
54929,180276,-8467.0,9
54930,181271,-4943.0,11
54931,181516,-2407.0,11
54932,182444,-4780.0,9
54933,182635,-1584.0,10
54934,183630,-5717.0,11
54935,183816,-1497.0,11
54936,184034,-1952.0,9
54937,184995,-4607.0,10
54938,185956,-6692.0,10
54939,186917,-11760.0,10
54940,187155,-1823.0,11
54941,188116,-12003.0,10
54942,189111,-5977.0,11
54943,190106,-6412.0,11
54944,191101,-10656.0,11
54945,191367,-1872.0,10
54946,191675,-2039.0,11
54947,192636,-6864.0,10
54948,192787,-1412.0,10
54949,193782,-3891.0,11
54950,194092,-1986.0,10
54951,195053,-4432.0,10
54952,195981,-5665.0,9
54953,196942,-3995.0,10
54954,197387,-2890.0,9
54955,197578,-1374.0,9
54956,197907,-3323.0,10
54957,198868,-5756.0,10
54958,199796,-7123.0,9
54959,200757,-11003.0,10
54960,201752,-10202.0,11
54961,202713,-9731.0,10
54962,203641,-5416.0,9
54963,203928,-1742.0,9
54964,204856,-5665.0,9
54965,205851,-8119.0,11
54966,206846,-4566.0,11
54967,207176,-2251.0,10
54968,208171,-7806.0,11
54969,208396,-1601.0,9
54970,209324,-6431.0,9
54971,209700,-3014.0,11
54972,210661,-11683.0,10
54973,210890,-2273.0,11
54974,211060,-1682.0,9
54975,212055,-6607.0,11
54976,213016,-8099.0,10
54977,214011,-5424.0,11
54978,214310,-2305.0,9
54979,214548,-1908.0,11
54980,215543,-7778.0,11
54981,216471,-3957.0,9
54982,217466,-12222.0,11
54983,217721,-1902.0,10
54984,217935,-1693.0,11
54985,218181,-1800.0,10
54986,219142,-8161.0,10
54987,220070,-9924.0,9
54988,221031,-8466.0,10
54989,221992,-4149.0,10
54990,222408,-3576.0,11
54991,223369,-4551.0,10
54992,224330,-9737.0,10
54993,225291,-3800.0,10
54994,225603,-2333.0,10
54995,226564,-14498.0,10
54996,227559,-6737.0,11
54997,228554,-7478.0,11
54998,229515,-3933.0,10
54999,230510,-6287.0,11
55000,230769,-2143.0,11
55001,231031,-1927.0,9
55002,232026,-6905.0,11
55003,232266,-1845.0,9
55004,233261,-6436.0,11
55005,233551,-2688.0,11
55006,234546,-14601.0,11
55007,234868,-1780.0,11
55008,235863,-15075.0,11
55009,236824,-5051.0,10
55010,237819,-8500.0,11
55011,238081,-2172.0,10
55012,238346,-2335.0,9
55013,239341,-5092.0,11
55014,239670,-2765.0,9
55015,240665,-5148.0,11
55016,241626,-5240.0,10
55017,242621,-11507.0,11
55018,242902,-2473.0,10
55019,243863,-4376.0,10
55020,244824,-6923.0,10
55021,245071,-1609.0,9
55022,246066,-12704.0,11
55023,247027,-7394.0,10
55024,248022,-13476.0,11
55025,248295,-1868.0,10
55026,248455,-1420.0,11
55027,249450,-11350.0,11
55028,249676,-1709.0,10
55029,249994,-3243.0,9
55030,250922,-9567.0,9
55031,251104,-1343.0,11
55032,252099,-10179.0,11
55033,253094,-10554.0,11
55034,253455,-2862.0,10
55035,254416,-5776.0,10
55036,255411,-6049.0,11
55037,255684,-2142.0,10
55038,256679,-5323.0,11
55039,257674,-10722.0,11
55040,258635,-7739.0,10
55041,258977,-2824.0,10
55042,259972,-5501.0,11
55043,260236,-1949.0,9
55044,261164,-5550.0,9
55045,261409,-2090.0,9
55046,262404,-8319.0,11
55047,262681,-1904.0,9
55048,263676,-5554.0,11
55049,264637,-8404.0,10
55050,264812,-1398.0,10
55051,265740,-11366.0,9
55052,266701,-5301.0,10
55053,267142,-2862.0,9
55054,267458,-2613.0,10
55055,268419,-9891.0,10
55056,269414,-11601.0,11
55057,269625,-1752.0,9
55058,270586,-6787.0,10
55059,271547,-10037.0,10
55060,272508,-8428.0,10
55061,273503,-4375.0,11
55062,274498,-5867.0,11
55063,275493,-10337.0,11
55064,275828,-2967.0,9
55065,276823,-11178.0,11
55066,277818,-12299.0,11
55067,278813,-6392.0,11
55068,279808,-3916.0,11
55069,280769,-11190.0,10
55070,281730,-7216.0,10
55071,282691,-7435.0,10
55072,283619,-4007.0,9
55073,284614,-7416.0,11
55074,284889,-2276.0,10
55075,285112,-1918.0,11
55076,285392,-2236.0,11
55077,285621,-1589.0,11
55078,286616,-7336.0,11
55079,286917,-1871.0,10
55080,287103,-1437.0,9
55081,287378,-2227.0,10
55082,288373,-13340.0,11
55083,288646,-2064.0,10
55084,289641,-6212.0,11
55085,290636,-12302.0,11
55086,291597,-5285.0,10
55087,292558,-6063.0,10
55088,292858,-2118.0,11
55089,293786,-3435.0,9
55090,294082,-2116.0,11
55091,295043,-12631.0,10
55092,295971,-3226.0,9
55093,296966,-11461.0,11
55094,297961,-10812.0,11
55095,298956,-8944.0,11
55096,299884,-6435.0,9
55097,300845,-5863.0,10
55098,301126,-2969.0,11
55099,301345,-1863.0,9
55100,301486,-1309.0,11
55101,301693,-1795.0,9
55102,302654,-10164.0,10
55103,302984,-2461.0,11
55104,303979,-11072.0,11
55105,304974,-3412.0,11
55106,305190,-1800.0,9
55107,306118,-6650.0,9
55108,307113,-10415.0,11
55109,308074,-5906.0,10
55110,309002,-8779.0,9
55111,309997,-6344.0,11
55112,310992,-11039.0,11
55113,311238,-2387.0,11
55114,312199,-9337.0,10
55115,313127,-6652.0,9
55116,313343,-1950.0,10
55117,313535,-1422.0,11
55118,313815,-1880.0,10
55119,314810,-10200.0,11
55120,315005,-1658.0,9
55121,315290,-2319.0,11
55122,316251,-6790.0,10
55123,316548,-2148.0,9
55124,316966,-2715.0,10
55125,317894,-3608.0,9
55126,318855,-4487.0,10
55127,319164,-2116.0,10
55128,319434,-2174.0,9
