train_episode,train_steps,time,env
54751,54925,1780572278.2839284,10
54752,55154,1780572278.6624722,10
54753,55411,1780572279.040363,9
54754,55683,1780572279.535718,10
54755,55969,1780572280.0524592,9
54756,56161,1780572281.2708879,9
54757,57089,1780572283.0848656,9
54758,58050,1780572284.917182,10
54759,59045,1780572286.394291,11
54760,60006,1780572288.053175,10
54761,60967,1780572289.4437065,10
54762,61155,1780572289.6125774,9
54763,62116,1780572290.935324,10
54764,63111,1780572292.8444676,11
54765,63339,1780572293.0945206,9
54766,64267,1780572294.489102,9
54767,64506,1780572378.8480778,10
54768,65467,1780572380.1330507,10
54769,65631,1780572380.3040962,11
54770,66559,1780572381.7384698,9
54771,67554,1780572382.9284153,11
54772,67940,1780572383.459125,11
54773,68935,1780572384.9743264,11
54774,69896,1780572386.1357417,10
54775,70824,1780572387.5200822,9
54776,71819,1780572389.2743595,11
54777,72064,1780572389.5319648,10
54778,73059,1780572391.0794053,11
54779,73351,1780572391.3805814,9
54780,74346,1780572392.8812304,11
54781,74568,1780572393.1226964,9
54782,75529,1780572394.2817538,10
54783,76524,1780572491.0823662,11
54784,76851,1780572491.4686716,9
54785,77846,1780572492.8750353,11
54786,78774,1780572494.2696264,9
54787,79022,1780572494.5530486,10
54788,79276,1780572495.0201204,9
54789,79525,1780572495.2813048,10
54790,80453,1780572496.7118416,9
54791,81448,1780572498.4867237,11
54792,81725,1780572498.7881258,9
54793,82027,1780572499.2351267,11
54794,82988,1780572501.2426188,10
54795,83983,1780572503.0000262,11
54796,84944,1780572504.6260123,10
54797,85939,1780572506.3432612,11
54798,86900,1780572507.3338573,10
54799,87861,1780572613.937434,10
54800,88043,1780572614.1264112,9
54801,88482,1780572614.5690076,9
54802,89477,1780572616.477961,11
54803,89746,1780572616.7684648,11
54804,90035,1780572617.3062913,11
54805,90380,1780572617.7250867,11
54806,91341,1780572618.7349436,10
54807,91602,1780572619.2728512,11
54808,92563,1780572620.8421636,10
54809,92891,1780572621.1951609,10
54810,93084,1780572621.7210028,10
54811,93265,1780572621.9636126,11
54812,94226,1780572623.152256,10
54813,95154,1780572624.0821605,9
54814,95346,1780572624.2841616,9
54815,96307,1780572697.3088303,10
54816,97235,1780572698.5223281,9
54817,97553,1780572698.8674896,11
54818,98548,1780572700.3212342,11
54819,98771,1780572700.7576463,11
54820,99699,1780572702.1562834,9
54821,100627,1780572703.4273276,9
54822,101588,1780572705.349342,10
54823,102583,1780572706.9160562,11
54824,103578,1780572707.785129,11
54825,104573,1780572709.4768684,11
54826,105568,1780572711.1786466,11
54827,106529,1780572712.6925244,10
54828,106903,1780572713.0687149,9
54829,107898,1780572715.0341709,11
54830,108893,1780572716.10323,11
54831,109146,1780572840.3542016,9
54832,110141,1780572841.857787,11
54833,110358,1780572842.0848079,10
54834,110642,1780572842.5462368,10
54835,110957,1780572843.1447742,11
54836,111918,1780572844.4095125,10
54837,112162,1780572844.7021203,11
54838,113090,1780572846.6783202,9
54839,114018,1780572847.807891,9
54840,114372,1780572848.3060079,9
54841,115300,1780572849.7826967,9
54842,116295,1780572851.4539447,11
54843,117290,1780572852.946634,11
54844,117468,1780572853.1648793,10
54845,118396,1780572854.691542,9
54846,119324,1780572856.1048694,9
54847,120319,1780572948.6266472,11
54848,120523,1780572948.8518498,11
54849,121518,1780572950.5935645,11
54850,121717,1780572950.8043423,9
54851,122645,1780572952.2256174,9
54852,123640,1780572953.518633,11
54853,123909,1780572953.8129034,9
54854,124075,1780572953.9794836,10
54855,125036,1780572956.0378103,10
54856,125997,1780572956.95889,10
54857,126925,1780572958.2851014,9
54858,127243,1780572958.6716053,10
54859,127533,1780572959.3787513,9
54860,128494,1780572961.180148,10
54861,129455,1780572962.5485408,10
54862,130416,1780572964.3139923,10
54863,131344,1780573069.3895862,9
54864,132272,1780573070.837534,9
54865,133267,1780573072.6683106,11
