train_episode,train_steps,std_history,env
54751,54925,0.26116305589675903,10
54752,55154,0.2587530016899109,10
54753,55411,0.23270365595817566,9
54754,55683,0.25874093174934387,10
54755,55969,0.23270368576049805,9
54756,56161,0.23310083150863647,9
54757,57089,0.23266951739788055,9
54758,58050,0.25641685724258423,10
54759,59045,0.23767252266407013,11
54760,60006,0.25601646304130554,10
54761,60967,0.25385695695877075,10
54762,61155,0.23361292481422424,9
54763,62116,0.2545822262763977,10
54764,63111,0.23823092877864838,11
54765,63339,0.23356156051158905,9
54766,64267,0.23689450323581696,9
54767,64506,0.25382694602012634,10
54768,65467,0.2547210454940796,10
54769,65631,0.24047942459583282,11
54770,66559,0.23689450323581696,9
54771,67554,0.24160650372505188,11
54772,67940,0.23948544263839722,11
54773,68935,0.2377016544342041,11
54774,69896,0.25418969988822937,10
54775,70824,0.2354133427143097,9
54776,71819,0.24159057438373566,11
54777,72064,0.2544141411781311,10
54778,73059,0.24339011311531067,11
54779,73351,0.235702246427536,9
54780,74346,0.243852436542511,11
54781,74568,0.235702246427536,9
54782,75529,0.25526314973831177,10
54783,76524,0.24407707154750824,11
54784,76851,0.23603296279907227,9
54785,77846,0.2415633499622345,11
54786,78774,0.23575858771800995,9
54787,79022,0.2548582851886749,10
54788,79276,0.2363046407699585,9
54789,79525,0.2548582851886749,10
54790,80453,0.2363046556711197,9
54791,81448,0.24125106632709503,11
54792,81725,0.2351018637418747,9
54793,82027,0.24130843579769135,11
54794,82988,0.25438323616981506,10
54795,83983,0.24123024940490723,11
54796,84944,0.25382694602012634,10
54797,85939,0.24131540954113007,11
54798,86900,0.25837457180023193,10
54799,87861,0.2579183578491211,10
54800,88043,0.2351018637418747,9
54801,88482,0.23549002408981323,9
54802,89477,0.24127669632434845,11
54803,89746,0.23965373635292053,11
54804,90035,0.23966526985168457,11
54805,90380,0.24078859388828278,11
54806,91341,0.2570929229259491,10
54807,91602,0.240097314119339,11
54808,92563,0.2574597895145416,10
54809,92891,0.25742945075035095,10
54810,93084,0.25742945075035095,10
54811,93265,0.24063335359096527,11
54812,94226,0.25742945075035095,10
54813,95154,0.23877370357513428,9
54814,95346,0.23916520178318024,9
54815,96307,0.25605154037475586,10
54816,97235,0.2369847595691681,9
54817,97553,0.24116498231887817,11
54818,98548,0.24134695529937744,11
54819,98771,0.24098701775074005,11
54820,99699,0.23738738894462585,9
54821,100627,0.23549002408981323,9
54822,101588,0.25740572810173035,10
54823,102583,0.24175521731376648,11
54824,103578,0.23918819427490234,11
54825,104573,0.24188829958438873,11
54826,105568,0.24018286168575287,11
54827,106529,0.25728753209114075,10
54828,106903,0.23711225390434265,9
54829,107898,0.2427450716495514,11
54830,108893,0.2430485188961029,11
54831,109146,0.23711225390434265,9
54832,110141,0.24306844174861908,11
54833,110358,0.2579849660396576,10
54834,110642,0.25845015048980713,10
54835,110957,0.24227850139141083,11
54836,111918,0.2558516263961792,10
54837,112162,0.2392454892396927,11
54838,113090,0.23581326007843018,9
54839,114018,0.2377110868692398,9
54840,114372,0.2377110719680786,9
54841,115300,0.23711225390434265,9
54842,116295,0.2432614266872406,11
54843,117290,0.2427431046962738,11
54844,117468,0.2599060833454132,10
54845,118396,0.23742227256298065,9
54846,119324,0.23805788159370422,9
54847,120319,0.23987020552158356,11
54848,120523,0.24221280217170715,11
54849,121518,0.24221280217170715,11
54850,121717,0.23799508810043335,9
54851,122645,0.23758764564990997,9
54852,123640,0.24001945555210114,11
54853,123909,0.2368600219488144,9
54854,124075,0.25995323061943054,10
54855,125036,0.2599060833454132,10
54856,125997,0.25740572810173035,10
54857,126925,0.23742227256298065,9
54858,127243,0.25995323061943054,10
54859,127533,0.23682506382465363,9
54860,128494,0.259310781955719,10
54861,129455,0.2599126398563385,10
54862,130416,0.25978884100914,10
54863,131344,0.2367783635854721,9
54864,132272,0.2369038611650467,9
54865,133267,0.23976469039916992,11
54866,134262,0.2403484731912613,11
54867,134577,0.23671463131904602,11
54868,135538,0.25783881545066833,10
54869,135759,0.25978884100914,10
54870,136720,0.2585776448249817,10
54871,137034,0.25905007123947144,10
54872,137326,0.23365667462348938,9
54873,137774,0.2311084270477295,9
54874,138702,0.23682506382465363,9
54875,139630,0.23674622178077698,9
54876,139961,0.25905007123947144,10
54877,140200,0.2378084361553192,11
54878,141195,0.23726817965507507,11
54879,142156,0.2579045295715332,10
54880,143084,0.23107095062732697,9
54881,144045,0.25473618507385254,10
54882,144205,0.25905007123947144,10
54883,145200,0.23803532123565674,11
54884,146128,0.2308378368616104,9
54885,147089,0.2545607388019562,10
54886,148050,0.25271880626678467,10
54887,149045,0.23628009855747223,11
54888,150040,0.23973456025123596,11
54889,151035,0.2373759001493454,11
54890,151996,0.25283530354499817,10
54891,152957,0.253638356924057,10
54892,153175,0.23034660518169403,9
54893,153434,0.2523321211338043,10
54894,154395,0.25279685854911804,10
54895,155356,0.2523321211338043,10
54896,156351,0.2428770661354065,11
54897,157312,0.2519794702529907,10
54898,158307,0.2423957735300064,11
54899,159302,0.24062328040599823,11
54900,160263,0.25349047780036926,10
54901,161191,0.23105530440807343,9
54902,161359,0.2540636360645294,10
54903,162320,0.25754836201667786,10
54904,163281,0.2519794702529907,10
54905,163502,0.24465054273605347,11
54906,164497,0.2445458620786667,11
54907,165492,0.24738004803657532,11
54908,166487,0.2473176121711731,11
54909,166730,0.2473176121711731,11
54910,167044,0.25216078758239746,10
54911,168005,0.2540876865386963,10
54912,168966,0.2541061341762543,10
54913,169252,0.2308378368616104,9
54914,169440,0.2308378368616104,9
54915,170435,0.2484065145254135,11
54916,170726,0.2311084270477295,9
54917,170902,0.2545553743839264,10
54918,171830,0.23035334050655365,9
54919,172758,0.2308378368616104,9
