train_episode,train_steps,mix_progress,env
54751,54925,0.47344771078986025,10
54752,55154,0.48649032304634493,10
54753,55411,0.48649032304634493,10
54754,55683,0.4984017409525941,10
54755,55969,0.4864903230463449,10
54756,56161,0.4654793957356179,10
54757,57089,0.49840174095259404,10
54758,58050,0.47329003361106264,10
54759,59045,0.44729729428386633,10
54760,60006,0.4445853817579874,10
54761,60967,0.4455959822502523,10
54762,61155,0.4498829965935376,10
54763,62116,0.44475821995578574,10
54764,63111,0.4498829965935377,10
54765,63339,0.44729729428386633,10
54766,64267,0.4447582199557857,10
54767,64506,0.414328476662606,10
54768,65467,0.45737216842558037,10
54769,65631,0.3963402279462399,10
54770,66559,0.4451506479882981,10
54771,67554,0.4051098915932686,10
54772,67940,0.4151543555822715,10
54773,68935,0.4654793957356179,10
54774,69896,0.4145904391682282,10
54775,70824,0.4143284766626061,10
54776,71819,0.41360277498961634,10
54777,72064,0.42695432649758297,10
54778,73059,0.4105931646390075,10
54779,73351,0.43316633600670873,10
54780,74346,0.39527123100757744,10
54781,74568,0.43658177525521574,10
54782,75529,0.4331663360067088,10
54783,76524,0.43658177525521574,10
54784,76851,0.43658177525521574,10
54785,77846,0.4470153452076946,10
54786,78774,0.43658177525521574,10
54787,79022,0.4613467800417083,10
54788,79276,0.46134678004170837,10
54789,79525,0.47445625472723063,10
54790,80453,0.4365817752552157,10
54791,81448,0.484055386622979,10
54792,81725,0.484055386622979,10
54793,82027,0.40580857520375724,10
54794,82988,0.4410792325982914,10
54795,83983,0.5000792241978332,10
54796,84944,0.42631203181986965,10
54797,85939,0.547859980207034,10
54798,86900,0.5374747410965511,10
54799,87861,0.5263914047471687,10
54800,88043,0.5374747410965512,10
54801,88482,0.5263914047471687,10
54802,89477,0.5248434011015637,10
54803,89746,0.5133936406042832,10
54804,90035,0.50151971812517,10
54805,90380,0.5280989312046624,10
54806,91341,0.5542165366740347,10
54807,91602,0.4654548967804586,10
54808,92563,0.4759810613330509,10
54809,92891,0.4783327134420361,10
54810,93084,0.4901091317893713,10
54811,93265,0.48019849336557174,10
54812,94226,0.476265361478041,10
54813,95154,0.4801984933655718,10
54814,95346,0.4801984933655718,10
54815,96307,0.45854723184757845,10
54816,97235,0.4627455548472221,10
54817,97553,0.45372625966352165,10
54818,98548,0.4636017654238714,10
54819,98771,0.4544440002752507,10
54820,99699,0.4636017654238714,10
54821,100627,0.4801984933655718,10
54822,101588,0.43126373095738485,10
54823,102583,0.4337589824026133,10
54824,103578,0.4451506479882982,10
54825,104573,0.4613856748709121,10
54826,105568,0.5423133111584146,10
54827,106529,0.4627455548472221,10
54828,106903,0.46066590987908795,10
54829,107898,0.4835244525644561,10
54830,108893,0.5028677325416383,10
54831,109146,0.5028677325416383,10
54832,110141,0.5168979387531898,10
54833,110358,0.4968299826798515,10
54834,110642,0.5150034807665165,10
54835,110957,0.46371156059947294,10
54836,111918,0.5031364014939604,10
54837,112162,0.5041161110142967,10
54838,113090,0.41432847666260597,10
54839,114018,0.48692245213783725,10
54840,114372,0.4869224521378373,10
54841,115300,0.4544440002752508,10
54842,116295,0.46066590987908795,10
54843,117290,0.4680925265028101,10
54844,117468,0.49455329662464476,10
54845,118396,0.4837843667184725,10
54846,119324,0.517954781657839,10
54847,120319,0.48771084503292206,10
54848,120523,0.48386758818151776,10
54849,121518,0.517954781657839,10
54850,121717,0.48771084503292206,10
54851,122645,0.4838675881815177,10
54852,123640,0.4985856119233904,10
54853,123909,0.487710845032922,10
54854,124075,0.5107149232850118,10
54855,125036,0.4837843667184725,10
54856,125997,0.475072287970524,10
54857,126925,0.4869224521378373,10
54858,127243,0.5217798862449157,10
54859,127533,0.5217798862449157,10
54860,128494,0.49567244050853004,10
54861,129455,0.511371904198721,10
54862,130416,0.4903197361109772,10
54863,131344,0.5035579278586583,10
54864,132272,0.5035579278586583,10
54865,133267,0.5198879267592815,10
54866,134262,0.5024902897148359,10
54867,134577,0.5063610116521143,10
54868,135538,0.4869224521378373,10
54869,135759,0.5035579278586583,10
54870,136720,0.5056205707496457,10
54871,137034,0.5416441856407441,10
54872,137326,0.5198879267592816,10
54873,137774,0.5056205707496457,10
54874,138702,0.5107149232850118,10
54875,139630,0.5217798862449157,10
54876,139961,0.5524954835445213,10
54877,140200,0.5328008872227326,10
54878,141195,0.5466179527930555,10
54879,142156,0.5159969123012548,10
54880,143084,0.5466179527930556,10
54881,144045,0.5151063338290299,10
54882,144205,0.5427521685672323,10
54883,145200,0.5378514766198756,10
54884,146128,0.5416441856407441,10
54885,147089,0.49094815565102967,10
