train_episode,train_steps,median_history,env
54751,54925,0.78125,10
54752,55154,0.8125,10
54753,55411,0.8666666746139526,9
54754,55683,0.8125,10
54755,55969,0.8666666746139526,9
54756,56161,0.8666666746139526,9
54757,57089,0.8666666746139526,9
54758,58050,0.8125,10
54759,59045,0.8235294222831726,11
54760,60006,0.8125,10
54761,60967,0.8125,10
54762,61155,0.8666666746139526,9
54763,62116,0.8125,10
54764,63111,0.8235294222831726,11
54765,63339,0.8666666746139526,9
54766,64267,0.8666666746139526,9
54767,64506,0.8125,10
54768,65467,0.8125,10
54769,65631,0.8235294222831726,11
54770,66559,0.8666666746139526,9
54771,67554,0.8235294222831726,11
54772,67940,0.8235294222831726,11
54773,68935,0.8235294222831726,11
54774,69896,0.8125,10
54775,70824,0.8666666746139526,9
54776,71819,0.8235294222831726,11
54777,72064,0.8125,10
54778,73059,0.8235294222831726,11
54779,73351,0.8666666746139526,9
54780,74346,0.8235294222831726,11
54781,74568,0.8666666746139526,9
54782,75529,0.8125,10
54783,76524,0.8235294222831726,11
54784,76851,0.8666666746139526,9
54785,77846,0.8235294222831726,11
54786,78774,0.8666666746139526,9
54787,79022,0.8125,10
54788,79276,0.8666666746139526,9
54789,79525,0.8125,10
54790,80453,0.8666666746139526,9
54791,81448,0.7941176891326904,11
54792,81725,0.8666666746139526,9
54793,82027,0.8235294222831726,11
54794,82988,0.8125,10
54795,83983,0.7647058963775635,11
54796,84944,0.8125,10
54797,85939,0.8235294222831726,11
54798,86900,0.8125,10
54799,87861,0.8125,10
54800,88043,0.8666666746139526,9
54801,88482,0.8666666746139526,9
54802,89477,0.7941176891326904,11
54803,89746,0.8235294222831726,11
54804,90035,0.8235294222831726,11
54805,90380,0.8235294222831726,11
54806,91341,0.8125,10
54807,91602,0.8235294222831726,11
54808,92563,0.8125,10
54809,92891,0.78125,10
54810,93084,0.78125,10
54811,93265,0.8235294222831726,11
54812,94226,0.78125,10
54813,95154,0.8666666746139526,9
54814,95346,0.8666666746139526,9
54815,96307,0.8125,10
54816,97235,0.8666666746139526,9
54817,97553,0.8235294222831726,11
54818,98548,0.8235294222831726,11
54819,98771,0.8235294222831726,11
54820,99699,0.8666666746139526,9
54821,100627,0.8666666746139526,9
54822,101588,0.78125,10
