train_episode,train_steps,reward,env
56728,210362,-1334.0,9
56729,210635,-1911.0,9
56730,211596,-4553.0,10
56731,211885,-1923.0,9
56732,212813,-7344.0,9
56733,213774,-6699.0,10
56734,213977,-2038.0,10
56735,214938,-5232.0,10
56736,215899,-4564.0,10
56737,216827,-9959.0,9
56738,217755,-7191.0,9
56739,218683,-3025.0,9
56740,219644,-8130.0,10
56741,220572,-4796.0,9
56742,221533,-3710.0,10
56743,221862,-2778.0,10
56744,222061,-1560.0,10
56745,222268,-1767.0,10
56746,223229,-11873.0,10
56747,223599,-2412.0,10
56748,223843,-2068.0,10
56749,224100,-1702.0,10
56750,224361,-2071.0,9
56751,225289,-5409.0,9
56752,225529,-2014.0,10
56753,225800,-1825.0,9
56754,226063,-2185.0,10
56755,226323,-2122.0,9
56756,227284,-11047.0,10
56757,228245,-8808.0,10
56758,229173,-8808.0,9
56759,229403,-2058.0,10
56760,229656,-2146.0,10
56761,229830,-1394.0,9
56762,230758,-3971.0,9
56763,230920,-1320.0,10
56764,231881,-8716.0,10
56765,232090,-1787.0,10
56766,233051,-11770.0,10
56767,233979,-4267.0,9
56768,234907,-5738.0,9
56769,235115,-1793.0,10
56770,235335,-1880.0,9
56771,236296,-3280.0,10
56772,236445,-1313.0,9
56773,237406,-8758.0,10
56774,237641,-1628.0,9
56775,238602,-11194.0,10
56776,238856,-1592.0,9
56777,239082,-1978.0,9
56778,240043,-10234.0,10
56779,241004,-10331.0,10
56780,241932,-8936.0,9
56781,242099,-1444.0,9
56782,243027,-3346.0,9
56783,243271,-2034.0,9
56784,244232,-5045.0,10
56785,244382,-1420.0,10
56786,245343,-8330.0,10
56787,246304,-5281.0,10
56788,246501,-2004.0,10
56789,247462,-8294.0,10
56790,248423,-9222.0,10
56791,249351,-10471.0,9
56792,250312,-7066.0,10
56793,250481,-1431.0,9
56794,251409,-3392.0,9
56795,252337,-6579.0,9
56796,252556,-2038.0,9
56797,253484,-5538.0,9
56798,254412,-4331.0,9
56799,255373,-7586.0,10
56800,256301,-3499.0,9
56801,257229,-5196.0,9
56802,257533,-2424.0,10
56803,258494,-9666.0,10
56804,259455,-7901.0,10
56805,260383,-3991.0,9
56806,261344,-3681.0,10
56807,261569,-1950.0,10
56808,262530,-4206.0,10
56809,263458,-4641.0,9
56810,264419,-7747.0,10
56811,265380,-6712.0,10
56812,266308,-7355.0,9
56813,266581,-1752.0,10
56814,267509,-7188.0,9
56815,267821,-2923.0,9
56816,268749,-3606.0,9
56817,269097,-2923.0,10
56818,269309,-1690.0,9
56819,269496,-1586.0,9
56820,269711,-1745.0,9
56821,269952,-1751.0,9
56822,270129,-1468.0,9
56823,270339,-1872.0,9
56824,270583,-1939.0,9
56825,271511,-6516.0,9
56826,271695,-1498.0,9
56827,271926,-2000.0,9
56828,272174,-1853.0,10
56829,273102,-9491.0,9
56830,273403,-2742.0,10
56831,273645,-1953.0,9
56832,274573,-6679.0,9
56833,275501,-8417.0,9
56834,276462,-7934.0,10
56835,276765,-1908.0,9
56836,277693,-8548.0,9
56837,278654,-4955.0,10
56838,279582,-3973.0,9
56839,280543,-9477.0,10
56840,281504,-11001.0,10
56841,282465,-6513.0,10
56842,283393,-9804.0,9
56843,283832,-2633.0,10
56844,284072,-1981.0,10
56845,285033,-6869.0,10
56846,285961,-8177.0,9
56847,286889,-10895.0,9
56848,287850,-8167.0,10
56849,288811,-10640.0,10
56850,289003,-1440.0,9
56851,289964,-5714.0,10
56852,290274,-2440.0,10
56853,291202,-10737.0,9
56854,292130,-3574.0,9
56855,293091,-5465.0,10
56856,293338,-1732.0,9
56857,294299,-4437.0,10
56858,294606,-2320.0,10
56859,295534,-4973.0,9
56860,295728,-1615.0,10
56861,296656,-8869.0,9
56862,296868,-1955.0,10
56863,297829,-5023.0,10
56864,298029,-1648.0,10
56865,298990,-11083.0,10
56866,299951,-9320.0,10
56867,300277,-2291.0,10
56868,301238,-5437.0,10
56869,302166,-7424.0,9
56870,303127,-9037.0,10
56871,303441,-2357.0,9
56872,304402,-5837.0,10
56873,305363,-7602.0,10
56874,306324,-8309.0,10
56875,307285,-9543.0,10
56876,308246,-9319.0,10
56877,309174,-7329.0,9
56878,310135,-6875.0,10
56879,311096,-3756.0,10
56880,312057,-3672.0,10
56881,312280,-1297.0,10
56882,312481,-1602.0,9
56883,312825,-2452.0,9
56884,313753,-7589.0,9
56885,314714,-8264.0,10
56886,315675,-7739.0,10
56887,315953,-1646.0,9
56888,316914,-10066.0,10
56889,317096,-1657.0,9
56890,317458,-3336.0,10
56891,318419,-6312.0,10
56892,319380,-6825.0,10
56893,319548,-1354.0,10
56894,319776,-1535.0,10
56895,320704,-8159.0,9
56896,321632,-10510.0,9
56897,322593,-7546.0,10
56898,323521,-8744.0,9
56899,324449,-4422.0,9
56900,325410,-3247.0,10
56901,325613,-1447.0,9
56902,326574,-7818.0,10
56903,327010,-2608.0,9
56904,327270,-1544.0,9
56905,328198,-7160.0,9
56906,329159,-5920.0,10
56907,330087,-3257.0,9
56908,331015,-6825.0,9
56909,331259,-1609.0,9
56910,332220,-11924.0,10
56911,333181,-5810.0,10
56912,334109,-4581.0,9
56913,334368,-2027.0,10
56914,335329,-15376.0,10
56915,335615,-2486.0,10
56916,336576,-11022.0,10
56917,337537,-7813.0,10
56918,338465,-7967.0,9
56919,339426,-7493.0,10
56920,339655,-2016.0,10
56921,339851,-1548.0,9
56922,340779,-10919.0,9
56923,341707,-4115.0,9
56924,342635,-2265.0,9
56925,342877,-2446.0,9
56926,343838,-3404.0,10
56927,344766,-3700.0,9
56928,345694,-8245.0,9
56929,346622,-4931.0,9
56930,346808,-1421.0,10
56931,346996,-1843.0,10
56932,347225,-2187.0,10
56933,348186,-5040.0,10
56934,348350,-1435.0,9
56935,349278,-4320.0,9
56936,350239,-5236.0,10
56937,350534,-2420.0,10
56938,350688,-1386.0,9
56939,351649,-6906.0,10
56940,352577,-3742.0,9
56941,353505,-11688.0,9
56942,353780,-2475.0,9
56943,353992,-1716.0,9
56944,354953,-7230.0,10
56945,355914,-5986.0,10
56946,356842,-4731.0,9
56947,357220,-2414.0,9
56948,358148,-8371.0,9
56949,358418,-2198.0,9
56950,359346,-4981.0,9
56951,360274,-10582.0,9
56952,360479,-1778.0,10
56953,360766,-1936.0,9
