train_episode,train_steps,time,env
56501,56676,1780585775.6195872,10
56502,56901,1780585776.3525524,11
56503,57187,1780585776.9918566,9
56504,57608,1780585778.322327,10
56505,57895,1780585778.940766,9
56506,58856,1780585780.3364604,10
56507,59851,1780585781.5152514,11
56508,60779,1780585783.1336522,9
56509,61009,1780585783.411116,9
56510,62004,1780585784.741584,11
56511,62999,1780585786.7860837,11
56512,63186,1780585786.9492226,9
56513,64181,1780585788.7969882,11
56514,65109,1780585790.129436,9
56515,66037,1780585791.5573726,9
56516,67032,1780585792.8402722,11
56517,67993,1780585871.4722574,10
56518,68921,1780585872.5084395,9
56519,69106,1780585872.814427,9
56520,70034,1780585874.1316142,9
56521,70995,1780585875.5130289,10
56522,71956,1780585877.172267,10
56523,72884,1780585878.517938,9
56524,73812,1780585879.8605113,9
56525,74101,1780585880.1242626,9
56526,75029,1780585881.4989138,9
56527,75990,1780585882.578423,10
56528,76918,1780585883.8596725,9
56529,77102,1780585884.0703917,10
56530,77393,1780585884.3707511,10
56531,78321,1780585886.0848107,9
56532,79282,1780585887.7355099,10
56533,79523,1780585979.103162,9
56534,79729,1780585979.3089156,10
56535,80690,1780585980.5534885,10
56536,81651,1780585981.7943575,10
56537,81864,1780585982.1446364,9
56538,82825,1780585983.296714,10
56539,83048,1780585983.709417,10
56540,83976,1780585984.6195967,9
56541,84971,1780585986.1564708,11
56542,85899,1780585987.2598228,9
56543,86192,1780585987.87968,9
56544,86505,1780585988.2316577,9
56545,86785,1780585988.5716343,10
56546,87098,1780585988.958497,10
56547,88059,1780585990.2323744,10
56548,89020,1780585991.7015765,10
56549,89981,1780586055.831152,10
56550,90942,1780586056.9666855,10
56551,91903,1780586058.509324,10
56552,92341,1780586058.909546,9
56553,93302,1780586060.561365,10
56554,94230,1780586061.806707,9
56555,94465,1780586062.27643,9
56556,95426,1780586063.6065655,10
56557,96387,1780586065.0677626,10
56558,97348,1780586066.5847237,10
56559,98276,1780586067.5379164,9
56560,98466,1780586067.7255404,9
56561,99427,1780586068.7658916,10
56562,100355,1780586069.887661,9
56563,101283,1780586071.345767,9
56564,102244,1780586072.0539432,10
56565,102458,1780586166.458337,9
56566,103419,1780586167.6055503,10
56567,104380,1780586168.9507244,10
56568,104630,1780586169.193245,10
56569,105558,1780586170.3879426,9
56570,106486,1780586171.6117675,9
56571,107447,1780586172.718198,10
56572,107703,1780586172.9656878,10
56573,108075,1780586173.6541612,10
56574,108280,1780586173.8629258,9
56575,108543,1780586174.1419773,10
56576,108710,1780586174.3363705,10
56577,108972,1780586174.901271,9
56578,109900,1780586175.3075738,9
56579,110175,1780586175.6514328,10
56580,111136,1780586177.983502,10
56581,112097,1780586242.4045634,10
56582,113058,1780586243.7330272,10
56583,113323,1780586243.9634542,10
56584,114251,1780586245.4515095,9
56585,114475,1780586245.8554394,9
56586,114725,1780586246.1318786,10
56587,115686,1780586246.9367356,10
56588,116647,1780586248.4067366,10
56589,117608,1780586249.9078064,10
56590,117843,1780586250.5543213,10
56591,118138,1780586250.9583948,10
56592,118431,1780586251.279711,9
56593,119359,1780586252.7310386,9
56594,120320,1780586254.6505306,10
56595,121248,1780586256.0923936,9
56596,122209,1780586257.0132453,10
56597,122403,1780586338.3008366,9
56598,123331,1780586339.110598,9
56599,124292,1780586340.3251293,10
56600,124467,1780586340.483846,9
56601,125395,1780586341.836437,9
56602,125672,1780586342.094336,9
56603,126600,1780586343.358111,9
56604,126892,1780586343.6571295,9
56605,127853,1780586344.9522521,10
56606,128814,1780586345.9855897,10
56607,129095,1780586346.2835739,9
56608,129342,1780586346.8392122,9
56609,130303,1780586347.6270182,10
56610,131264,1780586348.9810116,10
56611,131553,1780586349.2487113,10
56612,132514,1780586350.9093342,10
56613,133442,1780586418.9989936,9
56614,133694,1780586419.2776713,10
56615,133912,1780586419.5681818,10
56616,134167,1780586419.9129667,10
56617,134473,1780586420.1784642,9
56618,134733,1780586420.5488105,9
56619,135694,1780586421.8060448,10
56620,136622,1780586423.22091,9
56621,137583,1780586425.0212748,10
56622,138511,1780586426.6088288,9
56623,139472,1780586427.7658868,10
56624,140433,1780586429.2495534,10
56625,140677,1780586429.8370612,10
56626,141638,1780586430.5707161,10
56627,142599,1780586431.8887472,10
56628,143560,1780586433.2925005,10
56629,144521,1780586512.5444305,10
56630,145482,1780586513.5906441,10
56631,145760,1780586513.9714968,9
56632,146007,1780586514.2239006,9
56633,146535,1780586514.9405916,10
56634,146796,1780586515.3744714,10
56635,147757,1780586516.4160564,10
56636,148135,1780586516.8883097,9
56637,149063,1780586518.5904117,9
56638,150024,1780586520.0879338,10
56639,150952,1780586521.280292,9
56640,151880,1780586522.663541,9
56641,152808,1780586524.1025772,9
56642,152991,1780586524.25072,9
56643,153919,1780586525.178743,9
56644,154880,1780586526.9854288,10
56645,155043,1780586611.1578093,9
56646,155361,1780586611.491431,10
56647,155518,1780586611.6388636,10
56648,156479,1780586612.2144465,10
56649,157440,1780586613.5476208,10
56650,157666,1780586613.7764058,9
56651,158627,1780586615.1388984,10
56652,158813,1780586615.3160212,9
56653,159058,1780586615.7343044,10
56654,159345,1780586616.0069027,9
56655,160273,1780586617.2851837,9
56656,161234,1780586618.7949479,10
56657,161492,1780586619.0733294,10
56658,162420,1780586620.4160714,9
56659,163381,1780586621.653648,10
56660,164309,1780586622.6602685,9
56661,164560,1780586687.4571412,9
56662,165488,1780586688.2473216,9
56663,166449,1780586689.7027879,10
56664,167410,1780586691.2958505,10
56665,168338,1780586692.6110015,9
56666,169266,1780586693.591521,9
56667,169543,1780586693.8799183,10
56668,170504,1780586695.1433702,10
56669,170935,1780586695.6106052,10
56670,171163,1780586696.1401877,10
56671,171459,1780586696.4444728,9
56672,171735,1780586696.7775779,10
56673,172663,1780586698.2986796,9
56674,172911,1780586698.5611057,9
56675,173872,1780586699.8788881,10
56676,174800,1780586700.6849072,9
56677,175761,1780586776.3949296,10
56678,176722,1780586777.4959497,10
56679,176986,1780586777.7451844,9
56680,177947,1780586779.406934,10
56681,178238,1780586779.720871,10
56682,179199,1780586781.4960759,10
56683,180160,1780586782.4107938,10
56684,180341,1780586782.6007893,10
56685,180518,1780586782.7742689,9
56686,181479,1780586784.1146426,10
56687,182407,1780586785.2296505,9
56688,182773,1780586785.8701277,9
56689,182950,1780586786.0144775,10
56690,183139,1780586786.2078712,9
56691,183359,1780586786.4349205,9
56692,184320,1780586788.2105603,10
56693,185248,1780586859.2460334,9
56694,186209,1780586860.673318,10
56695,187170,1780586861.8932908,10
56696,188131,1780586863.4618225,10
56697,189092,1780586864.7406087,10
56698,189549,1780586865.4607995,10
56699,189796,1780586865.7017257,9
56700,190757,1780586867.097715,10
56701,191685,1780586868.402032,9
56702,191951,1780586868.6939497,10
56703,192296,1780586869.0652416,9
56704,192481,1780586869.7072098,9
56705,192699,1780586869.9610348,9
56706,193627,1780586871.0225942,9
56707,194588,1780586872.5953443,10
56708,194889,1780586872.905603,10
56709,195146,1780586953.4045284,10
56710,195366,1780586953.5863764,9
56711,196327,1780586954.6158564,10
56712,197288,1780586955.964779,10
56713,198216,1780586957.2527263,9
56714,199144,1780586958.4967554,9
56715,200105,1780586959.8710413,10
56716,201066,1780586961.4843388,10
56717,201345,1780586961.7593918,9
56718,202273,1780586963.2973642,9
56719,202596,1780586963.6846995,9
56720,203557,1780586965.1315107,10
56721,204518,1780586966.8774385,10
56722,205446,1780586967.8801062,9
56723,206407,1780586969.6409824,10
56724,207335,1780586971.3970134,9
