train_episode,train_steps,rel_skill,env
56501,56676,0.7213695643798711,10
56502,56901,0.6701857689707634,11
56503,57187,0.7811002981848467,9
56504,57608,0.7212153136739076,10
56505,57895,0.7818763498837706,9
56506,58856,0.7213080747996943,10
56507,59851,0.6704642296717643,11
56508,60779,0.7822296046534158,9
56509,61009,0.7822056711772978,9
56510,62004,0.6705021873617157,11
56511,62999,0.6695800627059137,11
56512,63186,0.7822056711772978,9
56513,64181,0.6707525266194332,11
56514,65109,0.7806560450950212,9
56515,66037,0.7806998127419121,9
56516,67032,0.6703482495798243,11
56517,67993,0.7232412988558119,10
56518,68921,0.7797612856493285,9
56519,69106,0.779804761233752,9
56520,70034,0.7797612908647297,9
56521,70995,0.7227584361508848,10
56522,71956,0.7223809141194445,10
56523,72884,0.7797844681076733,9
56524,73812,0.7823748118536943,9
56525,74101,0.7820472429349711,9
56526,75029,0.7799337433208897,9
56527,75990,0.7223809141194445,10
56528,76918,0.7797487634710413,9
56529,77102,0.7218713485603608,10
56530,77393,0.7217783996801308,10
56531,78321,0.7794619529127153,9
56532,79282,0.7229134691670287,10
56533,79523,0.7801927557908067,9
56534,79729,0.7222639743936833,10
56535,80690,0.7220473474893385,10
56536,81651,0.7219807155235761,10
56537,81864,0.7794694474442432,9
56538,82825,0.7218702950493179,10
56539,83048,0.7218564950977362,10
56540,83976,0.7796494518013444,9
56541,84971,0.6693748053761903,11
56542,85899,0.779656961979076,9
56543,86192,0.7801247834669353,9
56544,86505,0.7801927505754055,9
56545,86785,0.7230225023445669,10
56546,87098,0.7230225023445669,10
56547,88059,0.7217784101109332,10
56548,89020,0.7224285203016204,10
56549,89981,0.722072141506655,10
56550,90942,0.722284064119115,10
56551,91903,0.7224393474745167,10
56552,92341,0.7805184784575042,9
56553,93302,0.7221780454434719,10
56554,94230,0.7805184784575042,9
56555,94465,0.7805184784575042,9
56556,95426,0.7225406827198803,10
56557,96387,0.7222291772368606,10
56558,97348,0.7223395142646996,10
56559,98276,0.7806517006658196,9
56560,98466,0.7801247834669353,9
56561,99427,0.7223395142646996,10
56562,100355,0.780450021101321,9
56563,101283,0.7805184784575042,9
56564,102244,0.7220896756854975,10
56565,102458,0.7804726768041444,9
56566,103419,0.7216637547308987,10
56567,104380,0.7222061981791627,10
56568,104630,0.7214567554571736,10
56569,105558,0.7813334996342128,9
56570,106486,0.7813705967829658,9
56571,107447,0.7212310328931318,10
56572,107703,0.7212006271041216,10
56573,108075,0.7212310328931318,10
56574,108280,0.7803227861735861,9
56575,108543,0.7210262658111213,10
56576,108710,0.7219252236547821,10
56577,108972,0.780450021101321,9
56578,109900,0.7804726768041444,9
56579,110175,0.7220896756854975,10
56580,111136,0.7219252236547821,10
56581,112097,0.7199403671267601,10
56582,113058,0.7220896756854975,10
56583,113323,0.7199403671267601,10
56584,114251,0.7803265725548592,9
56585,114475,0.7803227861735861,9
56586,114725,0.7199735266476053,10
56587,115686,0.7200327005896482,10
56588,116647,0.7212006271041216,10
56589,117608,0.7201733078060661,10
56590,117843,0.7202471891795,10
56591,118138,0.7208647656974864,10
56592,118431,0.7802979608638625,9
56593,119359,0.7802979660792637,9
56594,120320,0.7202471891795,10
56595,121248,0.7797105606572334,9
56596,122209,0.7203539067189045,10
56597,122403,0.7782759811100817,9
56598,123331,0.7790804567455588,9
56599,124292,0.7204115681945986,10
56600,124467,0.7785598553975307,9
56601,125395,0.7782181736031536,9
56602,125672,0.7785598553975307,9
56603,126600,0.7783198009109845,9
56604,126892,0.7783795172547525,9
56605,127853,0.7216472323398893,10
56606,128814,0.7202471891795,10
56607,129095,0.7783795172547525,9
56608,129342,0.7782009419175807,9
56609,130303,0.6898413852680966,10
56610,131264,0.7216472323398893,10
56611,131553,0.7193983513413947,10
56612,132514,0.688367398149459,10
56613,133442,0.7782274152940845,9
56614,133694,0.7195681126505344,10
56615,133912,0.719183038718153,10
56616,134167,0.719183038718153,10
56617,134473,0.7786946630878115,9
56618,134733,0.7781577896880317,9
56619,135694,0.7205478153356114,10
56620,136622,0.7785450227965108,9
56621,137583,0.7215352993992825,10
56622,138511,0.7801637216523127,9
56623,139472,0.7201297800676305,10
56624,140433,0.7201297800676305,10
56625,140677,0.7189781568973163,10
56626,141638,0.6875978031172238,10
56627,142599,0.7199083758557844,10
56628,143560,0.7195681126505344,10
56629,144521,0.7199192343210878,10
56630,145482,0.7203821533318169,10
56631,145760,0.7782274152940845,9
56632,146007,0.7783715794141225,9
56633,146535,0.7197488263021992,10
56634,146796,0.7187231237785167,10
56635,147757,0.6873574461374079,10
56636,148135,0.7785477243743338,9
56637,149063,0.7785477243743338,9
56638,150024,0.7185972239934896,10
56639,150952,0.7777234197834849,9
56640,151880,0.7784658947294675,9
56641,152808,0.7787615349620293,9
56642,152991,0.7790593239398865,9
56643,153919,0.778911540331414,9
56644,154880,0.7193377170870151,10
56645,155043,0.7789238799706589,9
56646,155361,0.7198269530122118,10
56647,155518,0.7197276830657244,10
56648,156479,0.7184065176331209,10
56649,157440,0.7185541134871501,10
56650,157666,0.7786482668787145,9
56651,158627,0.7193377170870151,10
56652,158813,0.7787778695985953,9
56653,159058,0.7181422428233906,10
56654,159345,0.7786482668787145,9
56655,160273,0.7783413718103578,9
56656,161234,0.7181655869591728,10
56657,161492,0.7189594127453947,10
56658,162420,0.7786482668787145,9
56659,163381,0.7182995914776683,10
56660,164309,0.7786482668787145,9
