train_episode,train_steps,percent_done,env
56501,56676,1.0,10
56502,56901,1.0,11
56503,57187,1.0,9
56504,57608,1.0,10
56505,57895,1.0,9
56506,58856,0.5625,10
56507,59851,0.5294117647058824,11
56508,60779,0.7333333333333333,9
56509,61009,1.0,9
56510,62004,0.47058823529411764,11
56511,62999,0.5882352941176471,11
56512,63186,1.0,9
56513,64181,0.7058823529411765,11
56514,65109,0.5333333333333333,9
56515,66037,0.13333333333333333,9
56516,67032,0.8823529411764706,11
56517,67993,0.6875,10
56518,68921,0.6666666666666666,9
56519,69106,1.0,9
56520,70034,0.26666666666666666,9
56521,70995,0.375,10
56522,71956,0.8125,10
56523,72884,0.4666666666666667,9
56524,73812,0.8666666666666667,9
56525,74101,1.0,9
56526,75029,0.7333333333333333,9
56527,75990,0.875,10
56528,76918,0.6666666666666666,9
56529,77102,1.0,10
56530,77393,1.0,10
56531,78321,0.5333333333333333,9
56532,79282,0.875,10
56533,79523,1.0,9
56534,79729,1.0,10
56535,80690,0.4375,10
56536,81651,0.8125,10
56537,81864,1.0,9
56538,82825,0.5625,10
56539,83048,1.0,10
56540,83976,0.6,9
56541,84971,0.058823529411764705,11
56542,85899,0.4666666666666667,9
56543,86192,1.0,9
56544,86505,1.0,9
56545,86785,1.0,10
56546,87098,1.0,10
56547,88059,0.125,10
56548,89020,0.5625,10
56549,89981,0.4375,10
56550,90942,0.75,10
56551,91903,0.625,10
56552,92341,1.0,9
56553,93302,0.375,10
56554,94230,0.6,9
56555,94465,1.0,9
56556,95426,0.3125,10
56557,96387,0.875,10
56558,97348,0.875,10
56559,98276,0.6666666666666666,9
56560,98466,1.0,9
56561,99427,0.375,10
56562,100355,0.5333333333333333,9
56563,101283,0.4,9
56564,102244,0.375,10
56565,102458,1.0,9
56566,103419,0.3125,10
56567,104380,0.5,10
56568,104630,1.0,10
56569,105558,0.4,9
56570,106486,0.7333333333333333,9
56571,107447,0.375,10
56572,107703,1.0,10
56573,108075,1.0,10
56574,108280,1.0,9
56575,108543,1.0,10
56576,108710,1.0,10
56577,108972,1.0,9
56578,109900,0.26666666666666666,9
56579,110175,1.0,10
56580,111136,0.3125,10
56581,112097,0.625,10
56582,113058,0.875,10
56583,113323,1.0,10
56584,114251,0.8,9
56585,114475,1.0,9
56586,114725,1.0,10
56587,115686,0.1875,10
56588,116647,0.4375,10
56589,117608,0.875,10
