train_episode,train_steps,reward,env
56501,56676,169.46634674072266,10
56502,56901,177.7948455810547,11
56503,57187,160.06702136993408,9
56504,57608,170.88419914245605,10
56505,57895,158.50305652618408,9
56506,58856,62.11761975288391,10
56507,59851,60.409626483917236,11
56508,60779,108.78322869539261,9
56509,61009,160.7776918411255,9
56510,62004,61.97729343175888,11
56511,62999,110.78531423211098,11
56512,63186,157.4626979827881,9
56513,64181,130.92346900701523,11
56514,65109,65.16436540335417,9
56515,66037,16.046033464372158,9
56516,67032,151.5961136817932,11
56517,67993,109.24605044722557,10
56518,68921,88.06938999891281,9
56519,69106,156.85582160949707,9
56520,70034,25.286582484841347,9
56521,70995,67.78188775572926,10
56522,71956,129.69129567593336,10
56523,72884,76.90205816924572,9
56524,73812,126.12557172775269,9
56525,74101,162.28297519683838,9
56526,75029,109.08398032188416,9
56527,75990,141.28059196472168,10
56528,76918,86.17884755134583,9
56529,77102,167.50633907318115,10
56530,77393,172.5426197052002,10
56531,78321,88.59574310202152,9
56532,79282,138.82328748703003,10
56533,79523,160.07539176940918,9
56534,79729,169.208722114563,10
56535,80690,56.07554544694722,10
56536,81651,125.69356393814087,10
56537,81864,156.9592227935791,9
56538,82825,81.07465901970863,10
56539,83048,170.33774948120117,10
56540,83976,77.33479990065098,9
56541,84971,-12.500684136524796,11
56542,85899,55.909129202365875,9
56543,86192,158.50011539459229,9
56544,86505,161.69473552703857,9
56545,86785,171.40361404418945,10
56546,87098,174.15332221984863,10
56547,88059,5.323590370826423,10
56548,89020,87.6350536942482,10
56549,89981,35.74715557694435,10
56550,90942,107.82572889328003,10
56551,91903,97.41253542900085,10
56552,92341,164.32954788208008,9
56553,93302,55.35541154816747,10
56554,94230,87.91686134040356,9
56555,94465,160.55656242370605,9
56556,95426,34.43189287930727,10
56557,96387,140.20026922225952,10
56558,97348,140.0638976097107,10
56559,98276,85.72832345962524,9
56560,98466,158.33596420288086,9
56561,99427,18.33867311477661,10
56562,100355,76.20383733510971,9
56563,101283,50.07820875942707,9
56564,102244,21.888598814606667,10
56565,102458,158.59699249267578,9
56566,103419,36.270144913345575,10
56567,104380,74.41440188139677,10
56568,104630,171.56053066253662,10
56569,105558,40.0792860686779,9
56570,106486,107.358811378479,9
56571,107447,37.34092700481415,10
56572,107703,171.06488800048828,10
56573,108075,172.75316047668457,10
56574,108280,156.85027980804443,9
56575,108543,171.01260948181152,10
56576,108710,167.5067262649536,10
56577,108972,159.75024318695068,9
56578,109900,-10.450099468231201,9
56579,110175,171.21020984649658,10
56580,111136,57.56999915279448,10
56581,112097,105.65927494317293,10
56582,113058,138.7018928527832,10
56583,113323,172.20370483398438,10
56584,114251,129.00849762931466,9
56585,114475,158.9436273574829,9
56586,114725,170.4162073135376,10
56587,115686,-14.441834151744843,10
56588,116647,61.064162857830524,10
56589,117608,140.3623309135437,10
56590,117843,170.70877838134766,10
56591,118138,171.96482467651367,10
56592,118431,160.56079483032227,9
56593,119359,65.63400615751743,9
56594,120320,104.24177800305188,10
56595,121248,50.59145463164896,9
56596,122209,81.97800326347351,10
56597,122403,158.52937698364258,9
56598,123331,16.542358577251434,9
56599,124292,109.37117910385132,10
56600,124467,157.42639827728271,9
56601,125395,38.883040234446526,9
56602,125672,159.3484344482422,9
56603,126600,79.02593490853906,9
56604,126892,160.06970596313477,9
56605,127853,88.57690295577049,10
56606,128814,37.07869350910187,10
56607,129095,157.8698616027832,9
56608,129342,161.57907485961914,9
56609,130303,16.967931304126978,10
56610,131264,89.63178950548172,10
56611,131553,173.11297416687012,10
56612,132514,3.3605159409344196,10
56613,133442,50.16935187764466,9
56614,133694,169.22911930084229,10
56615,133912,170.3427619934082,10
56616,134167,171.2156581878662,10
56617,134473,161.8134126663208,9
56618,134733,159.87417316436768,9
56619,135694,31.846857473254204,10
56620,136622,64.72893685102463,9
56621,137583,97.0609268322587,10
56622,138511,86.2537134271115,9
56623,139472,93.07568454742432,10
56624,140433,116.55600243061781,10
56625,140677,171.00880908966064,10
56626,141638,-30.2116938829422,10
56627,142599,62.29978561401367,10
56628,143560,77.07460832595825,10
56629,144521,82.26556661725044,10
56630,145482,81.11758828163147,10
56631,145760,160.5397081375122,9
56632,146007,156.954176902771,9
56633,146535,171.4126853942871,10
56634,146796,174.1601791381836,10
56635,147757,23.83201678097248,10
56636,148135,164.3426456451416,9
56637,149063,111.47264623641968,9
56638,150024,130.09824407100677,10
56639,150952,51.83124229311943,9
56640,151880,70.90686565637589,9
56641,152808,126.59258937835693,9
56642,152991,159.54181289672852,9
56643,153919,130.72318983078003,9
56644,154880,96.50538995862007,10
56645,155043,157.01843547821045,9
56646,155361,171.00721836090088,10
56647,155518,167.5110902786255,10
56648,156479,-46.267172794789076,10
56649,157440,140.53394985198975,10
56650,157666,157.44554328918457,9
56651,158627,115.53873872756958,10
56652,158813,156.9618215560913,9
56653,159058,170.55404472351074,10
56654,159345,160.5390167236328,9
56655,160273,129.07389879226685,9
56656,161234,61.28521858993918,10
56657,161492,171.22170066833496,10
56658,162420,128.04632663726807,9
56659,163381,67.4508706331253,10
56660,164309,127.43884468078613,9
56661,164560,159.7614231109619,9
56662,165488,81.24534893035889,9
56663,166449,108.33011935651302,10
56664,167410,133.76356753706932,10
56665,168338,130.17127895355225,9
56666,169266,46.440033175982535,9
56667,169543,169.33664226531982,10
56668,170504,92.56551814079285,10
56669,170935,170.89870262145996,10
56670,171163,171.03108310699463,10
56671,171459,162.06501483917236,9
56672,171735,169.60118770599365,10
56673,172663,33.58577140700072,9
56674,172911,159.62775421142578,9
56675,173872,35.13801869750023,10
56676,174800,56.02625125646591,9
56677,175761,2.3771029710769653,10
56678,176722,67.41624617576599,10
56679,176986,160.56101036071777,9
56680,177947,29.029510751366615,10
56681,178238,171.0083293914795,10
56682,179199,25.903986901044846,10
56683,180160,36.421550119295716,10
56684,180341,167.50702285766602,10
56685,180518,157.46101665496826,9
56686,181479,127.65219044685364,10
56687,182407,88.68866950366646,9
56688,182773,164.3087863922119,9
56689,182950,171.12888050079346,10
56690,183139,156.9618787765503,9
56691,183359,156.8104476928711,9
56692,184320,99.59694540500641,10
56693,185248,26.1217283308506,9
56694,186209,61.191623085178435,10
56695,187170,78.4867502450943,10
56696,188131,26.870164841413498,10
56697,189092,144.1736855506897,10
56698,189549,170.17242431640625,10
56699,189796,159.66562175750732,9
56700,190757,139.20951223373413,10
56701,191685,67.76529750414193,9
56702,191951,169.21723651885986,10
56703,192296,161.18513298034668,9
56704,192481,156.84369087219238,9
56705,192699,159.9033088684082,9
56706,193627,86.93536138534546,9
56707,194588,78.19631898403168,10
56708,194889,170.95832061767578,10
56709,195146,170.33879280090332,10
56710,195366,159.5489959716797,9
56711,196327,-4.120059100911021,10
56712,197288,140.85877227783203,10
56713,198216,131.45289516448975,9
56714,199144,86.41727368254215,9
56715,200105,55.83113292697817,10
56716,201066,120.04058170318604,10
56717,201345,160.2126407623291,9
56718,202273,116.90997019782662,9
56719,202596,160.77295589447021,9
56720,203557,99.19102120399475,10
56721,204518,126.23247817531228,10
56722,205446,98.52410624921322,9
56723,206407,117.60779249481857,10
56724,207335,115.9433465898037,9
56725,208296,140.3570203781128,10
56726,209257,140.21546506881714,10
56727,210185,129.1326060295105,9
56728,210362,156.95823860168457,9
56729,210635,159.9029140472412,9
56730,211596,127.74317540228367,10
56731,211885,160.07572269439697,9
56732,212813,86.84571727737784,9
56733,213774,92.19994394294918,10
56734,213977,169.38517475128174,10
56735,214938,114.4072704911232,10
56736,215899,129.69436240196228,10
56737,216827,27.353160724043846,9
56738,217755,66.08661636523902,9
56739,218683,126.27922058105469,9
56740,219644,87.13518172502518,10
56741,220572,108.57487937994301,9
56742,221533,140.16152048110962,10
56743,221862,174.90079975128174,10
56744,222061,168.46009063720703,10
56745,222268,170.34477996826172,10
56746,223229,27.61528671719134,10
56747,223599,170.49151515960693,10
56748,223843,173.0107660293579,10
56749,224100,171.00691604614258,10
56750,224361,161.7322072982788,9
56751,225289,110.15982663631439,9
56752,225529,168.89860343933105,10
56753,225800,160.06660652160645,9
56754,226063,174.16814994812012,10
56755,226323,160.7604398727417,9
56756,227284,46.8698563054204,10
56757,228245,51.81563997268677,10
56758,229173,45.286608412861824,9
56759,229403,169.80669689178467,10
56760,229656,170.34486865997314,10
56761,229830,157.4659833908081,9
56762,230758,117.77441567182541,9
56763,230920,167.51027297973633,10
56764,231881,66.32433360442519,10
56765,232090,170.39867210388184,10
56766,233051,29.328229809179902,10
56767,233979,130.72392988204956,9
56768,234907,97.38697243854403,9
56769,235115,170.3571891784668,10
56770,235335,160.06696701049805,9
56771,236296,138.270516872406,10
56772,236445,156.9615602493286,9
56773,237406,76.57109609246254,10
56774,237641,159.65530395507812,9
56775,238602,50.86709228530526,10
56776,238856,158.5944309234619,9
56777,239082,160.25466442108154,9
56778,240043,40.51928570121527,10
56779,241004,45.41152399033308,10
56780,241932,25.354733526706696,9
56781,242099,157.68732261657715,9
56782,243027,128.81454944610596,9
56783,243271,158.6436243057251,9
56784,244232,106.15389919281006,10
56785,244382,167.51030254364014,10
56786,245343,60.32443296909332,10
56787,246304,129.70008132979274,10
56788,246501,169.90363311767578,10
56789,247462,63.147847175598145,10
56790,248423,41.8802954852581,10
56791,249351,37.54945692233741,9
56792,250312,79.38208484649658,10
56793,250481,156.9624729156494,9
56794,251409,129.20238494873047,9
56795,252337,67.5102550983429,9
56796,252556,159.8860559463501,9
56797,253484,115.664626121521,9
56798,254412,118.45783932507038,9
56799,255373,87.02557782828808,10
56800,256301,127.64693403244019,9
56801,257229,97.83886241912842,9
56802,257533,171.88287734985352,10
56803,258494,78.98590284585953,10
56804,259455,82.17293453216553,10
56805,260383,131.81552934646606,9
56806,261344,152.90875443816185,10
56807,261569,170.41383934020996,10
56808,262530,129.46239364147186,10
56809,263458,96.49818706512451,9
56810,264419,73.20512127876282,10
56811,265380,95.40713405609131,10
56812,266308,73.90420871973038,9
56813,266581,171.01385879516602,10
56814,267509,67.43169295787811,9
56815,267821,164.3484125137329,9
56816,268749,129.37400341033936,9
56817,269097,174.40243434906006,10
56818,269309,159.55679321289062,9
56819,269496,158.53644943237305,9
56820,269711,160.07075309753418,9
56821,269952,160.83415699005127,9
56822,270129,157.46597957611084,9
56823,270339,159.70728969573975,9
56824,270583,159.50415134429932,9
56825,271511,81.00631433725357,9
56826,271695,157.86984062194824,9
56827,271926,160.55950736999512,9
56828,272174,170.70257949829102,10
56829,273102,43.781467378139496,9
56830,273403,171.85162830352783,10
56831,273645,161.62927055358887,9
56832,274573,85.39501268882304,9
56833,275501,45.04319014772773,9
56834,276462,67.89670839905739,10
56835,276765,158.61068153381348,9
56836,277693,36.002760887145996,9
56837,278654,117.79786290973425,10
56838,279582,118.97915422916412,9
56839,280543,68.10295725241303,10
56840,281504,29.53333880007267,10
56841,282465,92.6026178598404,10
56842,283393,47.03355421312153,9
56843,283832,171.0541706085205,10
56844,284072,170.70396518707275,10
56845,285033,80.9479447901249,10
56846,285961,46.50486922264099,9
56847,286889,39.768519351258874,9
56848,287850,74.48959637060761,10
56849,288811,26.173895444720984,10
56850,289003,158.53128814697266,9
56851,289964,118.02828069031239,10
56852,290274,173.15464401245117,10
56853,291202,21.345940069295466,9
56854,292130,130.14067316055298,9
56855,293091,112.41199064254761,10
56856,293338,160.2161684036255,9
56857,294299,145.19877910614014,10
56858,294606,172.5321922302246,10
56859,295534,97.42404794692993,9
56860,295728,167.88274765014648,10
56861,296656,51.75095179397613,9
56862,296868,170.3381223678589,10
56863,297829,128.71544806659222,10
56864,298029,167.29307556152344,10
56865,298990,33.49033606424928,10
56866,299951,58.2491672039032,10
56867,300277,173.04406261444092,10
56868,301238,128.66118395328522,10
56869,302166,74.38689804077148,9
56870,303127,78.51572719961405,10
56871,303441,164.31884288787842,9
56872,304402,119.16505980491638,10
56873,305363,61.70124006271362,10
56874,306324,86.46020645834506,10
56875,307285,55.57649435661733,10
56876,308246,51.70398828946054,10
56877,309174,76.05137034598738,9
