train_episode,train_steps,mix_progress,env
56501,56676,0.0,10
56502,56901,0.0,10
56503,57187,0.0,10
56504,57608,0.0,10
56505,57895,0.0,10
56506,58856,0.0,10
56507,59851,0.0,10
56508,60779,0.0,10
56509,61009,0.0,10
56510,62004,0.0,10
56511,62999,0.0,10
56512,63186,0.0,10
56513,64181,0.0,10
56514,65109,0.0,10
56515,66037,0.0,10
56516,67032,0.0,10
56517,67993,0.0,10
56518,68921,0.0,10
56519,69106,0.0,10
56520,70034,0.0,10
56521,70995,0.0,10
56522,71956,0.0,10
56523,72884,0.0,10
56524,73812,0.0,10
56525,74101,0.0,10
56526,75029,0.0,10
56527,75990,0.0,10
56528,76918,0.0,10
56529,77102,0.0,10
56530,77393,0.0,10
56531,78321,0.0,10
56532,79282,0.0,10
56533,79523,0.0,10
56534,79729,0.0,10
56535,80690,0.0,10
56536,81651,0.0,10
56537,81864,0.0,10
56538,82825,0.0,10
56539,83048,0.0,10
56540,83976,0.0,10
56541,84971,0.0,10
56542,85899,0.0,10
56543,86192,0.0,10
56544,86505,0.0,10
56545,86785,0.0,10
56546,87098,0.0,10
56547,88059,0.0,10
56548,89020,0.0,10
56549,89981,0.0,10
56550,90942,0.0,10
56551,91903,0.0,10
56552,92341,0.0,10
56553,93302,0.0,10
56554,94230,0.0,10
56555,94465,0.0,10
56556,95426,0.0,10
56557,96387,0.0,10
56558,97348,0.0,10
56559,98276,0.0,10
56560,98466,0.0,10
56561,99427,0.0,10
56562,100355,0.0,10
56563,101283,0.0,10
56564,102244,0.0,10
56565,102458,0.0,10
56566,103419,0.0,10
56567,104380,0.0,10
56568,104630,0.0,10
56569,105558,0.0,10
56570,106486,0.0,10
56571,107447,0.0,10
56572,107703,0.0,10
56573,108075,0.0,10
56574,108280,0.0,10
56575,108543,0.0,10
56576,108710,0.0,10
56577,108972,0.0,10
56578,109900,0.0,10
56579,110175,0.0,10
56580,111136,0.0,10
56581,112097,0.0,10
56582,113058,0.0,10
56583,113323,0.0,10
56584,114251,0.0,10
56585,114475,0.0,10
56586,114725,0.0,10
56587,115686,0.0,10
56588,116647,0.0,10
56589,117608,0.0,10
56590,117843,0.0,10
56591,118138,0.0,10
56592,118431,0.0,10
56593,119359,0.0,10
56594,120320,0.0,10
56595,121248,0.0,10
56596,122209,0.0,10
56597,122403,0.0,10
56598,123331,0.0,10
56599,124292,0.0,10
56600,124467,0.0,10
56601,125395,0.0,10
56602,125672,0.0,10
56603,126600,0.0,10
56604,126892,0.0,10
56605,127853,0.0,10
56606,128814,0.0,10
56607,129095,0.0,10
56608,129342,0.0,10
56609,130303,0.0,10
56610,131264,0.0,10
56611,131553,0.0,10
56612,132514,0.0,10
56613,133442,0.0,10
56614,133694,0.0,10
56615,133912,0.0,10
56616,134167,0.0,10
56617,134473,0.0,10
56618,134733,0.0,10
56619,135694,0.0,10
56620,136622,0.0,10
56621,137583,0.0,10
56622,138511,0.0,10
56623,139472,0.0,10
56624,140433,0.0,10
56625,140677,0.0,10
56626,141638,0.0,10
56627,142599,0.0,10
56628,143560,0.0,10
56629,144521,0.0,10
56630,145482,0.0,10
56631,145760,0.0,10
56632,146007,0.0,10
56633,146535,0.0,10
56634,146796,0.0,10
56635,147757,0.0,10
56636,148135,0.0,10
56637,149063,0.0,10
56638,150024,0.0,10
56639,150952,0.0,10
56640,151880,0.0,10
56641,152808,0.0,10
56642,152991,0.0,10
56643,153919,0.0,10
56644,154880,0.0,10
56645,155043,0.0,10
56646,155361,0.0,10
56647,155518,0.0,10
56648,156479,0.0,10
56649,157440,0.0,10
56650,157666,0.0,10
56651,158627,0.0,10
56652,158813,0.0,10
56653,159058,0.0,10
56654,159345,0.0,10
56655,160273,0.0,10
56656,161234,0.0,10
56657,161492,0.0,10
56658,162420,0.0,10
56659,163381,0.0,10
56660,164309,0.0,10
56661,164560,0.0,10
56662,165488,0.0,10
56663,166449,0.0,10
56664,167410,0.0,10
56665,168338,0.0,10
56666,169266,0.0,10
56667,169543,0.0,10
56668,170504,0.0,10
56669,170935,0.0,10
56670,171163,0.0,10
56671,171459,0.0,10
56672,171735,0.0,10
56673,172663,0.0,10
56674,172911,0.0,10
56675,173872,0.0,10
56676,174800,0.0,10
56677,175761,0.0,10
56678,176722,0.0,10
56679,176986,0.0,10
56680,177947,0.0,10
56681,178238,0.0,10
56682,179199,0.0,10
56683,180160,0.0,10
56684,180341,0.0,10
56685,180518,0.0,10
56686,181479,0.0,10
56687,182407,0.0,10
56688,182773,0.0,10
56689,182950,0.0,10
56690,183139,0.0,10
56691,183359,0.0,10
