train_episode,train_steps,mix_progress,env
43751,44445,0.5,0
43752,44659,0.5,0
43753,44764,0.8694888230923581,0
43754,44823,0.8766762617467753,0
43755,44918,0.5162138771269985,0
43756,45077,0.5,0
43757,45159,0.4837787889564989,0
43758,45737,0.4898861675052112,0
43759,45841,0.4934422540604228,0
43760,46802,0.5,0
43761,47868,0.4837787889564989,0
43762,47940,0.49773349065723455,0
43763,48516,0.4872304559489375,0
43764,48698,0.4930706603752998,0
43765,48859,0.5015779211338816,0
43766,49435,0.48170539571231424,0
43767,49500,0.4772757542720003,0
43768,49647,0.45574408865524807,0
43769,50223,0.45911911208756895,0
43770,50304,0.46213039751317214,0
43771,50444,0.44222619769888644,0
43772,50540,0.4493941388625462,0
43773,51116,0.44490018161214795,0
43774,51222,0.44719472003038546,0
43775,51310,0.453654440999395,0
43776,51448,0.4594882589641925,0
43777,51543,0.4647623180553302,0
43778,51803,0.46953505468105644,0
43779,51949,0.467673861701232,0
43780,52081,0.4719952112101768,0
43781,52156,0.4759135680234721,0
43782,52240,0.47431644982472004,0
43783,52449,0.46015876290757457,0
43784,53025,0.4548555632924053,0
43785,53092,0.4587738586859693,0
43786,53200,0.4575521378291101,0
43787,53778,0.4736079907016388,0
43788,53844,0.4784357068913634,0
43789,53998,0.4759923474161797,0
43790,54051,0.480370551347806,0
43791,54193,0.48434520956714777,0
43792,54259,0.4879557362390473,0
43793,54339,0.47539623624559846,0
43794,54488,0.4759183729956123,0
43795,55066,0.47646948616697987,0
43796,55157,0.4823107826722225,0
43797,55735,0.4832756436873346,0
43798,55846,0.48468710053544684,0
43799,55897,0.48140745591781836,0
43800,55989,0.4838381273797759,0
43801,56083,0.48682178830269957,0
43802,56127,0.48602148354080965,0
43803,56288,0.48873814638316315,0
43804,56348,0.5076877647108397,0
43805,56926,0.5052112558044315,0
43806,57069,0.5055128393562447,0
43807,57189,0.5077715779896205,0
43808,57239,0.5057757320337785,0
43809,57317,0.5039412410365167,0
43810,57462,0.5022524718181625,0
43811,57546,0.5002580397936507,0
43812,58122,0.5018151312624675,0
43813,58195,0.5019808426827963,0
43814,58308,0.5021259033185117,0
43815,58426,0.5022523744618351,0
43816,58549,0.5005428409932773,0
43817,58648,0.5007956321277186,0
43818,58738,0.5035948453379935,0
43819,58840,0.5048339093483308,0
43820,58898,0.5059793555748346,0
43821,58997,0.5070400053509789,0
43822,59063,0.5080238092310344,0
43823,59188,0.5224342222258902,0
43824,59764,0.4858176917363482,0
43825,60342,0.5194819702981934,0
43826,60920,0.5289541598781727,0
43827,61102,0.5313969270284866,0
43828,61219,0.5251196646591028,0
43829,61380,0.5336228316211533,0
43830,61486,0.5356532057495301,0
43831,61541,0.5329168243604373,0
43832,61646,0.5329168243604373,0
43833,61752,0.5346140884503024,0
43834,61829,0.5361677712779628,0
43835,61934,0.537591870622799,0
43836,62080,0.5334228291012404,0
43837,62186,0.5347315309453305,0
43838,62255,0.5431802416809256,0
43839,62833,0.5480620913744577,0
43840,62899,0.5443799942256095,0
43841,62978,0.5515566741998873,0
43842,63556,0.5570106319280913,0
43843,64134,0.55917994568981,0
43844,64712,0.5461547755279582,0
43845,64810,0.5804207585427548,0
43846,64883,0.5815049735920883,0
43847,65044,0.5678538485871519,0
43848,65622,0.5882788182032666,0
43849,65701,0.5619364398767579,0
43850,65753,0.5743576144248199,0
43851,65892,0.5629473852329326,0
43852,65959,0.5575658210646132,0
43853,66070,0.5585018140537207,0
43854,66211,0.5593676456731191,0
43855,66317,0.5544737745949381,0
43856,66420,0.5500179097117716,0
43857,66502,0.5508236258527128,0
43858,66648,0.5467659444175795,0
43859,66738,0.5430674341258616,0
43860,66871,0.5396939514515875,0
43861,67449,0.544951278985457,0
43862,68025,0.5432208420511482,0
43863,68186,0.5437577110156092,0
43864,68279,0.5442674386299755,0
43865,68340,0.5409781160376698,0
43866,68452,0.5414635992119141,0
43867,68539,0.5419263851150027,0
43868,68641,0.5389211763466704,0
43869,68702,0.5180034939786997,0
43870,68850,0.517867148879302,0
43871,69428,0.5181023055196581,0
43872,69572,0.4977272351709499,0
43873,70148,0.495195074846807,0
43874,70253,0.5347183907943547,0
43875,70831,0.5324226165588368,0
43876,70978,0.5278554743351604,0
43877,71125,0.531132250619837,0
43878,71209,0.5248583590532456,0
43879,71785,0.5141648903469028,0
43880,72361,0.5014960929377883,0
43881,72436,0.498975730114024,0
43882,72525,0.4966630121001363,0
43883,72712,0.5114162541070837,0
43884,72781,0.494537782853029,0
43885,72861,0.4925818632102104,0
43886,72942,0.4907788627678158,0
43887,73031,0.4675031669254459,0
43888,73104,0.47337817459036285,0
43889,73680,0.46102191761852257,0
43890,73739,0.47171766700972145,0
43891,73881,0.47704183978574516,0
43892,73988,0.47550444914776363,0
43893,74033,0.48033113216812834,0
43894,74122,0.4789053315942862,0
43895,74227,0.48328293062677674,0
43896,74321,0.46287038244511336,0
43897,74897,0.46418960395450415,0
43898,74982,0.46053953935453934,0
43899,75560,0.46119954316952305,0
43900,75630,0.4662245216667556,0
43901,75779,0.4655858904327155,0
43902,75851,0.4707413015642094,0
43903,75934,0.47541840512215,0
43904,76077,0.4962631003303111,0
43905,76184,0.49420346479662597,0
43906,76762,0.4920104842616872,0
43907,76837,0.49616339740774423,0
43908,76983,0.49440982348558965,0
43909,77063,0.49230482658659447,0
43910,77168,0.49791363515571024,0
43911,77272,0.5039934933997047,0
43912,77405,0.5023710501929641,0
43913,77491,0.5010977361505011,0
43914,77587,0.5050069507064228,0
43915,77706,0.5035031347446409,0
43916,77793,0.5059048182906993,0
43917,77938,0.5080952186884985,0
43918,78516,0.5150874800511124,0
43919,78660,0.5133034413816003,0
43920,79238,0.528853913066784,0
43921,79816,0.5342344428814174,0
43922,79946,0.5310233221969419,0
43923,80020,0.5348361988364189,0
43924,80184,0.5330156598198876,0
43925,80237,0.5318964961807711,0
43926,80352,0.5308672648318835,0
43927,80463,0.529199088893772,0
43928,80544,0.5418101750309897,0
43929,81122,0.5455260870427392,0
43930,81202,0.5399363508420774,0
43931,81307,0.5433336836378592,0
43932,81367,0.5465584433307281,0
43933,81945,0.5451615939276003,0
43934,82023,0.5432333076652769,0
43935,82168,0.5401847532589651,0
43936,82254,0.5373863525871213,0
43937,82358,0.5386739153430186,0
43938,82433,0.5398590342618098,0
43939,82505,0.537288747207831,0
43940,82666,0.5383823030171057,0
43941,82821,0.5393923597874557,0
43942,82967,0.5370278125497161,0
43943,83050,0.5348477453107082,0
43944,83179,0.5328344942138807,0
43945,83755,0.5003849460696265,0
43946,83791,0.4985149388318996,0
43947,83881,0.49678273901360676,0
43948,84457,0.48808540614426416,0
43949,84539,0.4911763794741895,0
43950,84685,0.4896817498120231,0
43951,84757,0.4927837002446318,0
43952,84837,0.49780209894832306,0
43953,84946,0.4939399462971911,0
43954,85055,0.49640876706307496,0
43955,85195,0.4999135941322026,0
43956,85271,0.4986123293995936,0
43957,85379,0.501795109350993,0
43958,85492,0.5005772348989461,0
43959,85572,0.5061006666470119,0
43960,85646,0.5034697809658338,0
43961,85795,0.5049584534479105,0
43962,85876,0.5038846353435261,0
43963,85935,0.5062798998978181,0
43964,86012,0.5084625935704808,0
43965,86125,0.5074510233406433,0
43966,86197,0.509442226581968,0
43967,86271,0.5084870398580229,0
43968,86415,0.5075829381384382,0
43969,86474,0.5085440826297869,0
43970,86579,0.5094016447641654,0
43971,86636,0.5354051140763558,0
43972,86798,0.5369205249725938,0
43973,87376,0.5337494049002133,0
43974,87954,0.5391619165889836,0
43975,88028,0.5374015933640203,0
43976,88100,0.5337291563462307,0
43977,88244,0.536012272138074,0
43978,88357,0.5386768723313304,0
