train_episode,train_steps,stage,env
43751,44445,0,0
43752,44659,0,0
43753,44764,0,0
43754,44823,0,0
43755,44918,0,0
43756,45077,0,0
43757,45159,0,0
43758,45737,0,0
43759,45841,0,0
43760,46802,0,0
43761,47868,0,0
43762,47940,0,0
43763,48516,0,0
43764,48698,0,0
43765,48859,0,0
43766,49435,0,0
43767,49500,0,0
43768,49647,0,0
43769,50223,0,0
43770,50304,0,0
43771,50444,0,0
43772,50540,0,0
43773,51116,0,0
43774,51222,0,0
43775,51310,0,0
43776,51448,0,0
43777,51543,0,0
43778,51803,0,0
43779,51949,0,0
43780,52081,0,0
43781,52156,0,0
43782,52240,0,0
43783,52449,0,0
43784,53025,0,0
43785,53092,0,0
43786,53200,0,0
43787,53778,0,0
43788,53844,0,0
43789,53998,0,0
43790,54051,0,0
43791,54193,0,0
43792,54259,0,0
43793,54339,0,0
43794,54488,0,0
43795,55066,0,0
43796,55157,0,0
43797,55735,0,0
43798,55846,0,0
43799,55897,0,0
43800,55989,0,0
43801,56083,0,0
43802,56127,0,0
43803,56288,0,0
43804,56348,0,0
43805,56926,0,0
43806,57069,0,0
43807,57189,0,0
43808,57239,0,0
43809,57317,0,0
43810,57462,0,0
43811,57546,0,0
43812,58122,0,0
43813,58195,0,0
43814,58308,0,0
43815,58426,0,0
43816,58549,0,0
43817,58648,0,0
43818,58738,0,0
43819,58840,0,0
43820,58898,0,0
43821,58997,0,0
43822,59063,0,0
43823,59188,0,0
43824,59764,0,0
43825,60342,0,0
43826,60920,0,0
43827,61102,0,0
43828,61219,0,0
43829,61380,0,0
43830,61486,0,0
43831,61541,0,0
43832,61646,0,0
43833,61752,0,0
43834,61829,0,0
43835,61934,0,0
43836,62080,0,0
43837,62186,0,0
43838,62255,0,0
43839,62833,0,0
43840,62899,0,0
43841,62978,0,0
43842,63556,0,0
43843,64134,0,0
43844,64712,0,0
43845,64810,0,0
43846,64883,0,0
43847,65044,0,0
43848,65622,0,0
43849,65701,0,0
43850,65753,0,0
43851,65892,0,0
43852,65959,0,0
43853,66070,0,0
43854,66211,0,0
43855,66317,0,0
43856,66420,0,0
43857,66502,0,0
43858,66648,0,0
43859,66738,0,0
43860,66871,0,0
43861,67449,0,0
43862,68025,0,0
43863,68186,0,0
43864,68279,0,0
43865,68340,0,0
43866,68452,0,0
43867,68539,0,0
43868,68641,0,0
43869,68702,0,0
43870,68850,0,0
43871,69428,0,0
43872,69572,0,0
43873,70148,0,0
43874,70253,0,0
43875,70831,0,0
43876,70978,0,0
43877,71125,0,0
43878,71209,0,0
43879,71785,0,0
43880,72361,0,0
43881,72436,0,0
43882,72525,0,0
43883,72712,0,0
43884,72781,0,0
43885,72861,0,0
43886,72942,0,0
43887,73031,0,0
43888,73104,0,0
43889,73680,0,0
43890,73739,0,0
43891,73881,0,0
43892,73988,0,0
43893,74033,0,0
43894,74122,0,0
43895,74227,0,0
43896,74321,0,0
43897,74897,0,0
43898,74982,0,0
43899,75560,0,0
43900,75630,0,0
43901,75779,0,0
43902,75851,0,0
43903,75934,0,0
43904,76077,0,0
43905,76184,0,0
43906,76762,0,0
43907,76837,0,0
43908,76983,0,0
43909,77063,0,0
43910,77168,0,0
43911,77272,0,0
43912,77405,0,0
43913,77491,0,0
43914,77587,0,0
43915,77706,0,0
43916,77793,0,0
43917,77938,0,0
43918,78516,0,0
43919,78660,0,0
43920,79238,0,0
43921,79816,0,0
43922,79946,0,0
43923,80020,0,0
43924,80184,0,0
43925,80237,0,0
43926,80352,0,0
43927,80463,0,0
43928,80544,0,0
43929,81122,0,0
43930,81202,0,0
43931,81307,0,0
43932,81367,0,0
43933,81945,0,0
43934,82023,0,0
43935,82168,0,0
43936,82254,0,0
43937,82358,0,0
43938,82433,0,0
43939,82505,0,0
43940,82666,0,0
43941,82821,0,0
43942,82967,0,0
43943,83050,0,0
43944,83179,0,0
43945,83755,0,0
43946,83791,0,0
43947,83881,0,0
43948,84457,0,0
43949,84539,0,0
43950,84685,0,0
43951,84757,0,0
43952,84837,0,0
43953,84946,0,0
43954,85055,0,0
43955,85195,0,0
43956,85271,0,0
43957,85379,0,0
43958,85492,0,0
43959,85572,0,0
43960,85646,0,0
43961,85795,0,0
43962,85876,0,0
43963,85935,0,0
43964,86012,0,0
43965,86125,0,0
43966,86197,0,0
43967,86271,0,0
43968,86415,0,0
43969,86474,0,0
43970,86579,0,0
43971,86636,0,0
43972,86798,0,0
43973,87376,0,0
43974,87954,0,0
43975,88028,0,0
43976,88100,0,0
43977,88244,0,0
43978,88357,0,0
43979,88455,0,0
43980,88528,0,0
43981,88673,0,0
43982,88763,0,0
43983,88823,0,0
43984,88909,0,0
43985,89009,0,0
43986,89218,0,0
43987,89794,0,0
43988,89870,0,0
43989,89947,0,0
43990,90033,0,0
43991,90139,0,0
43992,90213,0,0
43993,90368,0,0
43994,90514,0,0
43995,90596,0,0
43996,90782,0,0
43997,90861,0,0
43998,91086,0,0
43999,91247,0,0
44000,91342,0,0
44001,91397,0,0
44002,91502,0,0
44003,91561,0,0
44004,91708,0,0
44005,91813,0,0
44006,91884,0,0
44007,92462,0,0
44008,93040,0,0
44009,93143,0,0
44010,93283,0,0
44011,93353,0,0
44012,93406,0,0
44013,93485,0,0
44014,93522,0,0
44015,93670,0,0
44016,93820,0,0
44017,93891,0,0
44018,93986,0,0
44019,94109,0,0
44020,94205,0,0
44021,94302,0,0
44022,94444,0,0
44023,94515,0,0
44024,94656,0,0
44025,94735,0,0
44026,94796,0,0
44027,94901,0,0
44028,95006,0,0
44029,95092,0,0
44030,95241,0,0
44031,95323,0,0
44032,95385,0,0
44033,95497,0,0
44034,95576,0,0
44035,95720,0,0
44036,96298,0,0
44037,96356,0,0
44038,96500,0,0
44039,96573,0,0
44040,97151,0,0
44041,97217,0,0
44042,97379,0,0
44043,97506,0,0
44044,97556,0,0
44045,97637,0,0
44046,97730,0,0
44047,97791,0,0
44048,97880,0,0
44049,98026,0,0
44050,98077,0,0
44051,98187,0,0
44052,98245,0,0
44053,98821,0,0
44054,98881,2,2
44055,98989,0,0
44056,99088,2,2
44057,99203,2,2
44058,99286,2,2
44059,99450,2,2
44060,99599,2,2
44061,99693,2,2
44062,99838,2,2
44063,99944,2,2
44064,100644,2,2
44065,100793,2,2
44066,100950,2,2
44067,101650,2,2
44068,101786,2,2
44069,101907,2,2
44070,102568,2,2
44071,102703,2,2
44072,102869,2,2
44073,102974,2,2
44074,103123,2,2
44075,103784,2,2
44076,104445,2,2
44077,105023,2,2
44078,105116,2,2
44079,105246,2,2
44080,105402,2,2
44081,105500,2,2
44082,105626,2,2
44083,105751,2,2
44084,105855,2,2
44085,106012,2,2
44086,106129,2,2
44087,106231,2,2
44088,106360,2,2
44089,106420,2,2
44090,106564,2,2
44091,107264,2,2
44092,107964,2,2
44093,108121,2,2
44094,108226,2,2
44095,108887,2,2
44096,109025,2,2
44097,109147,2,2
44098,109294,2,2
44099,109404,2,2
44100,109567,2,2
44101,109676,2,2
44102,110337,2,2
44103,110494,2,2
44104,110599,2,2
44105,111299,2,2
44106,111426,2,2
44107,111551,2,2
44108,111673,2,2
44109,111770,2,2
44110,111907,2,2
44111,112103,2,2
44112,112803,2,2
44113,113464,2,2
44114,113611,2,2
44115,114311,2,2
44116,114404,2,2
44117,115104,2,2
44118,115804,2,2
44119,115914,2,2
44120,116010,2,2
44121,116710,2,2
44122,116876,2,2
44123,117537,2,2
44124,117693,2,2
44125,118393,2,2
44126,119093,2,2
44127,119259,2,2
44128,119370,2,2
44129,119465,2,2
44130,119548,2,2
44131,120209,2,2
44132,120301,2,2
44133,120467,2,2
44134,121167,2,2
44135,121828,2,2
44136,122528,2,2
44137,122614,2,2
44138,122696,2,2
44139,123357,2,2
44140,123464,2,2
44141,123629,2,2
44142,123774,2,2
44143,123896,2,2
44144,124030,2,2
44145,124730,2,2
44146,124896,2,2
44147,125596,2,2
44148,126296,2,2
44149,126460,2,2
44150,127160,2,2
44151,127279,2,2
44152,127450,2,2
44153,128150,2,2
44154,128236,2,2
44155,128356,2,2
44156,128455,2,2
44157,128621,2,2
44158,129321,2,2
44159,129497,2,2
44160,129643,2,2
44161,129767,2,2
44162,130428,2,2
44163,130564,2,2
44164,131225,2,2
44165,131320,2,2
44166,131476,2,2
44167,132176,2,2
44168,132345,2,2
44169,133045,2,2
44170,133193,2,2
44171,133344,2,2
44172,133922,2,2
44173,134091,2,2
44174,134253,2,2
44175,134914,2,2
44176,135010,2,2
44177,135116,2,2
44178,135262,2,2
44179,135383,2,2
44180,135493,2,2
44181,135656,2,2
44182,135826,2,2
44183,135922,2,2
44184,136023,2,2
44185,136135,2,2
44186,136251,2,2
44187,136951,2,2
44188,137612,2,2
44189,138312,2,2
44190,138394,2,2
44191,138574,2,2
44192,138743,2,2
44193,138901,2,2
44194,139057,2,2
44195,139757,2,2
44196,139921,2,2
44197,140582,2,2
44198,140719,2,2
44199,141380,2,2
44200,142041,2,2
44201,142741,2,2
44202,142831,2,2
44203,142998,2,2
44204,143144,2,2
44205,143292,2,2
