train_episode,train_steps,std_history,env
43751,44445,0.0,3
43752,44659,0.0,8
43753,44764,0.0,0
43754,44823,0.0,0
43755,44918,0.0,1
43756,45077,0.0,1
43757,45159,0.30929476022720337,1
43758,45737,0.33671751618385315,1
43759,45841,0.0,0
43760,46802,0.0,6
43761,47868,0.3499999940395355,8
43762,47940,0.18633900582790375,0
43763,48516,0.21650634706020355,0
43764,48698,0.20000000298023224,0
43765,48859,0.1749635487794876,0
43766,49435,0.1851707100868225,0
43767,49500,0.2857142984867096,1
43768,49647,0.26619860529899597,1
43769,50223,0.18885256350040436,0
43770,50304,0.18333333730697632,0
43771,50444,0.2499479204416275,1
43772,50540,0.1816207766532898,0
43773,51116,0.18556739389896393,0
43774,51222,0.23622779548168182,1
43775,51310,0.1776462346315384,0
43776,51448,0.17374427616596222,0
43777,51543,0.16996730864048004,0
43778,51803,0.16634082794189453,0
43779,51949,0.2244783341884613,1
43780,52081,0.1628749668598175,0
43781,52156,0.15957118570804596,0
43782,52240,0.2142857015132904,1
43783,52449,0.1622326821088791,0
43784,53025,0.16504287719726562,0
43785,53092,0.20534269511699677,1
43786,53200,0.19741813838481903,1
43787,53778,0.21365079283714294,1
43788,53844,0.15952184796333313,0
43789,53998,0.20712022483348846,1
43790,54051,0.1569114774465561,0
43791,54193,0.1544005572795868,0
43792,54259,0.15198658406734467,0
43793,54339,0.26493918895721436,1
43794,54488,0.27140507102012634,1
43795,55066,0.2783169448375702,1
43796,55157,0.2721347510814667,1
43797,55735,0.2776643633842468,1
43798,55846,0.14966627955436707,0
43799,55897,0.2668791711330414,1
43800,55989,0.2618826925754547,1
43801,56083,0.14743588864803314,0
43802,56127,0.2571297287940979,1
43803,56288,0.14529138803482056,0
43804,56348,0.143228679895401,0
43805,56926,0.25938647985458374,1
43806,57069,0.25525930523872375,1
43807,57189,0.14124372601509094,0
43808,57239,0.2512986660003662,1
43809,57317,0.2474968284368515,1
43810,57462,0.2438458800315857,1
43811,57546,0.24033807218074799,1
43812,58122,0.17612072825431824,0
43813,58195,0.17388130724430084,0
43814,58308,0.1717170923948288,0
43815,58426,0.16962480545043945,0
43816,58549,0.23696579039096832,1
43817,58648,0.23372173309326172,1
43818,58738,0.16760118305683136,0
43819,58840,0.165643110871315,0
43820,58898,0.16374759376049042,0
43821,58997,0.16191169619560242,0
43822,59063,0.1601327657699585,0
43823,59188,0.16196492314338684,0
43824,59764,0.1636255383491516,0
43825,60342,0.23004581034183502,1
43826,60920,0.24074050784111023,1
43827,61102,0.15877975523471832,0
43828,61219,0.1603502631187439,0
43829,61380,0.15725165605545044,0
43830,61486,0.15576428174972534,0
43831,61541,0.1543160378932953,0
43832,61646,0.23789837956428528,1
43833,61752,0.1529054194688797,0
43834,61829,0.1515309065580368,0
43835,61934,0.15019117295742035,0
43836,62080,0.2351440042257309,1
43837,62186,0.1488848179578781,0
43838,62255,0.23526759445667267,1
43839,62833,0.23778793215751648,1
43840,62899,0.1476105898618698,0
43841,62978,0.23525545001029968,1
43842,63556,0.2375694066286087,1
43843,64134,0.25152596831321716,1
43844,64712,0.25048089027404785,1
43845,64810,0.2464285045862198,1
43846,64883,0.14636729657649994,0
43847,65044,0.24250878393650055,1
43848,65622,0.24843962490558624,1
43849,65701,0.2406005561351776,1
43850,65753,0.24445146322250366,1
43851,65892,0.14515376091003418,0
43852,65959,0.23872676491737366,1
43853,66070,0.143968865275383,0
43854,66211,0.14281155169010162,0
43855,66317,0.236887127161026,1
43856,66420,0.23508137464523315,1
43857,66502,0.14168086647987366,0
43858,66648,0.23330903053283691,1
43859,66738,0.23156961798667908,1
43860,66871,0.22986260056495667,1
43861,67449,0.23611994087696075,1
43862,68025,0.16233202815055847,0
43863,68186,0.16111083328723907,0
43864,68279,0.1599157750606537,0
43865,68340,0.23448581993579865,1
43866,68452,0.15874598920345306,0
43867,68539,0.15760065615177155,0
43868,68641,0.2328793704509735,1
43869,68702,0.25733715295791626,1
43870,68850,0.25566366314888,1
43871,69428,0.2590380311012268,1
43872,69572,0.1590571254491806,0
43873,70148,0.16015683114528656,0
43874,70253,0.15797880291938782,0
43875,70831,0.25345534086227417,1
43876,70978,0.25029459595680237,1
43877,71125,0.2518625259399414,1
43878,71209,0.2487511783838272,1
43879,71785,0.16593262553215027,0
43880,72361,0.1730341762304306,0
43881,72436,0.24573637545108795,1
43882,72525,0.244264155626297,1
43883,72712,0.24723191559314728,1
43884,72781,0.24281486868858337,1
43885,72861,0.24138809740543365,1
43886,72942,0.23998339474201202,1
43887,73031,0.1710459142923355,0
43888,73104,0.17002104222774506,0
43889,73680,0.1720881313085556,0
43890,73739,0.23860032856464386,1
43891,73881,0.1690130978822708,0
43892,73988,0.23723852634429932,1
43893,74033,0.16802170872688293,0
43894,74122,0.2358975112438202,1
43895,74227,0.1670464426279068,0
43896,74321,0.23457694053649902,1
43897,74897,0.16871173679828644,0
43898,74982,0.24225075542926788,1
43899,75560,0.24355511367321014,1
43900,75630,0.1677732616662979,0
43901,75779,0.24096500873565674,1
43902,75851,0.16684918105602264,0
43903,75934,0.16593916714191437,0
43904,76077,0.16504286229610443,0
43905,76184,0.24085836112499237,1
43906,76762,0.24209216237068176,1
43907,76837,0.16416002810001373,0
43908,76983,0.23844014108181,1
43909,77063,0.23964107036590576,1
43910,77168,0.16329041123390198,0
43911,77272,0.16158930957317352,0
43912,77405,0.2372552454471588,1
43913,77491,0.16243353486061096,0
43914,77587,0.1607573926448822,0
43915,77706,0.23608601093292236,1
43916,77793,0.1599375158548355,0
43917,77938,0.15912942588329315,0
43918,78516,0.2401181161403656,1
43919,78660,0.2389809489250183,1
43920,79238,0.24001534283161163,1
43921,79816,0.24361911416053772,1
43922,79946,0.24254144728183746,1
43923,80020,0.15754753351211548,0
43924,80184,0.15833283960819244,0
43925,80237,0.2414758950471878,1
43926,80352,0.15677323937416077,0
43927,80463,0.240422323346138,1
43928,80544,0.24028843641281128,1
43929,81122,0.24130497872829437,1
43930,81202,0.2392827421426773,1
