train_episode,train_steps,rel_skill,env
43751,44445,,3
43752,44659,,8
43753,44764,,0
43754,44823,,0
43755,44918,,1
43756,45077,,1
43757,45159,,1
43758,45737,,1
43759,45841,,0
43760,46802,,6
43761,47868,,8
43762,47940,,0
43763,48516,,0
43764,48698,,0
43765,48859,,0
43766,49435,,0
43767,49500,,1
43768,49647,,1
43769,50223,,0
43770,50304,0.9358323961101622,0
43771,50444,,1
43772,50540,0.9364317917395569,0
43773,51116,0.9350504770848855,0
43774,51222,,1
43775,51310,0.9378228800560815,0
43776,51448,0.9391885641533492,0
43777,51543,0.9405105014653307,0
43778,51803,0.9417797684405685,0
43779,51949,,1
43780,52081,0.9429928186062454,0
43781,52156,0.9441491408530431,0
43782,52240,0.9249990794712689,1
43783,52449,0.9432176180442743,0
43784,53025,0.9422340507469064,0
43785,53092,0.9281291285799226,1
43786,53200,0.9309027206625927,1
43787,53778,0.9252212972857027,1
43788,53844,0.9441664090464245,0
43789,53998,0.9275069938012853,1
43790,54051,0.9450800378136676,0
43791,54193,0.9459588589932857,0
43792,54259,0.9468037487726806,0
43793,54339,0.9072703765945985,1
43794,54488,0.9050073201356357,1
43795,55066,0.9025881667186838,1
43796,55157,0.9047519323695544,1
43797,55735,0.9028165699989437,1
43798,55846,0.9476158545401171,0
43799,55897,0.9065913835120522,1
43800,55989,0.9083401492584416,1
43801,56083,0.948396490576698,0
43802,56127,0.9100036849183809,1
43803,56288,0.9491470650407479,0
43804,56348,0.9498690121675976,0
43805,56926,0.9092138228370729,1
43806,57069,0.9106583325081142,1
43807,57189,0.9505637453309729,0
43808,57239,0.9120445548553171,1
43809,57317,0.9133751966719054,1
43810,57462,0.9146530273359178,1
43811,57546,0.9158807588559794,1
43812,58122,0.9383568067541819,0
43813,58195,0.9391406033238914,0
43814,58308,0.9398980777637322,0
43815,58426,0.9406303774619689,0
43816,58549,0.9170610563021049,1
43817,58648,0.9181964752208832,1
43818,58738,0.9413386445914645,0
43819,58840,0.9420239691710707,0
43820,58898,0.942687399496429,0
43821,58997,0.9433299630015762,0
43822,59063,0.9439525880279266,0
43823,59188,0.9433113335884811,0
43824,59764,0.9427301188476782,0
43825,60342,0.919483046897311,1
43826,60920,0.9157399065157049,1
43827,61102,0.9444261412417074,0
43828,61219,0.9438764640319757,0
43829,61380,0.944960975419617,0
43830,61486,0.9454815559060403,0
43831,61541,0.945988440748906,0
43832,61646,0.9167346504178499,1
43833,61752,0.9464821567037355,0
43834,61829,0.9469632357414514,0
43835,61934,0.9474321420327609,0
43836,62080,0.9176986808223134,1
43837,62186,0.9478893658253769,0
43838,62255,0.9176554242847403,1
43839,62833,0.9167733069715623,1
43840,62899,0.9483353452130004,0
43841,62978,0.9176596748367203,1
43842,63556,0.9168497908301962,1
43843,64134,0.9119649991253749,1
43844,64712,0.9123307760733073,1
43845,64810,0.9137491096457134,1
43846,64883,0.9487704974277277,0
43847,65044,0.9151210105012144,1
43848,65622,0.9130452182378266,1
43849,65701,0.9157888895637983,1
43850,65753,0.9144410734310504,1
43851,65892,0.9491952344862536,0
43852,65959,0.9164447158342034,1
43853,66070,0.9496099475436685,0
43854,66211,0.9500150068934576,0
43855,66317,0.9170885884050526,1
43856,66420,0.9177206011535674,1
43857,66502,0.950410746321298,0
43858,66648,0.9183409209725862,1
43859,66738,0.9189497147549477,1
43860,66871,0.919547170255095,1
43861,67449,0.9173571033359604,1
43862,68025,0.9431828469644576,0
43863,68186,0.9436102647392016,0
43864,68279,0.9440285347002365,0
43865,68340,0.9179290450934254,1
43866,68452,0.9444379593408322,0
43867,68539,0.9448388255080545,0
43868,68641,0.9184913018508575,1
43869,68702,0.9099310865336429,1
43870,68850,0.9105168073810848,1
43871,69428,0.909335779778791,1
43872,69572,0.9443290617637251,0
43873,70148,0.9439441651549847,0
43874,70253,0.9447064742717401,0
43875,70831,0.9112897194084847,1
43876,70978,0.9123959790191402,1
43877,71125,0.9118472040738166,1
43878,71209,0.912936174629486,1
43879,71785,0.9419226391411083,0
43880,72361,0.9394370988822505,0
