train_episode,train_steps,reward,env
43751,44445,-3693.0,3
43752,44659,-1980.0,8
43753,44764,-360.0,0
43754,44823,-235.0,0
43755,44918,-412.0,1
43756,45077,-508.0,1
43757,45159,-295.0,1
43758,45737,-3027.0,1
43759,45841,-360.0,0
43760,46802,-8075.0,6
43761,47868,-15377.0,8
43762,47940,-289.0,0
43763,48516,-1832.0,0
43764,48698,-599.0,0
43765,48859,-528.0,0
43766,49435,-1451.0,0
43767,49500,-304.0,1
43768,49647,-553.0,1
43769,50223,-1309.0,0
43770,50304,-296.0,0
43771,50444,-612.0,1
43772,50540,-290.0,0
43773,51116,-1393.0,0
43774,51222,-442.0,1
43775,51310,-314.0,0
43776,51448,-514.0,0
43777,51543,-315.0,0
43778,51803,-473.0,0
43779,51949,-554.0,1
43780,52081,-323.0,0
43781,52156,-293.0,0
43782,52240,-389.0,1
43783,52449,-440.0,0
43784,53025,-1380.0,0
43785,53092,-278.0,1
43786,53200,-430.0,1
43787,53778,-1887.0,1
43788,53844,-257.0,0
43789,53998,-501.0,1
43790,54051,-238.0,0
43791,54193,-584.0,0
43792,54259,-245.0,0
43793,54339,-345.0,1
43794,54488,-590.0,1
43795,55066,-3517.0,1
43796,55157,-297.0,1
43797,55735,-2451.0,1
43798,55846,-360.0,0
43799,55897,-271.0,1
43800,55989,-424.0,1
43801,56083,-314.0,0
43802,56127,-209.0,1
43803,56288,-545.0,0
43804,56348,-234.0,0
43805,56926,-2031.0,1
43806,57069,-494.0,1
43807,57189,-405.0,0
43808,57239,-250.0,1
43809,57317,-266.0,1
43810,57462,-542.0,1
43811,57546,-387.0,1
43812,58122,-2375.0,0
43813,58195,-299.0,0
43814,58308,-379.0,0
43815,58426,-593.0,0
43816,58549,-395.0,1
43817,58648,-341.0,1
43818,58738,-274.0,0
43819,58840,-280.0,0
43820,58898,-228.0,0
43821,58997,-366.0,0
43822,59063,-258.0,0
43823,59188,-367.0,0
43824,59764,-1335.0,0
43825,60342,-1050.0,1
43826,60920,-2524.0,1
43827,61102,-542.0,0
43828,61219,-404.0,0
43829,61380,-545.0,0
43830,61486,-329.0,0
43831,61541,-212.0,0
43832,61646,-433.0,1
43833,61752,-313.0,0
43834,61829,-204.0,0
43835,61934,-414.0,0
43836,62080,-546.0,1
43837,62186,-398.0,0
43838,62255,-365.0,1
43839,62833,-1934.0,1
43840,62899,-229.0,0
43841,62978,-317.0,1
43842,63556,-2086.0,1
43843,64134,-1926.0,1
43844,64712,-3023.0,1
43845,64810,-272.0,1
43846,64883,-291.0,0
43847,65044,-631.0,1
43848,65622,-854.0,1
43849,65701,-288.0,1
43850,65753,-242.0,1
43851,65892,-517.0,0
43852,65959,-338.0,1
43853,66070,-383.0,0
43854,66211,-539.0,0
43855,66317,-422.0,1
43856,66420,-398.0,1
43857,66502,-314.0,0
43858,66648,-533.0,1
43859,66738,-339.0,1
43860,66871,-482.0,1
43861,67449,-2462.0,1
43862,68025,-2386.0,0
43863,68186,-542.0,0
43864,68279,-326.0,0
43865,68340,-271.0,1
43866,68452,-319.0,0
43867,68539,-290.0,0
43868,68641,-417.0,1
43869,68702,-267.0,1
43870,68850,-554.0,1
43871,69428,-4046.0,1
43872,69572,-528.0,0
43873,70148,-1335.0,0
43874,70253,-365.0,0
43875,70831,-812.0,1
43876,70978,-493.0,1
43877,71125,-536.0,1
43878,71209,-299.0,1
43879,71785,-1864.0,0
43880,72361,-1872.0,0
43881,72436,-264.0,1
43882,72525,-410.0,1
43883,72712,-673.0,1
43884,72781,-225.0,1
43885,72861,-320.0,1
43886,72942,-415.0,1
43887,73031,-342.0,0
43888,73104,-292.0,0
43889,73680,-729.0,0
43890,73739,-286.0,1
43891,73881,-566.0,0
43892,73988,-419.0,1
43893,74033,-197.0,0
43894,74122,-327.0,1
43895,74227,-327.0,0
43896,74321,-294.0,1
43897,74897,-1286.0,0
43898,74982,-317.0,1
43899,75560,-2978.0,1
43900,75630,-235.0,0
43901,75779,-580.0,1
43902,75851,-299.0,0
43903,75934,-309.0,0
43904,76077,-527.0,0
43905,76184,-414.0,1
43906,76762,-1874.0,1
43907,76837,-292.0,0
43908,76983,-574.0,1
43909,77063,-322.0,1
43910,77168,-354.0,0
43911,77272,-315.0,0
43912,77405,-489.0,1
43913,77491,-332.0,0
43914,77587,-303.0,0
43915,77706,-538.0,1
43916,77793,-299.0,0
43917,77938,-550.0,0
