train_episode,train_steps,time,env
43751,44445,1776843226.5761745,3
43752,44659,1776843228.831025,8
43753,44764,1776843229.1334078,0
43754,44823,1776843230.2884784,0
43755,44918,1776843232.2742727,1
43756,45077,1776843235.272384,1
43757,45159,1776843237.2235272,1
43758,45737,1776843241.6193993,1
43759,45841,1776843243.3153727,0
43760,46802,1776843250.7198114,6
43761,47868,1776843256.4997673,8
43762,47940,1776843256.7019892,0
43763,48516,1776843258.6113522,0
43764,48698,1776843258.9810348,0
43765,48859,1776843259.2707508,0
43766,49435,1776843261.07112,0
43767,49500,1776843261.8769078,1
43768,49647,1776843262.35344,1
43769,50223,1776843263.677074,0
43770,50304,1776843263.915411,0
43771,50444,1776843265.0538614,1
43772,50540,1776843265.3895009,0
43773,51116,1776843267.007192,0
43774,51222,1776843267.333057,1
43775,51310,1776843267.5763342,0
43776,51448,1776843268.5494797,0
43777,51543,1776843269.53188,0
43778,51803,1776843271.0476685,0
43779,51949,1776843271.4941127,1
43780,52081,1776843271.9517622,0
43781,52156,1776843272.7161806,0
43782,52240,1776843273.6602492,1
43783,52449,1776843628.4618163,0
43784,53025,1776843630.4064274,0
43785,53092,1776843630.7752619,1
43786,53200,1776843631.0625098,1
43787,53778,1776843633.1229074,1
43788,53844,1776843633.3291464,0
43789,53998,1776843634.2535913,1
43790,54051,1776843634.6553488,0
43791,54193,1776843635.4696693,0
43792,54259,1776843636.2080433,0
43793,54339,1776843638.016059,1
43794,54488,1776843638.651018,1
43795,55066,1776843640.0177379,1
43796,55157,1776843640.2778337,1
43797,55735,1776843641.6537135,1
43798,55846,1776843641.9429092,0
43799,55897,1776843642.1620605,1
43800,55989,1776843642.4773903,1
43801,56083,1776843643.7363064,0
43802,56127,1776843643.9051874,1
43803,56288,1776843645.052226,0
43804,56348,1776843645.4337003,0
43805,56926,1776843646.7449164,1
43806,57069,1776843647.256597,1
43807,57189,1776843647.5387857,0
43808,57239,1776843648.2990997,1
43809,57317,1776843649.4397225,1
43810,57462,1776843650.1158435,1
43811,57546,1776843650.3312068,1
43812,58122,1776843651.6660805,0
43813,58195,1776843651.9095805,0
43814,58308,1776843652.118443,0
43815,58426,1776843828.6393785,0
43816,58549,1776843828.9868436,1
43817,58648,1776843829.3342896,1
43818,58738,1776843829.8734398,0
43819,58840,1776843830.6108425,0
43820,58898,1776843830.797309,0
43821,58997,1776843832.007977,0
43822,59063,1776843832.3767939,0
43823,59188,1776843833.953693,0
43824,59764,1776843835.084106,0
43825,60342,1776843837.0221806,1
43826,60920,1776843837.8332672,1
43827,61102,1776843838.2046907,0
43828,61219,1776843838.7379103,0
43829,61380,1776843839.3512168,0
43830,61486,1776843839.6062644,0
43831,61541,1776843840.1714659,0
43832,61646,1776843840.5112076,1
43833,61752,1776843841.2341063,0
43834,61829,1776843841.5010557,0
43835,61934,1776843841.9771898,0
43836,62080,1776843844.028352,1
43837,62186,1776843844.3066883,0
43838,62255,1776843846.0627682,1
43839,62833,1776843847.4856975,1
43840,62899,1776843848.0102544,0
43841,62978,1776843849.7771757,1
43842,63556,1776843851.74314,1
43843,64134,1776843853.2792022,1
43844,64712,1776843856.1063957,1
43845,64810,1776843856.4586656,1
43846,64883,1776843856.6447084,0
43847,65044,1776844059.4380734,1
43848,65622,1776844061.2791138,1
43849,65701,1776844061.4695034,1
43850,65753,1776844061.643848,1
43851,65892,1776844061.9983182,0
43852,65959,1776844063.1153054,1
43853,66070,1776844063.4989946,0
43854,66211,1776844063.999609,0
43855,66317,1776844064.4986784,1
43856,66420,1776844065.3480318,1
43857,66502,1776844065.6464074,0
43858,66648,1776844066.4100454,1
43859,66738,1776844067.1056435,1
43860,66871,1776844069.2513096,1
43861,67449,1776844070.8569763,1
43862,68025,1776844071.4778562,0
43863,68186,1776844072.0531569,0
43864,68279,1776844072.9301925,0
43865,68340,1776844073.1536443,1
43866,68452,1776844074.0821993,0
43867,68539,1776844074.896453,0
43868,68641,1776844075.2300634,1
43869,68702,1776844076.3786278,1
43870,68850,1776844076.9393,1
43871,69428,1776844080.6194594,1
43872,69572,1776844081.2361753,0
43873,70148,1776844082.354204,0
43874,70253,1776844082.6169941,0
43875,70831,1776844084.8952484,1
43876,70978,1776844085.293722,1
43877,71125,1776844085.6679432,1
43878,71209,1776844087.043595,1
43879,71785,1776844285.9951558,0
43880,72361,1776844287.925892,0
43881,72436,1776844288.186391,1
43882,72525,1776844288.4148073,1
43883,72712,1776844289.0208385,1
43884,72781,1776844289.7744722,1
43885,72861,1776844290.0986798,1
43886,72942,1776844291.0365288,1
43887,73031,1776844291.4592185,0
43888,73104,1776844292.0385869,0
43889,73680,1776844294.068911,0
43890,73739,1776844294.2506208,1
43891,73881,1776844294.7396715,0
43892,73988,1776844295.0528758,1
43893,74033,1776844295.4884384,0
43894,74122,1776844296.0935683,1
43895,74227,1776844297.1984487,0
43896,74321,1776844297.859019,1
43897,74897,1776844299.4889271,0
43898,74982,1776844299.7545907,1
43899,75560,1776844300.7946558,1
43900,75630,1776844301.2203574,0
43901,75779,1776844302.3087626,1
43902,75851,1776844302.8224564,0
43903,75934,1776844303.2614195,0
43904,76077,1776844305.0750017,0
43905,76184,1776844305.3340309,1
43906,76762,1776844307.5920389,1
43907,76837,1776844307.8145273,0
43908,76983,1776844308.2045488,1
43909,77063,1776844308.4936018,1
43910,77168,1776844309.3085163,0
43911,77272,1776844487.319905,0
43912,77405,1776844487.7930813,1
43913,77491,1776844488.0162673,0
43914,77587,1776844489.1953473,0
43915,77706,1776844489.530761,1
43916,77793,1776844489.8752425,0
43917,77938,1776844490.4272814,0
43918,78516,1776844493.080312,1
43919,78660,1776844493.681082,1
43920,79238,1776844494.7423491,1
43921,79816,1776844496.162266,1
43922,79946,1776844496.5979025,1
43923,80020,1776844496.8394337,0
43924,80184,1776844497.4108953,0
43925,80237,1776844497.6728764,1
