train_episode,train_steps,time,env
45251,45482,1776883053.29644,1
45252,46384,1776883064.3724556,0
45253,47286,1776883069.735849,0
45254,48247,1776883072.9559517,1
45255,48397,1776883073.5788171,0
45256,49299,1776883080.8556898,0
45257,50201,1776883087.3611093,0
45258,50318,1776883088.4963162,0
45259,51279,1776883361.0497873,1
45260,52181,1776883364.8658972,0
45261,53142,1776883369.2699747,1
45262,53315,1776883370.4330876,0
45263,54276,1776883372.745196,1
45264,54433,1776883377.0519774,0
45265,55335,1776883382.8291986,0
45266,56237,1776883384.9644835,0
45267,57139,1776883630.8175864,0
45268,58100,1776883634.9326792,1
45269,59061,1776883638.300547,1
45270,60022,1776883645.4118075,1
45271,60924,1776883647.589265,0
45272,61885,1776883651.4029427,1
45273,62846,1776883656.8266613,1
45274,63181,1776883658.120862,0
45275,64142,1776884012.5408843,1
45276,65044,1776884015.3357363,0
45277,66005,1776884019.0650632,1
45278,66166,1776884020.7093925,0
45279,67127,1776884030.2724047,1
45280,68088,1776884037.0171313,1
45281,68304,1776884038.1318457,0
45282,69265,1776884044.5135953,1
45283,70226,1776884439.0667787,1
45284,70527,1776884440.7175589,0
45285,71488,1776884445.8394518,1
45286,72390,1776884451.6818638,0
45287,72568,1776884452.9355528,1
45288,73470,1776884459.3070364,0
45289,73719,1776884461.8161774,1
45290,74680,1776884472.263117,1
45291,75641,1776884858.861239,1
45292,76543,1776884863.6466322,0
45293,77445,1776884867.9821775,0
45294,78347,1776884874.4678657,0
45295,78496,1776884875.3857806,0
45296,78777,1776884877.4524662,0
45297,79738,1776884886.1477063,1
45298,80109,1776884888.2857983,0
45299,81011,1776885248.398682,0
45300,81972,1776885255.6388578,1
45301,82874,1776885260.6672187,0
45302,83776,1776885266.2142124,0
45303,84737,1776885271.4174566,1
45304,85698,1776885281.2785475,1
45305,86659,1776885290.125113,1
45306,87561,1776885296.6280737,0
45307,88522,1776885784.2070167,1
45308,89483,1776885790.1196728,1
45309,90444,1776885793.0935733,1
45310,91405,1776885798.647571,1
45311,92366,1776885802.8381822,1
45312,93327,1776885812.968068,1
45313,94288,1776885816.4840837,1
45314,95190,1776885827.0670063,0
45315,96092,1776886269.7164106,0
45316,97053,1776886276.8190963,1
45317,98014,1776886283.8869448,1
45318,98142,1776886284.551196,0
45319,99044,1776886288.516935,0
45320,99264,1776886291.743668,0
45321,100225,1776886295.372349,1
45322,101127,1776886300.9320316,0
45323,102088,1776886609.7200732,1
45324,102302,1776886611.1107543,1
45325,102581,1776886613.087212,0
45326,102742,1776886615.5630083,0
45327,102913,1776886617.6119373,0
45328,103815,1776886623.574322,0
45329,104776,1776886634.2433062,1
45330,105678,1776886639.7030034,0
45331,106639,1776886904.9227834,1
45332,107600,1776886911.538066,1
45333,107858,1776886913.2960708,1
45334,108819,1776886919.8209758,1
45335,109031,1776886921.7204435,1
45336,109168,1776886922.6718721,1
45337,110070,1776886927.797771,0
45338,110269,1776886929.1727352,1
45339,111230,1776887269.2913294,1
45340,112191,1776887273.7173953,1
45341,113152,1776887279.8080926,1
45342,113481,1776887282.180353,1
45343,114383,1776887285.9437897,0
45344,114607,1776887287.2107913,0
45345,114770,1776887291.5742023,0
45346,114934,1776887293.2268784,0
45347,115836,1776887567.8765528,0
45348,116797,1776887573.1064348,1
45349,117758,1776887579.5579576,1
45350,117929,1776887580.8990107,0
45351,118890,1776887586.9777389,1
45352,119093,1776887588.7816103,0
45353,119995,1776887594.0065506,0
45354,120897,1776887601.005196,0
45355,121858,1776888003.691176,1
45356,122819,1776888006.6055608,1
45357,123721,1776888012.1157644,0
45358,124623,1776888017.1649425,0
45359,124822,1776888019.1774845,1
45360,125783,1776888027.3063533,1
45361,126685,1776888034.8430352,0
45362,127646,1776888043.3052368,1
45363,128607,1776888467.2049162,1
45364,128758,1776888468.554335,1
45365,129719,1776888473.0270007,1
45366,130621,1776888482.4400196,0
45367,131582,1776888488.0955505,1
45368,132543,1776888493.0741112,1
45369,133504,1776888499.7320542,1
45370,134406,1776888505.6742501,0
45371,135367,1776888888.5412247,1
45372,136269,1776888893.5047317,0
45373,137171,1776888897.1568823,0
45374,138073,1776888908.685098,0
45375,139034,1776888915.1603787,1
45376,139995,1776888924.1900377,1
45377,140956,1776888930.5987008,1
45378,141253,1776888932.3020315,0
45379,142214,1776889452.9423466,1
45380,143175,1776889459.570338,1
45381,144136,1776889466.3007526,1
45382,145038,1776889470.022165,0
45383,145999,1776889474.0369966,1
45384,146960,1776889477.7421083,1
45385,147144,1776889478.7542267,0
45386,148046,1776889486.5039358,0
45387,148948,1776889877.9403214,0
45388,149200,1776889879.3963747,0
45389,149407,1776889880.7572339,0
45390,150368,1776889886.1810045,1
