train_episode,train_steps,median_history,env
45251,45482,,1
45252,46384,,0
45253,47286,,0
45254,48247,,1
45255,48397,,0
45256,49299,,0
45257,50201,,0
45258,50318,,0
45259,51279,,1
45260,52181,,0
45261,53142,,1
45262,53315,,0
45263,54276,,1
45264,54433,,0
45265,55335,,0
45266,56237,,0
45267,57139,,0
45268,58100,,1
45269,59061,,1
45270,60022,,1
45271,60924,,0
45272,61885,,1
45273,62846,,1
45274,63181,,0
45275,64142,,1
45276,65044,,0
45277,66005,,1
45278,66166,,0
45279,67127,,1
45280,68088,,1
45281,68304,,0
45282,69265,,1
45283,70226,,1
45284,70527,,0
45285,71488,,1
45286,72390,,0
45287,72568,,1
45288,73470,,0
45289,73719,,1
45290,74680,,1
45291,75641,,1
45292,76543,,0
45293,77445,,0
45294,78347,,0
45295,78496,,0
45296,78777,,0
45297,79738,,1
45298,80109,,0
45299,81011,,0
45300,81972,,1
45301,82874,,0
45302,83776,,0
45303,84737,,1
45304,85698,,1
45305,86659,,1
45306,87561,,0
45307,88522,,1
45308,89483,,1
45309,90444,,1
45310,91405,,1
45311,92366,,1
45312,93327,,1
45313,94288,,1
45314,95190,,0
45315,96092,,0
45316,97053,,1
45317,98014,,1
45318,98142,,0
45319,99044,,0
45320,99264,,0
45321,100225,,1
45322,101127,,0
45323,102088,,1
45324,102302,,1
45325,102581,,0
45326,102742,,0
45327,102913,,0
45328,103815,,0
45329,104776,,1
45330,105678,,0
45331,106639,,1
45332,107600,,1
45333,107858,,1
45334,108819,,1
45335,109031,,1
45336,109168,,1
45337,110070,,0
45338,110269,,1
45339,111230,,1
45340,112191,,1
45341,113152,,1
45342,113481,,1
45343,114383,,0
45344,114607,,0
45345,114770,,0
45346,114934,,0
45347,115836,,0
45348,116797,,1
45349,117758,,1
45350,117929,,0
45351,118890,,1
45352,119093,,0
45353,119995,,0
45354,120897,,0
45355,121858,,1
45356,122819,,1
45357,123721,,0
45358,124623,,0
45359,124822,,1
45360,125783,,1
45361,126685,,0
45362,127646,,1
45363,128607,,1
45364,128758,,1
45365,129719,,1
45366,130621,,0
45367,131582,,1
45368,132543,,1
45369,133504,,1
45370,134406,,0
45371,135367,,1
45372,136269,,0
45373,137171,,0
45374,138073,,0
45375,139034,,1
45376,139995,,1
45377,140956,,1
45378,141253,,0
45379,142214,,1
45380,143175,,1
45381,144136,,1
45382,145038,,0
45383,145999,,1
45384,146960,,1
45385,147144,,0
45386,148046,,0
45387,148948,,0
45388,149200,,0
45389,149407,,0
45390,150368,,1
45391,150513,,1
45392,151474,,1
45393,152435,,1
45394,153337,,0
45395,154239,,0
