train_episode,train_steps,reward,env
45251,45482,-1559.0,1
45252,46384,-4212.0,0
45253,47286,-7024.0,0
45254,48247,-9445.0,1
45255,48397,-1016.0,0
45256,49299,-4311.0,0
45257,50201,-3447.0,0
45258,50318,-1036.0,0
45259,51279,-11018.0,1
45260,52181,-9244.0,0
45261,53142,-12094.0,1
45262,53315,-1405.0,0
45263,54276,-13206.0,1
45264,54433,-1173.0,0
45265,55335,-6890.0,0
45266,56237,-10276.0,0
45267,57139,-3149.0,0
45268,58100,-8413.0,1
45269,59061,-7362.0,1
45270,60022,-7117.0,1
45271,60924,-6902.0,0
45272,61885,-12670.0,1
45273,62846,-6059.0,1
45274,63181,-1944.0,0
45275,64142,-3218.0,1
45276,65044,-7695.0,0
45277,66005,-10195.0,1
45278,66166,-1420.0,0
45279,67127,-5706.0,1
45280,68088,-6595.0,1
45281,68304,-1789.0,0
45282,69265,-7547.0,1
45283,70226,-6992.0,1
45284,70527,-1561.0,0
45285,71488,-11809.0,1
45286,72390,-2881.0,0
45287,72568,-1534.0,1
45288,73470,-3062.0,0
45289,73719,-1758.0,1
45290,74680,-10778.0,1
45291,75641,-11118.0,1
45292,76543,-8364.0,0
45293,77445,-5264.0,0
45294,78347,-4620.0,0
45295,78496,-950.0,0
45296,78777,-1768.0,0
45297,79738,-5772.0,1
45298,80109,-1331.0,0
45299,81011,-4263.0,0
45300,81972,-14444.0,1
45301,82874,-3929.0,0
45302,83776,-3250.0,0
45303,84737,-11810.0,1
45304,85698,-12016.0,1
45305,86659,-9089.0,1
45306,87561,-4767.0,0
45307,88522,-5191.0,1
45308,89483,-5675.0,1
45309,90444,-11299.0,1
45310,91405,-9295.0,1
45311,92366,-9556.0,1
45312,93327,-5119.0,1
45313,94288,-14441.0,1
45314,95190,-6420.0,0
45315,96092,-9176.0,0
45316,97053,-14483.0,1
45317,98014,-10877.0,1
45318,98142,-932.0,0
45319,99044,-9218.0,0
45320,99264,-1624.0,0
45321,100225,-10997.0,1
45322,101127,-8341.0,0
45323,102088,-9303.0,1
45324,102302,-1485.0,1
45325,102581,-1523.0,0
45326,102742,-1540.0,0
45327,102913,-1126.0,0
45328,103815,-3008.0,0
45329,104776,-13603.0,1
45330,105678,-5922.0,0
45331,106639,-7531.0,1
45332,107600,-7208.0,1
45333,107858,-1476.0,1
45334,108819,-3402.0,1
45335,109031,-1622.0,1
45336,109168,-1290.0,1
45337,110070,-8321.0,0
45338,110269,-1649.0,1
45339,111230,-11899.0,1
45340,112191,-10197.0,1
45341,113152,-11010.0,1
45342,113481,-1995.0,1
45343,114383,-8360.0,0
45344,114607,-1395.0,0
45345,114770,-1003.0,0
45346,114934,-1268.0,0
45347,115836,-4635.0,0
45348,116797,-6497.0,1
45349,117758,-5840.0,1
45350,117929,-1331.0,0
45351,118890,-6034.0,1
45352,119093,-1439.0,0
45353,119995,-9492.0,0
45354,120897,-6058.0,0
45355,121858,-8287.0,1
45356,122819,-10941.0,1
45357,123721,-3003.0,0
45358,124623,-3113.0,0
45359,124822,-1793.0,1
45360,125783,-10039.0,1
45361,126685,-6159.0,0
45362,127646,-9818.0,1
45363,128607,-11933.0,1
45364,128758,-889.0,1
45365,129719,-13590.0,1
45366,130621,-7861.0,0
45367,131582,-12661.0,1
45368,132543,-8382.0,1
45369,133504,-10105.0,1
45370,134406,-2959.0,0
45371,135367,-8344.0,1
45372,136269,-6679.0,0
45373,137171,-9494.0,0
45374,138073,-4483.0,0
45375,139034,-7183.0,1
45376,139995,-5726.0,1
45377,140956,-5736.0,1
45378,141253,-2075.0,0
45379,142214,-8305.0,1
45380,143175,-7831.0,1
45381,144136,-10999.0,1
45382,145038,-8488.0,0
45383,145999,-10856.0,1
45384,146960,-12574.0,1
45385,147144,-1281.0,0
45386,148046,-3512.0,0
45387,148948,-5983.0,0
45388,149200,-1619.0,0
45389,149407,-1333.0,0
45390,150368,-8950.0,1
45391,150513,-1246.0,1
45392,151474,-3359.0,1
45393,152435,-9402.0,1
45394,153337,-5495.0,0
45395,154239,-5379.0,0
45396,155141,-2995.0,0
45397,155353,-1598.0,1
45398,156255,-3003.0,0
45399,157216,-4117.0,1
45400,158177,-3678.0,1
45401,159079,-7516.0,0
45402,160040,-5810.0,1
45403,161001,-9471.0,1
45404,161903,-5283.0,0
45405,162147,-1687.0,1
45406,162299,-1273.0,0
45407,162553,-1595.0,0
45408,162707,-1152.0,0
45409,162929,-1621.0,1
45410,163831,-8541.0,0
45411,164792,-5890.0,1
45412,165694,-3360.0,0
45413,166655,-5856.0,1
45414,166797,-769.0,0
45415,167758,-6634.0,1
45416,167898,-1303.0,0
45417,168800,-6720.0,0
45418,168976,-1353.0,0
45419,169878,-7918.0,0
45420,170049,-1342.0,0
45421,170951,-5836.0,0
45422,171912,-9036.0,1
45423,172873,-10057.0,1
45424,173834,-8249.0,1
45425,174795,-10953.0,1
45426,175697,-7212.0,0
45427,175871,-1475.0,1
45428,176832,-13562.0,1
45429,176998,-1129.0,0
45430,177900,-8394.0,0
45431,178861,-3644.0,1
45432,179822,-12742.0,1
45433,180783,-6540.0,1
45434,181744,-11680.0,1
45435,182705,-6557.0,1
45436,183607,-4044.0,0
45437,184509,-9287.0,0
45438,185470,-3284.0,1
