train_episode,train_steps,time,env
47501,47673,1780431036.8675501,8
47502,47841,1780431037.8426802,6
47503,48645,1780431039.1618507,7
47504,49547,1780431040.0594854,8
47505,49743,1780431040.2257826,8
47506,50645,1780431042.003946,8
47507,51349,1780431042.8043592,6
47508,52153,1780431044.6705575,7
47509,52354,1780431045.032533,6
47510,53158,1780431045.969972,7
47511,54060,1780431047.3279169,8
47512,54962,1780431048.648299,8
47513,55864,1780431049.7391462,8
47514,56668,1780431050.6707795,7
47515,56952,1780431051.742016,8
47516,57854,1780431053.0147138,8
47517,58558,1780431118.4543245,6
47518,59460,1780431119.340776,8
47519,59722,1780431119.5361543,7
47520,59922,1780431120.8150454,6
47521,60157,1780431121.0232296,8
47522,60961,1780431122.0456574,7
47523,61665,1780431124.7382746,6
47524,62369,1780431125.5452404,6
47525,63271,1780431126.8455994,8
47526,63559,1780431127.2737997,7
47527,63825,1780431127.4663436,7
47528,64727,1780431128.637605,8
47529,65629,1780431130.930045,8
47530,66433,1780431131.4938378,7
47531,67335,1780431133.1818175,8
47532,68237,1780431134.481423,8
47533,68448,1780431202.9343386,6
47534,69152,1780431203.644589,6
47535,70054,1780431204.6567717,8
47536,70225,1780431204.8831232,6
47537,70441,1780431205.0782912,8
47538,70627,1780431205.810311,6
47539,71431,1780431207.5198643,7
47540,72333,1780431211.2845757,8
47541,73235,1780431212.7562685,8
47542,74137,1780431213.788548,8
47543,74314,1780431213.9282067,6
47544,75216,1780431215.113596,8
47545,76118,1780431216.1708486,8
47546,76395,1780431216.4223132,7
47547,77199,1780431218.714743,7
47548,78003,1780431219.5194938,7
47549,78303,1780431290.0495725,8
47550,79107,1780431290.7143672,7
47551,80009,1780431291.764263,8
47552,80205,1780431291.9253054,7
47553,80414,1780431292.2547922,8
47554,80576,1780431292.845005,6
47555,80863,1780431294.2350738,7
47556,81567,1780431294.9504538,6
47557,82469,1780431295.9470417,8
47558,82673,1780431296.0905945,6
47559,82882,1780431296.225252,6
47560,83092,1780431296.6228654,8
47561,83338,1780431298.2134092,7
47562,84042,1780431299.04843,6
47563,84298,1780431299.9866207,8
47564,85200,1780431301.0595272,8
47565,86102,1780431352.4991155,8
47566,86906,1780431353.3557694,7
47567,87808,1780431354.49734,8
47568,87981,1780431354.6408844,6
47569,88883,1780431356.2246077,8
47570,89075,1780431356.3577127,6
47571,89879,1780431357.6825516,7
47572,90055,1780431357.8531568,8
47573,90859,1780431359.9029016,7
47574,91093,1780431360.1158578,8
47575,91797,1780431360.9215436,6
47576,92699,1780431362.3488708,8
47577,92853,1780431362.479441,6
47578,93064,1780431362.6474137,6
47579,93868,1780431365.1820314,7
47580,94672,1780431366.4675345,7
47581,94816,1780431431.6728485,6
47582,95718,1780431432.9167452,8
47583,96620,1780431434.2772992,8
47584,96814,1780431434.4395332,7
47585,97017,1780431434.5822067,6
47586,97309,1780431435.0173547,7
47587,97558,1780431435.7859545,6
47588,98362,1780431439.0913455,7
47589,99264,1780431440.1372037,8
47590,100166,1780431441.4586456,8
47591,100316,1780431441.565159,6
47592,101218,1780431442.6744957,8
47593,102022,1780431443.6703606,7
47594,102189,1780431444.7453575,6
47595,102993,1780431446.1465266,7
47596,103697,1780431447.109861,6
47597,104080,1780431509.9496415,8
47598,104982,1780431510.8361979,8
47599,105786,1780431511.725076,7
47600,106092,1780431511.989322,7
47601,106994,1780431515.3382463,8
47602,107896,1780431516.5763462,8
47603,108024,1780431516.662009,6
47604,108828,1780431517.641724,7
47605,108984,1780431517.7645965,6
47606,109788,1780431518.765156,7
47607,110025,1780431519.3518195,8
47608,110729,1780431520.774454,6
47609,111533,1780431521.3626049,7
47610,111825,1780431521.9334214,8
47611,112727,1780431522.776779,8
47612,113118,1780431523.276107,8
47613,113381,1780431587.2245312,8
47614,114185,1780431587.9781106,7
47615,114365,1780431588.1093998,6
47616,114593,1780431588.292925,7
47617,114790,1780431588.747228,8
47618,115087,1780431590.0077271,8
47619,115361,1780431590.3428063,7
47620,115572,1780431590.5311265,8
47621,115845,1780431590.8594303,7
47622,116091,1780431591.7691298,7
47623,116334,1780431593.5407019,7
47624,117138,1780431594.3537524,7
47625,117942,1780431595.283297,7
47626,118844,1780431596.4424314,8
47627,118992,1780431596.7980523,7
47628,119225,1780431597.0128934,8
47629,120029,1780431638.9368398,7
47630,120833,1780431639.7056007,7
47631,121026,1780431639.9649706,7
47632,121928,1780431641.1645951,8
47633,122077,1780431641.2926712,6
47634,122881,1780431642.5672174,7
47635,123150,1780431642.9333189,6
47636,123335,1780431643.0616562,6
47637,123615,1780431644.566135,8
47638,124419,1780431645.9338164,7
47639,125223,1780431646.8881416,7
47640,125927,1780431648.1294725,6
47641,126829,1780431649.3959787,8
47642,127731,1780431650.5278509,8
47643,127927,1780431650.8717299,7
47644,128078,1780431651.8972733,6
47645,128980,1780431715.9415503,8
47646,129211,1780431716.1378658,7
47647,130113,1780431717.292927,8
47648,130326,1780431717.5836873,6
47649,130629,1780431719.5639195,8
47650,131531,1780431720.9339094,8
47651,131759,1780431721.11801,8
47652,132661,1780431722.3418446,8
47653,132820,1780431722.466351,6
47654,133624,1780431723.4650848,7
47655,133812,1780431723.609847,6
47656,134011,1780431723.7734904,6
47657,134254,1780431725.0933778,7
47658,135156,1780431726.3004262,8
47659,135441,1780431726.5354297,7
47660,135681,1780431726.7063444,7
47661,135835,1780431781.2925324,6
47662,136212,1780431781.6452308,8
47663,137016,1780431782.581741,7
47664,137208,1780431782.8061404,6
47665,137333,1780431782.8981936,6
47666,137628,1780431783.6093462,8
47667,137839,1780431783.9975817,7
47668,138026,1780431785.1680222,6
47669,138402,1780431785.6386316,8
47670,139106,1780431786.6154182,6
47671,140008,1780431787.6872382,8
47672,140303,1780431787.9313035,7
47673,140477,1780431788.850096,6
47674,141281,1780431790.1573906,7
47675,141560,1780431790.3885992,8
47676,142364,1780431791.3859096,7
47677,142558,1780431838.4860902,6
47678,143460,1780431839.5596535,8
47679,144362,1780431840.9392588,8
47680,144656,1780431841.1806123,8
47681,145460,1780431842.2026248,7
47682,145744,1780431842.4440768,7
47683,145988,1780431843.171525,8
47684,146143,1780431843.4740398,6
47685,146847,1780431846.333341,6
47686,147651,1780431847.2308319,7
47687,148553,1780431848.4969752,8
47688,149455,1780431849.8894904,8
47689,149621,1780431850.3278782,6
47690,150425,1780431850.9790268,7
47691,150711,1780431851.8663197,7
47692,151515,1780431854.2860632,7
47693,152417,1780431922.807045,8
47694,153319,1780431923.871116,8
47695,153588,1780431924.2495599,7
47696,153768,1780431924.4083993,8
47697,154572,1780431925.458678,7
47698,154803,1780431925.6219451,7
47699,155104,1780431926.2451828,8
47700,155256,1780431926.4521494,6
47701,156060,1780431927.6351776,7
47702,156300,1780431928.051235,6
47703,157202,1780431930.221358,8
47704,158104,1780431931.3797503,8
47705,158371,1780431931.6385474,8
47706,159175,1780431932.5071094,7
47707,159472,1780431932.7441988,7
47708,159706,1780431932.991925,8
47709,160608,1780431990.9344144,8
47710,160795,1780431991.0658,6
47711,161697,1780431992.4238873,8
47712,161847,1780431992.547859,6
47713,162170,1780431993.086854,7
