train_episode,train_steps,median_history,env
47501,47673,0.7857142686843872,8
47502,47841,1.0,6
47503,48645,0.8461538553237915,7
47504,49547,0.7857142686843872,8
47505,49743,0.7857142686843872,8
47506,50645,0.7857142686843872,8
47507,51349,1.0,6
47508,52153,0.8461538553237915,7
47509,52354,1.0,6
47510,53158,0.8461538553237915,7
47511,54060,0.7857142686843872,8
47512,54962,0.7857142686843872,8
47513,55864,0.7857142686843872,8
47514,56668,0.8461538553237915,7
47515,56952,0.7857142686843872,8
47516,57854,0.7857142686843872,8
47517,58558,1.0,6
47518,59460,0.7857142686843872,8
47519,59722,0.8461538553237915,7
47520,59922,1.0,6
47521,60157,0.7857142686843872,8
47522,60961,0.8461538553237915,7
47523,61665,1.0,6
47524,62369,1.0,6
47525,63271,0.7857142686843872,8
47526,63559,0.8461538553237915,7
47527,63825,0.8461538553237915,7
47528,64727,0.7857142686843872,8
47529,65629,0.7857142686843872,8
47530,66433,0.8461538553237915,7
47531,67335,0.7857142686843872,8
47532,68237,0.7857142686843872,8
47533,68448,1.0,6
47534,69152,1.0,6
47535,70054,0.7857142686843872,8
47536,70225,1.0,6
47537,70441,0.7857142686843872,8
47538,70627,1.0,6
47539,71431,0.8461538553237915,7
47540,72333,0.7857142686843872,8
47541,73235,0.7857142686843872,8
47542,74137,0.7857142686843872,8
47543,74314,1.0,6
47544,75216,0.7857142686843872,8
47545,76118,0.7857142686843872,8
47546,76395,0.8461538553237915,7
47547,77199,0.8461538553237915,7
47548,78003,0.8461538553237915,7
47549,78303,0.7857142686843872,8
47550,79107,0.8461538553237915,7
47551,80009,0.7857142686843872,8
47552,80205,0.8461538553237915,7
47553,80414,0.7857142686843872,8
47554,80576,1.0,6
47555,80863,0.8461538553237915,7
47556,81567,1.0,6
47557,82469,0.7857142686843872,8
47558,82673,1.0,6
47559,82882,1.0,6
47560,83092,0.7857142686843872,8
47561,83338,0.8461538553237915,7
47562,84042,1.0,6
47563,84298,0.7857142686843872,8
47564,85200,0.7857142686843872,8
47565,86102,0.7857142686843872,8
47566,86906,0.8461538553237915,7
47567,87808,0.7857142686843872,8
47568,87981,1.0,6
47569,88883,0.7857142686843872,8
47570,89075,1.0,6
47571,89879,0.8461538553237915,7
47572,90055,0.7857142686843872,8
47573,90859,0.8461538553237915,7
47574,91093,0.7857142686843872,8
47575,91797,1.0,6
47576,92699,0.7857142686843872,8
47577,92853,1.0,6
47578,93064,1.0,6
47579,93868,0.8461538553237915,7
47580,94672,0.8461538553237915,7
47581,94816,1.0,6
47582,95718,0.7857142686843872,8
47583,96620,0.7857142686843872,8
47584,96814,0.8461538553237915,7
47585,97017,1.0,6
47586,97309,0.8461538553237915,7
47587,97558,1.0,6
47588,98362,0.8461538553237915,7
47589,99264,0.7857142686843872,8
47590,100166,0.7857142686843872,8
47591,100316,1.0,6
47592,101218,0.7857142686843872,8
47593,102022,0.8461538553237915,7
47594,102189,1.0,6
47595,102993,0.8461538553237915,7
47596,103697,1.0,6
47597,104080,0.7857142686843872,8
47598,104982,0.7857142686843872,8
47599,105786,0.8461538553237915,7
47600,106092,0.8461538553237915,7
47601,106994,0.7857142686843872,8
47602,107896,0.7857142686843872,8
47603,108024,1.0,6
47604,108828,0.8461538553237915,7
47605,108984,1.0,6
47606,109788,0.8461538553237915,7
47607,110025,0.7857142686843872,8
47608,110729,1.0,6
47609,111533,0.8461538553237915,7
47610,111825,0.7857142686843872,8
47611,112727,0.7857142686843872,8
47612,113118,0.7857142686843872,8
47613,113381,0.7857142686843872,8
47614,114185,0.8461538553237915,7
47615,114365,1.0,6
47616,114593,0.8461538553237915,7
47617,114790,0.7857142686843872,8
47618,115087,0.7857142686843872,8
47619,115361,0.8461538553237915,7
47620,115572,0.7857142686843872,8
47621,115845,0.8461538553237915,7
47622,116091,0.8461538553237915,7
47623,116334,0.8461538553237915,7
47624,117138,0.8461538553237915,7
47625,117942,0.8461538553237915,7
47626,118844,0.7857142686843872,8
47627,118992,0.8461538553237915,7
47628,119225,0.7857142686843872,8
47629,120029,0.8461538553237915,7
47630,120833,0.8461538553237915,7
47631,121026,0.8461538553237915,7
47632,121928,0.7857142686843872,8
47633,122077,1.0,6
47634,122881,0.8461538553237915,7
47635,123150,1.0,6
47636,123335,1.0,6
47637,123615,0.7857142686843872,8
47638,124419,0.8461538553237915,7
47639,125223,0.8461538553237915,7
47640,125927,1.0,6
47641,126829,0.7857142686843872,8
47642,127731,0.7857142686843872,8
47643,127927,0.8461538553237915,7
47644,128078,1.0,6
47645,128980,0.7857142686843872,8
47646,129211,0.8461538553237915,7
47647,130113,0.7857142686843872,8
47648,130326,1.0,6
47649,130629,0.7857142686843872,8
47650,131531,0.7857142686843872,8
47651,131759,0.7857142686843872,8
47652,132661,0.7857142686843872,8
47653,132820,1.0,6
47654,133624,0.8461538553237915,7
47655,133812,1.0,6
47656,134011,1.0,6
47657,134254,0.8461538553237915,7
47658,135156,0.7857142686843872,8
47659,135441,0.8461538553237915,7
47660,135681,0.8461538553237915,7
47661,135835,1.0,6
47662,136212,0.7857142686843872,8
47663,137016,0.8461538553237915,7
47664,137208,1.0,6
47665,137333,1.0,6
47666,137628,0.7857142686843872,8
47667,137839,0.8461538553237915,7
47668,138026,1.0,6
47669,138402,0.8214285373687744,8
47670,139106,1.0,6
47671,140008,0.8214285373687744,8
47672,140303,0.8461538553237915,7
47673,140477,1.0,6
47674,141281,0.8461538553237915,7
47675,141560,0.8571428656578064,8
47676,142364,0.8461538553237915,7
47677,142558,1.0,6
47678,143460,0.7857142686843872,8
47679,144362,0.8214285373687744,8
47680,144656,0.7857142686843872,8
47681,145460,0.8461538553237915,7
47682,145744,0.8461538553237915,7
47683,145988,0.7857142686843872,8
47684,146143,1.0,6
47685,146847,1.0,6
47686,147651,0.8461538553237915,7
47687,148553,0.7857142686843872,8
47688,149455,0.7857142686843872,8
47689,149621,1.0,6
47690,150425,0.8461538553237915,7
47691,150711,0.8461538553237915,7
47692,151515,0.8461538553237915,7
47693,152417,0.7857142686843872,8
47694,153319,0.7857142686843872,8
47695,153588,0.8461538553237915,7
47696,153768,0.7857142686843872,8
47697,154572,0.8461538553237915,7
47698,154803,0.8461538553237915,7
47699,155104,0.7857142686843872,8
47700,155256,1.0,6
47701,156060,0.8461538553237915,7
47702,156300,1.0,6
47703,157202,0.8214285373687744,8
47704,158104,0.8571428656578064,8
47705,158371,0.8571428656578064,8
47706,159175,0.8461538553237915,7
47707,159472,0.8461538553237915,7
47708,159706,0.8571428656578064,8
47709,160608,0.8571428656578064,8
47710,160795,1.0,6
47711,161697,0.8571428656578064,8
47712,161847,1.0,6
47713,162170,0.8461538553237915,7
47714,162364,0.8461538553237915,7
47715,162643,0.8461538553237915,7
47716,163347,1.0,6
47717,163637,0.8571428656578064,8
47718,163838,0.8461538553237915,7
47719,164105,0.8461538553237915,7
47720,164909,0.8461538553237915,7
47721,165073,0.8461538553237915,7
47722,165975,0.8571428656578064,8
47723,166877,0.8214285373687744,8
47724,167235,0.8571428656578064,8
47725,168137,0.8571428656578064,8
47726,168365,0.8571428656578064,8
47727,169169,0.8461538553237915,7
47728,169323,1.0,6
47729,169605,0.8461538553237915,7
47730,170309,1.0,6
47731,171211,0.8571428656578064,8
47732,171506,0.8461538553237915,7
47733,172408,0.8571428656578064,8
47734,172646,1.0,6
47735,173548,0.8571428656578064,8
47736,174352,0.8461538553237915,7
47737,175254,0.8571428656578064,8
