train_episode,train_steps,mix_progress,env
47501,47673,0.6188708512123848,7
47502,47841,0.6077262466485971,7
47503,48645,0.6004621547481604,7
47504,49547,0.6077262466485971,7
47505,49743,0.5935699129033583,7
47506,50645,0.6014700153444736,7
47507,51349,0.6014700153444736,7
47508,52153,0.5938191973881743,7
47509,52354,0.6136382193581946,7
47510,53158,0.5929655010044664,7
47511,54060,0.6136382193581946,7
47512,54962,0.589557210024787,7
47513,55864,0.5780302182920729,7
47514,56668,0.5729725876428791,7
47515,56952,0.5652910932509366,7
47516,57854,0.5800454737667592,7
47517,58558,0.5556786993624819,7
47518,59460,0.5556786993624819,7
47519,59722,0.5659004146937239,7
47520,59922,0.5414264513567951,7
47521,60157,0.5289732758837219,7
47522,60961,0.5414264513567951,7
47523,61665,0.5289732758837219,7
47524,62369,0.5289732758837218,7
47525,63271,0.5259481414029086,7
47526,63559,0.5528877072791856,7
47527,63825,0.5636433587833946,7
47528,64727,0.5410191012014028,7
47529,65629,0.5770122596311625,7
47530,66433,0.576530546311613,7
47531,67335,0.5970192543878233,7
47532,68237,0.6024746429595994,7
47533,68448,0.619990819762406,7
47534,69152,0.6024746429595994,7
47535,70054,0.619990819762406,7
47536,70225,0.619990819762406,7
47537,70441,0.6025057882632286,7
47538,70627,0.6025057882632286,7
47539,71431,0.59730949234136,7
47540,72333,0.5935435266836868,7
47541,73235,0.603050787706905,7
47542,74137,0.6014239702570566,7
47543,74314,0.6102981070408728,7
47544,75216,0.6199205560415013,7
47545,76118,0.6102981070408728,7
47546,76395,0.6199210964677551,7
47547,77199,0.6233087894056923,7
47548,78003,0.6081182072153972,7
47549,78303,0.5965929056095846,7
47550,79107,0.6152108657179192,7
47551,80009,0.6243989426653,7
47552,80205,0.6072032203983859,7
47553,80414,0.5901855021214524,7
47554,80576,0.5901855021214524,7
47555,80863,0.6178302315868996,7
47556,81567,0.6082520199232709,7
47557,82469,0.6082520199232709,7
47558,82673,0.600639606703349,7
47559,82882,0.6006396067033489,7
47560,83092,0.600639606703349,7
47561,83338,0.6094474223671817,7
47562,84042,0.6006396067033489,7
47563,84298,0.6129290812875278,7
47564,85200,0.6304693860603666,7
47565,86102,0.6227690113540676,7
47566,86906,0.6145220098456053,7
47567,87808,0.6298375141109679,7
