train_episode,train_steps,percent_done,env
47501,47673,1.0,8
47502,47841,1.0,6
47503,48645,0.6923076923076923,7
47504,49547,0.6428571428571429,8
47505,49743,1.0,8
47506,50645,0.6428571428571429,8
47507,51349,0.8333333333333334,6
47508,52153,0.5384615384615384,7
47509,52354,1.0,6
47510,53158,0.7692307692307693,7
47511,54060,0.8571428571428571,8
47512,54962,0.5,8
47513,55864,0.35714285714285715,8
47514,56668,0.5384615384615384,7
47515,56952,1.0,8
47516,57854,0.6428571428571429,8
47517,58558,0.5,6
47518,59460,0.35714285714285715,8
47519,59722,1.0,7
47520,59922,1.0,6
47521,60157,1.0,8
47522,60961,0.8461538461538461,7
47523,61665,0.5833333333333334,6
47524,62369,0.8333333333333334,6
47525,63271,0.42857142857142855,8
47526,63559,1.0,7
47527,63825,1.0,7
47528,64727,0.7142857142857143,8
47529,65629,0.7142857142857143,8
47530,66433,0.46153846153846156,7
47531,67335,0.8571428571428571,8
47532,68237,0.6428571428571429,8
47533,68448,1.0,6
47534,69152,0.8333333333333334,6
47535,70054,0.8571428571428571,8
47536,70225,1.0,6
47537,70441,1.0,8
47538,70627,1.0,6
47539,71431,0.5384615384615384,7
47540,72333,0.5,8
47541,73235,0.7142857142857143,8
47542,74137,0.2857142857142857,8
47543,74314,1.0,6
47544,75216,0.8571428571428571,8
47545,76118,0.7142857142857143,8
47546,76395,1.0,7
47547,77199,0.38461538461538464,7
47548,78003,0.6923076923076923,7
47549,78303,1.0,8
47550,79107,0.6153846153846154,7
47551,80009,0.8571428571428571,8
47552,80205,1.0,7
47553,80414,1.0,8
47554,80576,1.0,6
47555,80863,1.0,7
47556,81567,0.8333333333333334,6
47557,82469,0.8571428571428571,8
47558,82673,1.0,6
47559,82882,1.0,6
47560,83092,1.0,8
47561,83338,1.0,7
47562,84042,0.8333333333333334,6
47563,84298,1.0,8
47564,85200,0.7142857142857143,8
47565,86102,0.7857142857142857,8
47566,86906,0.6923076923076923,7
47567,87808,0.8571428571428571,8
47568,87981,1.0,6
47569,88883,0.5714285714285714,8
47570,89075,1.0,6
47571,89879,0.6923076923076923,7
47572,90055,1.0,8
47573,90859,0.6923076923076923,7
47574,91093,1.0,8
47575,91797,0.75,6
47576,92699,0.7142857142857143,8
47577,92853,1.0,6
47578,93064,1.0,6
47579,93868,0.6923076923076923,7
47580,94672,0.46153846153846156,7
47581,94816,1.0,6
47582,95718,0.7857142857142857,8
47583,96620,0.9285714285714286,8
47584,96814,1.0,7
47585,97017,1.0,6
47586,97309,1.0,7
47587,97558,1.0,6
47588,98362,0.5384615384615384,7
47589,99264,0.8571428571428571,8
47590,100166,0.8571428571428571,8
47591,100316,1.0,6
47592,101218,0.42857142857142855,8
47593,102022,0.46153846153846156,7
47594,102189,1.0,6
47595,102993,0.5384615384615384,7
47596,103697,0.5833333333333334,6
47597,104080,1.0,8
47598,104982,0.5714285714285714,8
47599,105786,0.6923076923076923,7
47600,106092,1.0,7
47601,106994,0.8571428571428571,8
47602,107896,0.35714285714285715,8
47603,108024,1.0,6
47604,108828,0.6153846153846154,7
47605,108984,1.0,6
47606,109788,0.6923076923076923,7
47607,110025,1.0,8
47608,110729,0.8333333333333334,6
47609,111533,0.38461538461538464,7
47610,111825,1.0,8
47611,112727,0.5,8
47612,113118,1.0,8
47613,113381,1.0,8
47614,114185,0.3076923076923077,7
47615,114365,1.0,6
47616,114593,1.0,7
47617,114790,1.0,8
47618,115087,1.0,8
47619,115361,1.0,7
47620,115572,1.0,8
47621,115845,1.0,7
47622,116091,1.0,7
47623,116334,1.0,7
47624,117138,0.6923076923076923,7
47625,117942,0.8461538461538461,7
47626,118844,0.7142857142857143,8
47627,118992,1.0,7
47628,119225,1.0,8
47629,120029,0.6923076923076923,7
47630,120833,0.5384615384615384,7
47631,121026,1.0,7
47632,121928,0.6428571428571429,8
47633,122077,1.0,6
47634,122881,0.6923076923076923,7
47635,123150,1.0,6
47636,123335,1.0,6
47637,123615,1.0,8
47638,124419,0.46153846153846156,7
47639,125223,0.8461538461538461,7
47640,125927,0.75,6
47641,126829,0.7857142857142857,8
47642,127731,0.7857142857142857,8
47643,127927,1.0,7
47644,128078,1.0,6
47645,128980,0.5,8
47646,129211,1.0,7
47647,130113,0.5714285714285714,8
47648,130326,1.0,6
47649,130629,1.0,8
47650,131531,0.6428571428571429,8
47651,131759,1.0,8
47652,132661,0.5,8
47653,132820,1.0,6
47654,133624,0.46153846153846156,7
47655,133812,1.0,6
47656,134011,1.0,6
47657,134254,1.0,7
47658,135156,0.7857142857142857,8
47659,135441,1.0,7
47660,135681,1.0,7
47661,135835,1.0,6
47662,136212,1.0,8
47663,137016,0.9230769230769231,7
47664,137208,1.0,6
47665,137333,1.0,6
47666,137628,1.0,8
47667,137839,1.0,7
47668,138026,1.0,6
47669,138402,1.0,8
47670,139106,0.8333333333333334,6
47671,140008,0.7142857142857143,8
47672,140303,1.0,7
47673,140477,1.0,6
47674,141281,0.7692307692307693,7
47675,141560,1.0,8
47676,142364,0.6923076923076923,7
47677,142558,1.0,6
47678,143460,0.6428571428571429,8
47679,144362,0.7857142857142857,8
47680,144656,1.0,8
47681,145460,0.8461538461538461,7
47682,145744,1.0,7
47683,145988,1.0,8
47684,146143,1.0,6
47685,146847,0.5833333333333334,6
47686,147651,0.7692307692307693,7
47687,148553,0.7142857142857143,8
47688,149455,0.5,8
47689,149621,1.0,6
47690,150425,0.3076923076923077,7
47691,150711,1.0,7
47692,151515,0.5384615384615384,7
47693,152417,0.8571428571428571,8
47694,153319,0.8571428571428571,8
47695,153588,1.0,7
47696,153768,1.0,8
47697,154572,0.46153846153846156,7
47698,154803,1.0,7
47699,155104,1.0,8
47700,155256,1.0,6
47701,156060,0.6153846153846154,7
47702,156300,1.0,6
47703,157202,0.8571428571428571,8
47704,158104,0.8571428571428571,8
47705,158371,1.0,8
47706,159175,0.5384615384615384,7
47707,159472,1.0,7
47708,159706,1.0,8
47709,160608,0.7142857142857143,8
47710,160795,1.0,6
47711,161697,0.7857142857142857,8
47712,161847,1.0,6
47713,162170,1.0,7
47714,162364,1.0,7
47715,162643,1.0,7
47716,163347,0.75,6
47717,163637,1.0,8
47718,163838,1.0,7
47719,164105,1.0,7
47720,164909,0.5384615384615384,7
47721,165073,1.0,7
47722,165975,0.7857142857142857,8
47723,166877,0.5714285714285714,8
47724,167235,1.0,8
47725,168137,0.8571428571428571,8
47726,168365,1.0,8
47727,169169,0.7692307692307693,7
47728,169323,1.0,6
47729,169605,1.0,7
47730,170309,0.25,6
47731,171211,0.7857142857142857,8
47732,171506,1.0,7
47733,172408,0.7142857142857143,8
47734,172646,1.0,6
47735,173548,0.7142857142857143,8
47736,174352,0.5384615384615384,7
47737,175254,0.7142857142857143,8
