train_episode,train_steps,rel_skill,env
47501,47673,0.7051655385962393,8
47502,47841,0.9326505893599755,6
47503,48645,0.7601782207981225,7
47504,49547,0.7053009512730597,8
47505,49743,0.7053009512730597,8
47506,50645,0.7054414698276571,8
47507,51349,0.9327030250036649,6
47508,52153,0.7603238869537068,7
47509,52354,0.9327030250036649,6
47510,53158,0.7605093518358669,7
47511,54060,0.7058583264149662,8
47512,54962,0.7057295842362837,8
47513,55864,0.7052851225304102,8
47514,56668,0.7606564261497759,7
47515,56952,0.7058708485932532,8
47516,57854,0.705870843377852,8
47517,58558,0.932112125262829,6
47518,59460,0.7054991052263454,8
47519,59722,0.7606538862493902,7
47520,59922,0.9324458014163602,6
47521,60157,0.7054991052263454,8
47522,60961,0.7608261613819095,7
47523,61665,0.9322526125250193,6
47524,62369,0.9326450610347009,6
47525,63271,0.7050634784101086,8
47526,63559,0.7606393665724427,7
47527,63825,0.7612374583515367,7
47528,64727,0.7052621017495025,8
47529,65629,0.7054643445773311,8
47530,66433,0.7610846940349159,7
47531,67335,0.7065982405989583,8
47532,68237,0.7066866677263458,8
47533,68448,0.9327137739455431,6
47534,69152,0.9326981329573371,6
47535,70054,0.706866004512093,8
47536,70225,0.9327137739455431,6
47537,70441,0.706866004512093,8
47538,70627,0.9327137739455431,6
47539,71431,0.7610680829820861,7
47540,72333,0.7068070652631042,8
47541,73235,0.7070156656649985,8
47542,74137,0.7064632712312402,8
47543,74314,0.9336529112400674,6
47544,75216,0.7072009271465117,8
47545,76118,0.7066788602707458,8
47546,76395,0.761433489636533,7
47547,77199,0.7608839480272326,7
47548,78003,0.7612126017494057,7
47549,78303,0.7064916638753863,8
47550,79107,0.7612126017494057,7
47551,80009,0.7066788602707458,8
47552,80205,0.7612369263806141,7
47553,80414,0.7064916638753863,8
47554,80576,0.9336529112400674,6
47555,80863,0.7616236379489729,7
47556,81567,0.9337016543797055,6
47557,82469,0.7066788602707458,8
47558,82673,0.9337016543797055,6
47559,82882,0.9336529112400674,6
47560,83092,0.7066788602707458,8
47561,83338,0.7616661017455634,7
47562,84042,0.9337016543797055,6
47563,84298,0.7069362820432961,8
47564,85200,0.7067286986446363,8
47565,86102,0.7066839035637085,8
47566,86906,0.7618086334450249,7
47567,87808,0.7071213557703661,8
47568,87981,0.93386224179813,6
47569,88883,0.707204901282228,8
47570,89075,0.93386224179813,6
47571,89879,0.761880100087702,7
47572,90055,0.7072474068020279,8
47573,90859,0.7620255837042442,7
47574,91093,0.7071643098146694,8
47575,91797,0.9338376511814606,6
47576,92699,0.7072407363038901,8
47577,92853,0.9338376511814606,6
47578,93064,0.9338376511814606,6
47579,93868,0.7621747806864426,7
47580,94672,0.7619914541187754,7
47581,94816,0.9337894452281463,6
47582,95718,0.7075474696948094,8
47583,96620,0.7073339772465873,8
47584,96814,0.7619914541187754,7
47585,97017,0.9337894504435476,6
47586,97309,0.7621747754710414,7
47587,97558,0.9337894452281463,6
47588,98362,0.7621462993804761,7
47589,99264,0.7075735623470253,8
47590,100166,0.7075426767411044,8
47591,100316,0.9337894504435476,6
47592,101218,0.7080025656037348,8
47593,102022,0.7621462993804761,7
47594,102189,0.9337894452281463,6
47595,102993,0.7625008162772122,7
47596,103697,0.9333816373619235,6
47597,104080,0.7083043391481108,8
47598,104982,0.7080689367994372,8
47599,105786,0.7626578050688071,7
47600,106092,0.7625704888218757,7
47601,106994,0.7083043391481108,8
47602,107896,0.7083043391481108,8
47603,108024,0.9333816425773247,6
47604,108828,0.7626578050688071,7
47605,108984,0.9340090396957752,6
47606,109788,0.7626578050688071,7
47607,110025,0.7081043650198053,8
47608,110729,0.9340554671972795,6
47609,111533,0.7622887893567281,7
47610,111825,0.7088305314062278,8
47611,112727,0.7087445137941959,8
47612,113118,0.7087445137941959,8
47613,113381,0.7087445137941959,8
47614,114185,0.7620496058421827,7
47615,114365,0.9340554671972795,6
47616,114593,0.7626578050688071,7
47617,114790,0.7085652708856703,8
47618,115087,0.7084251382707617,8
47619,115361,0.7620638282412618,7
47620,115572,0.7084251330553606,8
47621,115845,0.7620638282412618,7
47622,116091,0.7626838507824121,7
47623,116334,0.7626030224945767,7
47624,117138,0.7626838507824121,7
47625,117942,0.7626838559978133,7
47626,118844,0.7086178473451921,8
47627,118992,0.7625276808088061,7
47628,119225,0.7086178369143897,8
47629,120029,0.7630799083497258,7
47630,120833,0.7628606424523725,7
47631,121026,0.7632759187731173,7
47632,121928,0.7087623765433143,8
47633,122077,0.9340554671972795,6
47634,122881,0.7634159783724089,7
47635,123150,0.9342220888348951,6
47636,123335,0.9340554671972795,6
47637,123615,0.7087112291037219,8
47638,124419,0.7632100221789244,7
47639,125223,0.7632100221789244,7
47640,125927,0.9341934771438987,6
47641,126829,0.708777000528286,8
47642,127731,0.7089383181028788,8
47643,127927,0.7630493826064879,7
47644,128078,0.9341934823592998,6
47645,128980,0.7086425735622929,8
47646,129211,0.7629790842136801,7
47647,130113,0.7086924588747943,8
47648,130326,0.9341934823592998,6
47649,130629,0.7086425735622929,8
47650,131531,0.7086924588747943,8
47651,131759,0.7081575308196632,8
47652,132661,0.7083630019808358,8
47653,132820,0.9342220888348951,6
47654,133624,0.7627019795169918,7
47655,133812,0.9342220888348951,6
47656,134011,0.9342220888348951,6
47657,134254,0.7626352328124029,7
47658,135156,0.7081575308196632,8
47659,135441,0.7636086144312225,7
47660,135681,0.7636086144312225,7
47661,135835,0.9342220888348951,6
47662,136212,0.7081575360350643,8
47663,137016,0.7637073524067872,7
47664,137208,0.9366464420068459,6
47665,137333,0.9342220888348951,6
47666,137628,0.7081575308196632,8
47667,137839,0.76415519369264,7
47668,138026,0.9366075038214685,6
47669,138402,0.7436818136626231,8
47670,139106,0.9366892552353169,6
47671,140008,0.7437353914791758,8
47672,140303,0.7641115564307791,7
47673,140477,0.9366892552353169,6
47674,141281,0.7643534415231474,7
47675,141560,0.7808450698610306,8
47676,142364,0.7645606233359146,7
47677,142558,0.9366892500199157,6
47678,143460,0.7097449216220465,8
47679,144362,0.7453291711480323,8
47680,144656,0.7095690635089014,8
47681,145460,0.7647086677144471,7
47682,145744,0.7647086677144471,7
47683,145988,0.7093944310150386,8
47684,146143,0.9366892552353169,6
47685,146847,0.9362849208262949,6
47686,147651,0.7649543496188907,7
47687,148553,0.7095485461205709,8
47688,149455,0.7094430698466527,8
47689,149621,0.9362849208262949,6
47690,150425,0.7641034986359213,7
47691,150711,0.7641923325646026,7
47692,151515,0.7640665110105936,7
47693,152417,0.7096198719474156,8
47694,153319,0.7097978944520599,8
47695,153588,0.7638111597523207,7
47696,153768,0.7098980979553624,8
47697,154572,0.7638111597523207,7
47698,154803,0.7638111597523207,7
47699,155104,0.7098980979553624,8
47700,155256,0.9377517941376922,6
47701,156060,0.7636963635564537,7
47702,156300,0.9377517941376922,6
47703,157202,0.74575673495401,8
47704,158104,0.7814619370844534,8
47705,158371,0.7819905753657346,8
47706,159175,0.7636212409175336,7
47707,159472,0.763460340575037,7
47708,159706,0.7819905701503334,8
47709,160608,0.7821525031422681,8
47710,160795,0.9377517993530934,6
47711,161697,0.7823349326609285,8
47712,161847,0.9377517941376922,6
47713,162170,0.763460340575037,7
47714,162364,0.763460340575037,7
47715,162643,0.7633105803295087,7
47716,163347,0.937705184097146,6
47717,163637,0.7823349326609285,8
47718,163838,0.7633105803295087,7
47719,164105,0.7631619726876463,7
47720,164909,0.7633105855449099,7
47721,165073,0.7630144967878447,7
47722,165975,0.7823573901785063,8
47723,166877,0.746656887124546,8
47724,167235,0.7826894964962755,8
47725,168137,0.7832350483236561,8
47726,168365,0.7832554457577589,8
47727,169169,0.7631705937458338,7
47728,169323,0.9377517941376922,6
47729,169605,0.7631705937458338,7
47730,170309,0.9368387494953837,6
47731,171211,0.7832554457577589,8
47732,171506,0.7631705937458338,7
47733,172408,0.7832337757657627,8
47734,172646,0.9368023929336015,6
47735,173548,0.7832337757657627,8
47736,174352,0.7630959509238245,7
47737,175254,0.7832977530923132,8
47738,176156,0.7850466596545352,8
47739,176960,0.7633044574484971,7
47740,177862,0.7850658366847565,8
47741,178764,0.7852351338231891,8
47742,178934,0.7632579882237833,7
47743,179836,0.7854135370521212,8
47744,180075,0.7633406627636445,7
47745,180879,0.7631733318314652,7
47746,181077,0.7631733318314652,7
47747,181781,0.9368387494953837,6
47748,182683,0.7854378303909222,8
47749,182903,0.7501120278363517,8
47750,183805,0.7501120278363517,8
47751,183982,0.9383353558090363,6
47752,184884,0.7860006034730733,8
47753,185059,0.7857305291372059,8
47754,185257,0.9383353558090363,6
47755,185434,0.938335350593635,6
47756,185676,0.7859122597921051,8
47757,186578,0.7858330065554328,8
47758,187480,0.7859030389627791,8
47759,187829,0.7631733318314652,7
47760,188066,0.7630204944992275,7
47761,188770,0.9383684736066719,6
47762,189063,0.8014498690606614,7
47763,189767,0.9384029891318295,6
47764,189982,0.7860929160743566,8
47765,190151,0.9384029891318295,6
47766,191053,0.7862742503587644,8
47767,191857,0.7630204944992275,7
47768,192045,0.7861209592866221,8
47769,192265,0.7861209592866221,8
47770,193069,0.7626151639485759,7
47771,193773,0.9383538078984905,6
47772,194577,0.7623718028976674,7
47773,195479,0.785196357315249,8
47774,196283,0.7621397175441585,7
47775,196457,0.9383538078984905,6
47776,196736,0.785196357315249,8
47777,196939,0.7619790727563208,7
47778,197074,0.9385583924414589,6
47779,197221,0.9401121491214879,6
47780,197442,0.7622152469843724,7
47781,198344,0.7496420784648018,8
47782,199148,0.7623718028976674,7
47783,199852,0.9374952276909392,6
47784,200000,0.9401121386906854,6
47785,200286,0.9385800259256466,6
47786,200571,0.7623448862120616,7
47787,201375,0.7624924716352883,7
47788,202277,0.7141158294155885,8
47789,202480,0.7141158294155885,8
47790,203382,0.7141790348627609,8
47791,203544,0.9385800207102455,6
47792,203838,0.7140093048460285,8
47793,204105,0.8012643207320821,7
47794,205007,0.7500670137085734,8
47795,205811,0.7628403076030842,7
47796,206713,0.7138109527074971,8
47797,206916,0.7498999279002507,8
47798,207067,0.9385800207102455,6
47799,207969,0.7138304061539822,8
47800,208871,0.713903150569954,8
47801,209773,0.7140917186158297,8
47802,209993,0.9387978680184716,6
47803,210177,0.9385800259256466,6
47804,210981,0.7627620400772392,7
47805,211883,0.7139292640837746,8
47806,212687,0.7628654354060777,7
47807,212857,0.9387978680184716,6
47808,213561,0.9387379534894579,6
47809,213760,0.9385244714720382,6
47810,214464,0.9385244714720382,6
47811,214688,0.7628654354060777,7
47812,215028,0.7140917186158297,8
