train_episode,train_steps,std_history,env
47501,47673,0.23013721406459808,8
47502,47841,0.1924242228269577,6
47503,48645,0.2456424981355667,7
47504,49547,0.22975032031536102,8
47505,49743,0.22975032031536102,8
47506,50645,0.22934883832931519,8
47507,51349,0.19227440655231476,6
47508,52153,0.24522630870342255,7
47509,52354,0.19227440655231476,6
47510,53158,0.24469640851020813,7
47511,54060,0.22815781831741333,8
47512,54962,0.22852565348148346,8
47513,55864,0.22979554533958435,8
47514,56668,0.24427619576454163,7
47515,56952,0.2281220406293869,8
47516,57854,0.2281220555305481,8
47517,58558,0.1939626932144165,6
47518,59460,0.22918416559696198,8
47519,59722,0.24428345263004303,7
47520,59922,0.19300933182239532,6
47521,60157,0.22918416559696198,8
47522,60961,0.24379123747348785,7
47523,61665,0.19356130063533783,6
47524,62369,0.19244001805782318,6
47525,63271,0.2304288148880005,8
47526,63559,0.2443249374628067,7
47527,63825,0.24261610209941864,7
47528,64727,0.229861319065094,8
47529,65629,0.22928348183631897,8
47530,66433,0.24305257201194763,7
47531,67335,0.22604377567768097,8
47532,68237,0.22579112648963928,8
47533,68448,0.19224369525909424,6
47534,69152,0.1922883838415146,6
47535,70054,0.22527873516082764,8
47536,70225,0.19224369525909424,6
47537,70441,0.22527873516082764,8
47538,70627,0.19224369525909424,6
47539,71431,0.24310003221035004,7
47540,72333,0.2254471331834793,8
47541,73235,0.22485113143920898,8
47542,74137,0.22642940282821655,8
47543,74314,0.1895604431629181,6
47544,75216,0.22432181239128113,8
47545,76118,0.22581343352794647,8
47546,76395,0.2420560121536255,7
47547,77199,0.24362613260746002,7
47548,78003,0.24268712103366852,7
47549,78303,0.22634828090667725,8
47550,79107,0.24268712103366852,7
47551,80009,0.22581343352794647,8
47552,80205,0.2426176220178604,7
47553,80414,0.22634828090667725,8
47554,80576,0.1895604431629181,6
47555,80863,0.241512730717659,7
47556,81567,0.1894211769104004,6
47557,82469,0.22581343352794647,8
47558,82673,0.1894211769104004,6
47559,82882,0.1895604431629181,6
47560,83092,0.22581343352794647,8
47561,83338,0.2413914054632187,7
47562,84042,0.1894211769104004,6
47563,84298,0.22507794201374054,8
47564,85200,0.22567103803157806,8
47565,86102,0.22579902410507202,8
47566,86906,0.24098417162895203,7
47567,87808,0.22454915940761566,8
47568,87981,0.18896235525608063,6
47569,88883,0.22431045770645142,8
47570,89075,0.18896235525608063,6
47571,89879,0.24077998101711273,7
47572,90055,0.22418901324272156,8
47573,90859,0.24036431312561035,7
47574,91093,0.22442643344402313,8
47575,91797,0.18903261423110962,6
47576,92699,0.2242080718278885,8
47577,92853,0.18903261423110962,6
47578,93064,0.18903261423110962,6
47579,93868,0.23993803560733795,7
47580,94672,0.2404618263244629,7
47581,94816,0.18917034566402435,6
47582,95718,0.22333168983459473,8
47583,96620,0.22394166886806488,8
47584,96814,0.2404618263244629,7
47585,97017,0.18917033076286316,6
47586,97309,0.23993805050849915,7
47587,97558,0.18917034566402435,6
47588,98362,0.24001941084861755,7
47589,99264,0.2232571393251419,8
47590,100166,0.22334538400173187,8
47591,100316,0.18917033076286316,6
47592,101218,0.22203141450881958,8
47593,102022,0.24001941084861755,7
47594,102189,0.18917034566402435,6
47595,102993,0.23900650441646576,7
47596,103697,0.19033551216125488,6
47597,104080,0.22116920351982117,8
47598,104982,0.22184178233146667,8
47599,105786,0.23855796456336975,7
47600,106092,0.23880743980407715,7
47601,106994,0.22116920351982117,8
47602,107896,0.22116920351982117,8
47603,108024,0.1903354972600937,6
47604,108828,0.23855796456336975,7
47605,108984,0.1885429322719574,6
47606,109788,0.23855796456336975,7
47607,110025,0.22174055874347687,8
47608,110729,0.18841028213500977,6
47609,111533,0.23961229622364044,7
47610,111825,0.2196657955646515,8
47611,112727,0.21991156041622162,8
47612,113118,0.21991156041622162,8
47613,113381,0.21991156041622162,8
47614,114185,0.2402956783771515,7
47615,114365,0.18841028213500977,6
47616,114593,0.23855796456336975,7
47617,114790,0.22042368352413177,8
47618,115087,0.22082406282424927,8
47619,115361,0.24025504291057587,7
47620,115572,0.22082407772541046,8
47621,115845,0.24025504291057587,7
47622,116091,0.23848354816436768,7
47623,116334,0.23871448636054993,7
47624,117138,0.23848354816436768,7
47625,117942,0.23848353326320648,7
47626,118844,0.2202734649181366,8
47627,118992,0.23892974853515625,7
47628,119225,0.22027349472045898,8
47629,120029,0.23735195398330688,7
47630,120833,0.23797842860221863,7
47631,121026,0.2367919236421585,7
47632,121928,0.2198605239391327,8
47633,122077,0.18841028213500977,6
47634,122881,0.23639175295829773,7
47635,123150,0.18793421983718872,6
47636,123335,0.18841028213500977,6
47637,123615,0.22000665962696075,8
47638,124419,0.23698019981384277,7
47639,125223,0.23698019981384277,7
47640,125927,0.18801596760749817,6
47641,126829,0.21981874108314514,8
47642,127731,0.21935783326625824,8
47643,127927,0.23743917047977448,7
47644,128078,0.18801595270633698,6
47645,128980,0.22020281851291656,8
47646,129211,0.23764002323150635,7
47647,130113,0.2200602889060974,8
47648,130326,0.18801595270633698,6
47649,130629,0.22020281851291656,8
47650,131531,0.2200602889060974,8
47651,131759,0.22158865630626678,8
47652,132661,0.22100159525871277,8
47653,132820,0.18793421983718872,6
47654,133624,0.23843175172805786,7
47655,133812,0.18793421983718872,6
47656,134011,0.18793421983718872,6
47657,134254,0.23862245678901672,7
47658,135156,0.22158865630626678,8
47659,135441,0.23584136366844177,7
47660,135681,0.23584136366844177,7
47661,135835,0.18793421983718872,6
47662,136212,0.2215886414051056,8
47663,137016,0.23555925488471985,7
47664,137208,0.1810074895620346,6
47665,137333,0.18793421983718872,6
47666,137628,0.22158865630626678,8
47667,137839,0.23427970707416534,7
47668,138026,0.18111874163150787,6
47669,138402,0.2221313714981079,8
47670,139106,0.1808851659297943,6
47671,140008,0.2219782918691635,8
47672,140303,0.23440438508987427,7
47673,140477,0.1808851659297943,6
47674,141281,0.2337132841348648,7
47675,141560,0.21799147129058838,8
47676,142364,0.2331213355064392,7
47677,142558,0.1808851808309555,6
47678,143460,0.21705324947834015,8
47679,144362,0.21742463111877441,8
47680,144656,0.2175557017326355,8
47681,145460,0.23269835114479065,7
47682,145744,0.23269835114479065,7
47683,145988,0.2180546522140503,8
47684,146143,0.1808851659297943,6
47685,146847,0.18204040825366974,6
47686,147651,0.23199640214443207,7
47687,148553,0.2176143229007721,8
47688,149455,0.21791568398475647,8
47689,149621,0.18204040825366974,6
47690,150425,0.23442740738391876,7
47691,150711,0.23417359590530396,7
47692,151515,0.23453308641910553,7
47693,152417,0.21741053462028503,8
47694,153319,0.21690189838409424,8
47695,153588,0.2352626621723175,7
47696,153768,0.21661560237407684,8
47697,154572,0.2352626621723175,7
