train_episode,train_steps,reward,env
47501,47673,-1636.0,8
47502,47841,-1318.0,6
47503,48645,-4464.0,7
47504,49547,-5560.0,8
47505,49743,-1630.0,8
47506,50645,-5659.0,8
47507,51349,-2508.0,6
47508,52153,-5605.0,7
47509,52354,-1271.0,6
47510,53158,-3543.0,7
47511,54060,-3151.0,8
47512,54962,-7123.0,8
47513,55864,-9046.0,8
47514,56668,-5260.0,7
47515,56952,-1379.0,8
47516,57854,-5517.0,8
47517,58558,-4896.0,6
47518,59460,-8562.0,8
47519,59722,-2114.0,7
47520,59922,-1379.0,6
47521,60157,-1765.0,8
47522,60961,-3199.0,7
47523,61665,-3827.0,6
47524,62369,-2157.0,6
47525,63271,-7635.0,8
47526,63559,-2175.0,7
47527,63825,-2233.0,7
47528,64727,-5205.0,8
47529,65629,-4649.0,8
47530,66433,-6093.0,7
47531,67335,-3656.0,8
47532,68237,-5650.0,8
47533,68448,-1098.0,6
47534,69152,-2204.0,6
47535,70054,-4129.0,8
47536,70225,-1174.0,6
47537,70441,-1695.0,8
47538,70627,-1255.0,6
47539,71431,-5343.0,7
47540,72333,-7258.0,8
47541,73235,-4377.0,8
47542,74137,-9660.0,8
47543,74314,-1078.0,6
47544,75216,-3377.0,8
47545,76118,-4650.0,8
47546,76395,-1472.0,7
47547,77199,-6990.0,7
47548,78003,-4102.0,7
47549,78303,-2045.0,8
47550,79107,-5011.0,7
47551,80009,-3243.0,8
47552,80205,-1505.0,7
47553,80414,-1457.0,8
47554,80576,-1085.0,6
47555,80863,-1948.0,7
47556,81567,-2407.0,6
47557,82469,-3832.0,8
47558,82673,-1221.0,6
47559,82882,-1586.0,6
47560,83092,-1510.0,8
47561,83338,-1737.0,7
47562,84042,-2202.0,6
47563,84298,-1932.0,8
47564,85200,-4571.0,8
47565,86102,-4138.0,8
47566,86906,-4469.0,7
47567,87808,-3899.0,8
47568,87981,-1059.0,6
47569,88883,-6450.0,8
47570,89075,-1315.0,6
47571,89879,-4284.0,7
47572,90055,-1206.0,8
47573,90859,-4324.0,7
47574,91093,-1815.0,8
47575,91797,-2809.0,6
47576,92699,-4580.0,8
47577,92853,-939.0,6
47578,93064,-1149.0,6
47579,93868,-4393.0,7
47580,94672,-6349.0,7
47581,94816,-1017.0,6
47582,95718,-4406.0,8
47583,96620,-2190.0,8
47584,96814,-1530.0,7
47585,97017,-1293.0,6
47586,97309,-1850.0,7
47587,97558,-1149.0,6
47588,98362,-5470.0,7
47589,99264,-3614.0,8
47590,100166,-3193.0,8
47591,100316,-1131.0,6
47592,101218,-8137.0,8
47593,102022,-6063.0,7
47594,102189,-984.0,6
47595,102993,-5712.0,7
47596,103697,-4191.0,6
47597,104080,-2375.0,8
47598,104982,-6061.0,8
47599,105786,-4124.0,7
47600,106092,-2120.0,7
47601,106994,-3185.0,8
47602,107896,-8453.0,8
47603,108024,-974.0,6
47604,108828,-4795.0,7
47605,108984,-1063.0,6
47606,109788,-4671.0,7
47607,110025,-1600.0,8
47608,110729,-2280.0,6
47609,111533,-6886.0,7
47610,111825,-2585.0,8
47611,112727,-7200.0,8
47612,113118,-2361.0,8
47613,113381,-1718.0,8
47614,114185,-7583.0,7
47615,114365,-1220.0,6
47616,114593,-1641.0,7
47617,114790,-2030.0,8
47618,115087,-2430.0,8
47619,115361,-1847.0,7
47620,115572,-1642.0,8
47621,115845,-1893.0,7
47622,116091,-2167.0,7
47623,116334,-1883.0,7
47624,117138,-4127.0,7
47625,117942,-2831.0,7
47626,118844,-4525.0,8
47627,118992,-1060.0,7
