train_episode,train_steps,stage,env
45251,45385,0,0
45252,45496,0,0
45253,45653,0,0
45254,45796,0,0
45255,45880,0,0
45256,46003,0,0
45257,46063,0,0
45258,46195,0,0
45259,46295,0,0
45260,46584,0,0
45261,46691,0,0
45262,46814,0,0
45263,46881,0,0
45264,46984,0,0
45265,47146,0,0
45266,47722,0,0
45267,47896,0,0
45268,48474,0,0
45269,48525,0,0
45270,49103,0,0
45271,49291,0,0
45272,49362,0,0
45273,49486,0,0
45274,49614,0,0
45275,49694,0,0
45276,50272,0,0
45277,50380,0,0
45278,50470,0,0
45279,50562,0,0
45280,50704,0,0
45281,50796,0,0
45282,50930,0,0
45283,51013,0,0
45284,51591,0,0
45285,51682,0,0
45286,51831,0,0
45287,51961,0,0
45288,52102,0,0
45289,52255,0,0
45290,52378,0,0
45291,52954,0,0
45292,53025,0,0
45293,53601,0,0
45294,53744,0,0
45295,53805,0,0
45296,53909,0,0
45297,54031,0,0
45298,54090,0,0
45299,54231,0,0
45300,54409,0,0
45301,54524,0,0
45302,54584,0,0
45303,54704,0,0
45304,54812,0,0
45305,54922,0,0
45306,54993,0,0
45307,55569,0,0
45308,55662,0,0
45309,56238,0,0
45310,56317,0,0
45311,56446,0,0
45312,56526,0,0
45313,56617,0,0
45314,57195,0,0
45315,57339,0,0
45316,57447,0,0
45317,58023,0,0
45318,58147,0,0
45319,58208,0,0
45320,58348,0,0
45321,58455,0,0
45322,58557,0,0
45323,59135,0,0
45324,59213,0,0
45325,59357,0,0
45326,59432,0,0
45327,59579,0,0
45328,59716,0,0
45329,59775,0,0
45330,59925,0,0
45331,60503,0,0
45332,60559,0,0
45333,61137,0,0
45334,61713,0,0
45335,61876,0,0
45336,62001,0,0
45337,62059,0,0
45338,62196,0,0
45339,62254,0,0
45340,62832,0,0
45341,62937,0,0
45342,63028,0,0
45343,63172,0,0
45344,63253,0,0
45345,63371,0,0
45346,63514,0,0
45347,63572,0,0
45348,63698,0,0
45349,64276,0,0
45350,64334,0,0
45351,64395,0,0
45352,64504,0,0
45353,64578,0,0
45354,64722,0,0
45355,65300,0,0
45356,65878,0,0
45357,65988,0,0
45358,66128,0,0
45359,66704,0,0
45360,66790,0,0
45361,66884,0,0
45362,67460,0,0
45363,68036,0,0
45364,68094,0,0
45365,68670,0,0
45366,68817,0,0
45367,68877,0,0
45368,68988,0,0
45369,69566,0,0
45370,69686,0,0
45371,70264,0,0
45372,70456,0,0
45373,70530,0,0
45374,70669,0,0
45375,71245,0,0
45376,71320,0,0
45377,71896,0,0
45378,72472,0,0
45379,72617,0,0
45380,73193,0,0
45381,73320,0,0
45382,73378,0,0
45383,73463,0,0
45384,73554,0,0
45385,73662,0,0
45386,73749,0,0
45387,74327,0,0
45388,74905,0,0
45389,74967,0,0
45390,75064,0,0
45391,75208,0,0
45392,75266,0,0
45393,75371,0,0
45394,75485,0,0
45395,76063,0,0
45396,76641,0,0
45397,76776,0,0
45398,76851,0,0
45399,76992,0,0
45400,77077,0,0
45401,77174,0,0
45402,77279,0,0
45403,77334,0,0
45404,77910,0,0
45405,78029,0,0
45406,78103,0,0
45407,78169,0,0
45408,78303,0,0
45409,78442,0,0
45410,78558,0,0
45411,78640,0,0
45412,79216,0,0
45413,79262,0,0
45414,79359,0,0
45415,79420,0,0
45416,79546,0,0
45417,79693,0,0
45418,79775,0,0
45419,79917,0,0
45420,80495,0,0
45421,80552,0,0
45422,81128,0,0
45423,81273,0,0
45424,81378,0,0
45425,81448,0,0
45426,81507,0,0
45427,81587,0,0
45428,81733,0,0
45429,81828,0,0
45430,81886,0,0
45431,81938,0,0
45432,82052,0,0
45433,82197,0,0
45434,82307,0,0
45435,82451,0,0
45436,83029,0,0
45437,83157,0,0
45438,83297,0,0
45439,83873,0,0
45440,83964,0,0
45441,84069,0,0
45442,84647,0,0
45443,84727,0,0
45444,84872,0,0
45445,84932,0,0
45446,84998,0,0
45447,85092,0,0
45448,85162,0,0
45449,85305,0,0
45450,85380,0,0
45451,85481,0,0
45452,85560,0,0
45453,86136,0,0
45454,86240,0,0
45455,86364,0,0
45456,86511,0,0
45457,86572,0,0
45458,86648,0,0
45459,86752,0,0
45460,87330,0,0
45461,87472,0,0
45462,87598,0,0
45463,87735,0,0
45464,87794,0,0
45465,87867,0,0
45466,87945,0,0
45467,88521,0,0
45468,89099,0,0
45469,89167,0,0
45470,89237,0,0
45471,89351,0,0
45472,89449,0,0
45473,89508,0,0
45474,89666,0,0
45475,90244,0,0
45476,90400,0,0
45477,90503,0,0
45478,90562,0,0
45479,90637,0,0
45480,90766,0,0
45481,90855,0,0
45482,90914,0,0
45483,91044,0,0
45484,91137,0,0
45485,91242,0,0
45486,91314,0,0
45487,91387,0,0
45488,91468,0,0
45489,91610,0,0
45490,91675,0,0
45491,91735,0,0
45492,92313,0,0
45493,92438,0,0
45494,92596,0,0
45495,92709,0,0
45496,92821,0,0
45497,92929,0,0
45498,93505,0,0
45499,94083,0,0
45500,94177,0,0
45501,94280,0,0
45502,94352,0,0
45503,94412,0,0
45504,94540,0,0
45505,94598,0,0
45506,94741,0,0
