train_episode,train_steps,std_history,env
45251,45385,0.0,0
45252,45496,0.0,3
45253,45653,0.0,3
45254,45796,0.0,1
45255,45880,0.0,1
45256,46003,0.0,1
45257,46063,0.0,0
45258,46195,0.0,1
45259,46295,0.0,1
45260,46584,0.0,12
45261,46691,0.0,0
45262,46814,0.0,1
45263,46881,0.0,0
45264,46984,0.0,1
45265,47146,0.0,0
45266,47722,0.18633900582790375,0
45267,47896,0.2618614733219147,1
45268,48474,0.09449111670255661,1
45269,48525,0.1749635487794876,0
45270,49103,0.2730896770954132,1
45271,49291,0.25182753801345825,1
45272,49362,0.16535945236682892,0
45273,49486,0.24281045794487,1
45274,49614,0.2346610575914383,1
45275,49694,0.15713483095169067,0
45276,50272,0.3260519504547119,1
45277,50380,0.14999999105930328,0
45278,50470,0.14373989403247833,0
45279,50562,0.31730154156684875,1
45280,50704,0.13819271326065063,0
45281,50796,0.1332346796989441,0
45282,50930,0.309165894985199,1
45283,51013,0.12876969575881958,0
45284,51591,0.3020537793636322,1
45285,51682,0.2890583872795105,1
45286,51831,0.29536181688308716,1
45287,51961,0.12472192943096161,0
45288,52102,0.12103073298931122,0
45289,52255,0.11764706671237946,0
45290,52378,0.11453071981668472,0
45291,52954,0.28327885270118713,0
45292,53025,0.11164843291044235,0
45293,53601,0.20682789385318756,0
45294,53744,0.28311315178871155,1
45295,53805,0.27749767899513245,1
45296,53909,0.27773186564445496,0
45297,54031,0.2721855938434601,1
45298,54090,0.2724868953227997,0
45299,54231,0.26751887798309326,0
45300,54409,0.26280537247657776,0
45301,54524,0.26715296506881714,1
45302,54584,0.2623778283596039,1
45303,54704,0.2583261728286743,0
45304,54812,0.2578403353691101,1
45305,54922,0.2540631592273712,0
45306,54993,0.2498513162136078,0
45307,55569,0.2536580264568329,0
45308,55662,0.24620574712753296,0
45309,56238,0.2628366947174072,0
45310,56317,0.25937288999557495,0
45311,56446,0.25352245569229126,1
45312,56526,0.2560361921787262,0
45313,56617,0.2528195381164551,0
45314,57195,0.25670918822288513,1
45315,57339,0.25284716486930847,1
45316,57447,0.2497164011001587,0
45317,58023,0.27447888255119324,0
45318,58147,0.24914619326591492,1
45319,58208,0.2713940441608429,0
45320,58348,0.2684052884578705,0
45321,58455,0.24559612572193146,1
45322,58557,0.23891228437423706,1
45323,59135,0.23469312489032745,1
45324,59213,0.24218769371509552,1
45325,59357,0.2357618808746338,1
45326,59432,0.23182810842990875,1
45327,59579,0.22906140983104706,1
45328,59716,0.26550811529159546,0
45329,59775,0.26269835233688354,0
45330,59925,0.24363791942596436,1
45331,60503,0.24620471894741058,1
45332,60559,0.24114416539669037,1
45333,61137,0.24776695668697357,1
45334,61713,0.26187193393707275,0
45335,61876,0.23872044682502747,1
45336,62001,0.2363639622926712,1
45337,62059,0.23407195508480072,1
45338,62196,0.2592761218547821,0
45339,62254,0.2542961835861206,0
45340,62832,0.23663464188575745,1
45341,62937,0.2567518651485443,0
45342,63028,0.234491229057312,1
45343,63172,0.23240108788013458,1
45344,63253,0.25190630555152893,0
45345,63371,0.23036228120326996,1
45346,63514,0.2495795488357544,0
45347,63572,0.24731339514255524,0
45348,63698,0.23089198768138885,1
45349,64276,0.2328096479177475,1
45350,64334,0.22901740670204163,1
45351,64395,0.24510544538497925,0
45352,64504,0.242953360080719,0
45353,64578,0.24085496366024017,0
45354,64722,0.2271844744682312,1
45355,65300,0.23419423401355743,1
45356,65878,0.2360607385635376,1
45357,65988,0.24749046564102173,0
45358,66128,0.2494858354330063,0
45359,66704,0.2515278458595276,0
45360,66790,0.23436227440834045,1
45361,66884,0.23269598186016083,1
45362,67460,0.2472413033246994,0
45363,68036,0.246927872300148,0
45364,68094,0.24845199286937714,0
45365,68670,0.25021249055862427,0
45366,68817,0.23106105625629425,1
45367,68877,0.2467251420021057,0
45368,68988,0.24503105878829956,0
45369,69566,0.23022201657295227,1
45370,69686,0.24336884915828705,0
45371,70264,0.23046980798244476,1
45372,70456,0.22867968678474426,1
45373,70530,0.24173764884471893,0
45374,70669,0.24335747957229614,0
45375,71245,0.24491888284683228,0
45376,71320,0.25217145681381226,0
45377,71896,0.2462831288576126,0
45378,72472,0.25365182757377625,0
45379,72617,0.25071367621421814,0
45380,73193,0.2574346363544464,0
45381,73320,0.22900505363941193,1
45382,73378,0.22756430506706238,1
45383,73463,0.2560158371925354,0
45384,73554,0.25461724400520325,0
45385,73662,0.25323840975761414,0
45386,73749,0.25187909603118896,0
45387,74327,0.23308363556861877,1
45388,74905,0.23218007385730743,1
45389,74967,0.24921758472919464,0
45390,75064,0.2505389451980591,0
45391,75208,0.23084068298339844,1
45392,75266,0.22952042520046234,1
45393,75371,0.24791474640369415,0
45394,75485,0.22821898758411407,1
45395,76063,0.22968414425849915,1
45396,76641,0.22886626422405243,1
45397,76776,0.22766795754432678,1
45398,76851,0.24536330997943878,0
45399,76992,0.24663008749485016,0
45400,77077,0.22648464143276215,1
45401,77174,0.22531618177890778,1
45402,77279,0.22416244447231293,1
45403,77334,0.22302328050136566,1
45404,77910,0.2464294135570526,0
45405,78029,0.2441140115261078,0
45406,78103,0.24522346258163452,0
45407,78169,0.22189857065677643,1
45408,78303,0.22078809142112732,1
45409,78442,0.24403326213359833,0
45410,78558,0.21969172358512878,1
45411,78640,0.2186092734336853,1
45412,79216,0.2437414824962616,0
45413,79262,0.24259820580482483,0
45414,79359,0.2175404578447342,1
45415,79420,0.24146915972232819,0
45416,79546,0.21648524701595306,1
45417,79693,0.21544329822063446,1
45418,79775,0.2160910964012146,1
45419,79917,0.21509811282157898,1
45420,80495,0.21709604561328888,1
45421,80552,0.21411694586277008,1
45422,81128,0.24364273250102997,0
45423,81273,0.24255017936229706,0
45424,81378,0.24147051572799683,0
45425,81448,0.2131473869085312,1
45426,81507,0.21218939125537872,1
45427,81587,0.24040350317955017,0
45428,81733,0.2112427055835724,1
45429,81828,0.23934897780418396,0
45430,81886,0.23830677568912506,0
45431,81938,0.23727670311927795,0
45432,82052,0.21030718088150024,1
45433,82197,0.23625852167606354,0
45434,82307,0.23525212705135345,0
45435,82451,0.20938263833522797,1
45436,83029,0.21108126640319824,1
45437,83157,0.21018525958061218,1
45438,83297,0.236458420753479,0
45439,83873,0.2374364584684372,0
45440,83964,0.23453451693058014,0
45441,84069,0.23549115657806396,0
45442,84647,0.211790069937706,1
45443,84727,0.23172658681869507,0
45444,84872,0.2335882931947708,0
45445,84932,0.23265238106250763,0
45446,84998,0.21092145144939423,1
45447,85092,0.23081083595752716,0
45448,85162,0.2299048900604248,0
45449,85305,0.2290087193250656,0
45450,85380,0.2281220406293869,0
45451,85481,0.2272448092699051,0
45452,85560,0.22637687623500824,0
45453,86136,0.23184144496917725,0
45454,86240,0.21006204187870026,1
45455,86364,0.2092117965221405,1
45456,86511,0.20837052166461945,1
45457,86572,0.2075381577014923,1
45458,86648,0.2309819906949997,0
