train_episode,train_steps,reward,env
45251,45385,-540.0,0
45252,45496,-438.0,3
45253,45653,-741.0,3
45254,45796,-530.0,1
45255,45880,-312.0,1
45256,46003,-431.0,1
45257,46063,-229.0,0
45258,46195,-553.0,1
45259,46295,-409.0,1
45260,46584,-2411.0,12
45261,46691,-390.0,0
45262,46814,-511.0,1
45263,46881,-258.0,0
45264,46984,-417.0,1
45265,47146,-556.0,0
45266,47722,-1892.0,0
45267,47896,-701.0,1
45268,48474,-1428.0,1
45269,48525,-229.0,0
45270,49103,-3510.0,1
45271,49291,-544.0,1
45272,49362,-296.0,0
45273,49486,-447.0,1
45274,49614,-521.0,1
45275,49694,-321.0,0
45276,50272,-4046.0,1
45277,50380,-383.0,0
45278,50470,-309.0,0
45279,50562,-388.0,1
45280,50704,-542.0,0
45281,50796,-220.0,0
45282,50930,-474.0,1
45283,51013,-301.0,0
45284,51591,-1379.0,1
45285,51682,-379.0,1
45286,51831,-554.0,1
45287,51961,-466.0,0
45288,52102,-522.0,0
45289,52255,-469.0,0
45290,52378,-333.0,0
45291,52954,-3456.0,0
45292,53025,-233.0,0
45293,53601,-2904.0,0
45294,53744,-572.0,1
45295,53805,-281.0,1
45296,53909,-351.0,0
45297,54031,-417.0,1
45298,54090,-224.0,0
45299,54231,-518.0,0
45300,54409,-487.0,0
45301,54524,-450.0,1
45302,54584,-279.0,1
45303,54704,-360.0,0
45304,54812,-424.0,1
45305,54922,-381.0,0
45306,54993,-297.0,0
45307,55569,-1316.0,0
45308,55662,-329.0,0
45309,56238,-2380.0,0
45310,56317,-319.0,0
45311,56446,-454.0,1
45312,56526,-290.0,0
45313,56617,-261.0,0
45314,57195,-1898.0,1
45315,57339,-545.0,1
45316,57447,-350.0,0
45317,58023,-2924.0,0
45318,58147,-438.0,1
45319,58208,-223.0,0
45320,58348,-542.0,0
45321,58455,-418.0,1
45322,58557,-409.0,1
45323,59135,-1426.0,1
45324,59213,-326.0,1
45325,59357,-596.0,1
45326,59432,-241.0,1
45327,59579,-565.0,1
45328,59716,-515.0,0
45329,59775,-229.0,0
45330,59925,-575.0,1
45331,60503,-1313.0,1
45332,60559,-232.0,1
45333,61137,-2957.0,1
45334,61713,-1288.0,0
45335,61876,-609.0,1
45336,62001,-638.0,1
45337,62059,-276.0,1
45338,62196,-499.0,0
45339,62254,-231.0,0
45340,62832,-1972.0,1
45341,62937,-380.0,0
45342,63028,-331.0,1
45343,63172,-544.0,1
45344,63253,-298.0,0
45345,63371,-422.0,1
45346,63514,-570.0,0
45347,63572,-224.0,0
45348,63698,-444.0,1
45349,64276,-1952.0,1
45350,64334,-270.0,1
45351,64395,-248.0,0
45352,64504,-358.0,0
45353,64578,-284.0,0
45354,64722,-548.0,1
45355,65300,-2415.0,1
45356,65878,-1903.0,1
45357,65988,-354.0,0
45358,66128,-530.0,0
45359,66704,-2406.0,0
45360,66790,-360.0,1
45361,66884,-476.0,1
45362,67460,-1412.0,0
45363,68036,-1388.0,0
45364,68094,-235.0,0
45365,68670,-1834.0,0
45366,68817,-547.0,1
45367,68877,-251.0,0
45368,68988,-372.0,0
45369,69566,-1384.0,1
45370,69686,-541.0,0
45371,70264,-2014.0,1
45372,70456,-614.0,1
45373,70530,-293.0,0
45374,70669,-541.0,0
45375,71245,-1834.0,0
45376,71320,-166.0,0
45377,71896,-1872.0,0
45378,72472,-2355.0,0
45379,72617,-340.0,0
45380,73193,-2448.0,0
45381,73320,-452.0,1
45382,73378,-271.0,1
45383,73463,-265.0,0
45384,73554,-278.0,0
45385,73662,-377.0,0
45386,73749,-273.0,0
45387,74327,-2439.0,1
45388,74905,-1508.0,1
45389,74967,-228.0,0
45390,75064,-314.0,0
45391,75208,-546.0,1
45392,75266,-265.0,1
45393,75371,-351.0,0
45394,75485,-483.0,1
45395,76063,-1904.0,1
45396,76641,-1341.0,1
45397,76776,-517.0,1
45398,76851,-315.0,0
45399,76992,-527.0,0
45400,77077,-356.0,1
45401,77174,-479.0,1
45402,77279,-414.0,1
45403,77334,-242.0,1
45404,77910,-1915.0,0
45405,78029,-351.0,0
45406,78103,-294.0,0
45407,78169,-307.0,1
45408,78303,-465.0,1
45409,78442,-550.0,0
45410,78558,-390.0,1
45411,78640,-353.0,1
45412,79216,-1396.0,0
45413,79262,-173.0,0
45414,79359,-322.0,1
45415,79420,-229.0,0
45416,79546,-453.0,1
45417,79693,-570.0,1
45418,79775,-404.0,1
45419,79917,-674.0,1
45420,80495,-1937.0,1
45421,80552,-296.0,1
45422,81128,-1830.0,0
45423,81273,-547.0,0
45424,81378,-332.0,0
45425,81448,-311.0,1
45426,81507,-279.0,1
45427,81587,-292.0,0
45428,81733,-594.0,1
45429,81828,-309.0,0
45430,81886,-229.0,0
45431,81938,-195.0,0
45432,82052,-395.0,1
45433,82197,-528.0,0
45434,82307,-347.0,0
45435,82451,-552.0,1
45436,83029,-1973.0,1
45437,83157,-452.0,1
45438,83297,-541.0,0
45439,83873,-1838.0,0
45440,83964,-305.0,0
45441,84069,-364.0,0
45442,84647,-1990.0,1
45443,84727,-301.0,0
45444,84872,-466.0,0
45445,84932,-223.0,0
45446,84998,-245.0,1
45447,85092,-305.0,0
45448,85162,-324.0,0
45449,85305,-380.0,0
45450,85380,-289.0,0
45451,85481,-372.0,0
45452,85560,-252.0,0
45453,86136,-2444.0,0
45454,86240,-417.0,1
45455,86364,-428.0,1
45456,86511,-545.0,1
45457,86572,-284.0,1
45458,86648,-294.0,0
45459,86752,-373.0,0
45460,87330,-2405.0,1
45461,87472,-564.0,1
45462,87598,-552.0,0
45463,87735,-484.0,1
45464,87794,-227.0,0
45465,87867,-287.0,1
45466,87945,-235.0,0
45467,88521,-1283.0,0
45468,89099,-2468.0,1
45469,89167,-275.0,1
45470,89237,-296.0,0
45471,89351,-376.0,0
45472,89449,-347.0,1
45473,89508,-257.0,1
45474,89666,-391.0,0
45475,90244,-1348.0,1
45476,90400,-496.0,0
45477,90503,-414.0,1
45478,90562,-245.0,1
45479,90637,-410.0,1
45480,90766,-450.0,1
45481,90855,-374.0,1
45482,90914,-222.0,0
45483,91044,-367.0,0
45484,91137,-400.0,1
45485,91242,-331.0,0
45486,91314,-316.0,1
45487,91387,-234.0,0
45488,91468,-301.0,0
45489,91610,-525.0,0
45490,91675,-247.0,0
45491,91735,-218.0,0
45492,92313,-1376.0,1
45493,92438,-430.0,1
45494,92596,-423.0,0
45495,92709,-360.0,0
45496,92821,-516.0,1
45497,92929,-348.0,0
45498,93505,-1276.0,0
45499,94083,-3026.0,1
45500,94177,-253.0,0
45501,94280,-306.0,0
45502,94352,-314.0,1
45503,94412,-224.0,0
45504,94540,-435.0,1
45505,94598,-264.0,1
45506,94741,-566.0,1
45507,94800,-220.0,0
45508,94884,-301.0,0
45509,95030,-499.0,1
45510,95093,-240.0,0
45511,95224,-520.0,1
45512,95314,-371.0,0
45513,95452,-535.0,0
45514,95516,-209.0,0
45515,96094,-1480.0,1
45516,96239,-551.0,1
45517,96817,-1932.0,1
45518,96877,-263.0,1
45519,97020,-519.0,0
45520,97129,-345.0,0
45521,97243,-396.0,0
45522,97821,-1356.0,1
45523,97939,-412.0,1
45524,98083,-549.0,1
45525,98205,-424.0,0
45526,98266,-239.0,1
45527,98380,-485.0,1
45528,98447,-295.0,0
45529,98535,-352.0,1
45530,99111,-1914.0,0
45531,99251,-517.0,0
45532,99310,-283.0,0
45533,99386,-290.0,0
45534,99513,-440.0,1
45535,99570,-262.0,1
45536,99642,-293.0,0
45537,99747,-420.0,1
45538,99851,-328.0,0
45539,99965,-394.0,0
45540,100543,-1406.0,1
45541,100615,-284.0,0
45542,100698,-432.0,2
45543,100864,-564.0,2
45544,100998,-448.0,1
45545,101128,-450.0,1
45546,101199,-284.0,0
45547,101777,-3028.0,1
45548,102438,-2409.0,2
45549,102496,-223.0,0
45550,102624,-669.0,2
45551,102726,-422.0,1
45552,102864,-515.0,0
45553,102958,-371.0,2
45554,103047,-434.0,2
45555,103209,-560.0,2
45556,103787,-1350.0,1
45557,103915,-437.0,1
45558,104038,-427.0,1
45559,104114,-290.0,0
45560,104222,-379.0,0
45561,104346,-350.0,0
45562,104483,-570.0,0
45563,104589,-425.0,1
45564,105167,-3550.0,1
45565,105293,-439.0,1
45566,105954,-2941.0,2
45567,106174,-828.0,2
45568,106752,-2439.0,1
45569,106857,-360.0,0
45570,106995,-532.0,0
45571,107119,-434.0,1
